,Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles,date
0,UBER,UBER,UBER,2012,7,July,0,0,554.0,2012-07-28
1,UBER,UBER,UBER,2012,8,August,0,0,665.0,2012-08-28
2,UBER,UBER,UBER,2012,9,September,0,0,776.0,2012-09-28
3,UBER,UBER,UBER,2012,10,October,0,0,886.0,2012-10-28
4,UBER,UBER,UBER,2012,11,November,0,0,886.0,2012-11-28
5,UBER,UBER,UBER,2012,12,December,0,0,1108.0,2012-12-28
6,UBER,UBER,UBER,2013,1,January,0,0,1219.0,2013-01-28
7,UBER,UBER,UBER,2013,2,February,0,0,1330.0,2013-02-28
8,UBER,UBER,UBER,2013,3,March,0,0,1551.0,2013-03-28
9,UBER,UBER,UBER,2013,4,April,0,0,1773.0,2013-04-28
10,UBER,UBER,UBER,2013,5,May,0,0,2105.0,2013-05-28
11,UBER,UBER,UBER,2013,6,June,0,0,2438.0,2013-06-28
12,UBER,UBER,UBER,2013,7,July,0,0,2548.0,2013-07-28
13,UBER,UBER,UBER,2013,8,August,0,0,2659.0,2013-08-28
14,UBER,UBER,UBER,2013,9,September,0,0,3102.0,2013-09-28
15,UBER,UBER,UBER,2013,10,October,0,0,3546.0,2013-10-28
16,UBER,UBER,UBER,2013,11,November,0,0,4100.0,2013-11-28
17,UBER,UBER,UBER,2013,12,December,0,0,4654.0,2013-12-28
18,UBER,UBER,UBER,2014,1,January,0,0,5097.0,2014-01-28
19,UBER,UBER,UBER,2014,2,February,0,0,5319.0,2014-02-28
20,UBER,UBER,UBER,2014,3,March,0,0,5983.0,2014-03-28
21,UBER,UBER,UBER,2014,4,April,0,0,6427.0,2014-04-28
22,UBER,UBER,UBER,2014,5,May,0,0,6205.0,2014-05-28
23,UBER,UBER,UBER,2014,6,June,0,1096338,6759.0,2014-06-28
24,UBER,UBER,UBER,2014,7,July,0,1120206,7535.0,2014-07-28
25,UBER,UBER,UBER,2014,8,August,0,1290877,10194.0,2014-08-28
26,UBER,UBER,UBER,2014,9,September,0,1449643,12299.0,2014-09-28
27,UBER,UBER,UBER,2014,10,October,0,1585613,14072.0,2014-10-28
28,UBER,UBER,UBER,2014,11,November,0,2106689,14848.0,2014-11-28
29,UBER,UBER,UBER,2014,12,December,0,2455725,15956.0,2014-12-28
30,UBER,UBER,UBER,2015,1,January,1871075,0,12544.0,2015-01-28
31,UBER,UBER,UBER,2015,2,February,2178305,0,13531.0,2015-02-28
32,UBER,UBER,UBER,2015,3,March,2259575,0,14290.0,2015-03-28
33,UBER,UBER,UBER,2015,4,April,2280332,0,14952.0,2015-04-28
34,UBER,UBER,UBER,2015,5,May,1854691,0,12472.0,2015-05-28
35,UBER,UBER,UBER,2015,6,June,2816572,0,18751.0,2015-06-28
36,UBER,UBER,UBER,2015,7,July,3107558,0,21616.0,2015-07-28
37,UBER,UBER,UBER,2015,8,August,3316381,0,23350.0,2015-08-28
38,UBER,UBER,UBER,2015,9,September,3709270,0,25035.0,2015-09-28
39,UBER,UBER,UBER,2015,10,October,4359759,0,26875.0,2015-10-28
40,UBER,UBER,UBER,2015,11,November,4178591,0,27666.0,2015-11-28
41,UBER,UBER,UBER,2015,12,December,4343828,0,28716.0,2015-12-28
42,UBER,UBER,UBER,2016,1,January,4301254,0,29665.0,2016-01-28
43,UBER,UBER,UBER,2016,2,February,4827339,0,29538.0,2016-02-28
44,UBER,UBER,UBER,2016,3,March,4949743,0,29835.0,2016-03-28
45,UBER,UBER,UBER,2016,4,April,5103751,0,30702.0,2016-04-28
46,UBER,UBER,UBER,2016,5,May,5391879,0,32505.0,2016-05-28
47,UBER,UBER,UBER,2016,6,June,5358138,0,34327.0,2016-06-28
48,UBER,UBER,UBER,2016,7,July,5899045,0,35765.0,2016-07-28
49,UBER,UBER,UBER,2016,8,August,5893649,0,40336.0,2016-08-28
50,UBER,UBER,UBER,2016,9,September,6481751,0,43131.0,2016-09-28
51,UBER,UBER,UBER,2016,10,October,7007436,0,44076.0,2016-10-28
52,UBER,UBER,UBER,2016,11,November,6973356,0,45182.0,2016-11-28
53,UBER,UBER,UBER,2016,12,December,7880513,0,46886.0,2016-12-28
54,UBER,UBER,UBER,2017,1,January,7736951,0,48451.0,2017-01-28
55,UBER,UBER,UBER,2017,2,February,7244518,0,48847.0,2017-02-28
56,UBER,UBER,UBER,2017,3,March,8641724,0,49990.0,2017-03-28
57,UBER,UBER,UBER,2017,4,April,8181383,0,51875.0,2017-04-28
58,UBER,UBER,UBER,2017,5,May,8794695,0,54465.0,2017-05-28
59,UBER,UBER,UBER,2017,6,June,8898156,1096338,56712.0,2017-06-28
60,UBER,UBER,UBER,2017,7,July,8962215,1120206,58215.0,2017-07-28
61,UBER,UBER,UBER,2017,8,August,8992847,1290877,58787.0,2017-08-28
62,UBER,UBER,UBER,2017,9,September,9525248,1449643,60011.0,2017-09-28
63,UBER,UBER,UBER,2017,10,October,10135304,1585613,61613.0,2017-10-28
64,UBER,UBER,UBER,2017,11,November,10693287,2106689,62549.0,2017-11-28
65,UBER,UBER,UBER,2017,12,December,11836385,2455725,64294.0,2017-12-28
66,UBER,UBER,UBER,2018,1,January,11671765,2613169,65187.0,2018-01-28
67,UBER,UBER,UBER,2018,2,February,11506356,2643389,65375.0,2018-02-28
68,UBER,UBER,UBER,2018,3,March,13462091,3523078,66567.0,2018-03-28
69,UBER,UBER,UBER,2018,4,April,13222485,3549372,67970.0,2018-04-28
70,UBER,UBER,UBER,2018,5,May,13579992,3319850,70054.0,2018-05-28
71,UBER,UBER,UBER,2018,6,June,13267600,3171911,71006.0,2018-06-28
72,UBER,UBER,UBER,2018,7,July,14063243,3877702,71836.0,2018-07-28
73,UBER,UBER,UBER,2018,8,August,14060879,4027450,72344.0,2018-08-28
