,Unnamed: 0,origin,destination,treq,tarr,ttrav,origin_x,origin_y,destination_x,destination_y,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes,dist
1,1,46427503,46560239,2020-10-27 17:26:00,1900-01-01 18:01:00,0 days 00:35:00,4.8348186,52.3801535,4.9131617,52.4181852,True,3.0,2971.0,2302.549714268427,0.0,1109.0,2.0,"[['WALK', 992, 1199], ['BUS', 1109, 6503], ['WALK', 868, 1102]]",9220
6,6,46435042,46324210,2020-10-27 17:46:00,1900-01-01 18:02:00,0 days 00:16:00,4.8251815,52.3817624,4.9102859,52.3575679,True,3.0,2662.0,959.4532932260712,0.0,1884.0,2.0,"[['WALK', 289, 348], ['TRAM', 1884, 7496], ['WALK', 487, 610]]",7830
7,7,7025532003,46481439,2020-10-27 17:36:00,1900-01-01 18:25:00,0 days 00:49:00,4.8375132,52.3822265,4.92976,52.39249,True,3.0,2732.0,2393.2312631270715,1.0,466.0,272.0,"[['WALK', 976, 1146], ['RAIL', 360, 4345], ['WALK', 124, 162], ['SUBWAY', 106, 1845], ['WALK', 894, 1083]]",10288
8,8,46559535,4450642114,2020-10-27 17:17:00,1900-01-01 17:28:00,0 days 00:11:00,4.9017235,52.4181676,4.8348417,52.3827976,True,3.0,2215.0,1440.56784960664,0.0,1020.0,2.0,"[['WALK', 488, 592], ['BUS', 1020, 6012], ['WALK', 705, 847]]",9590
32,32,46393080,46431836,2020-10-27 17:42:00,1900-01-01 18:01:00,0 days 00:19:00,4.868674,52.3729951,4.8367607,52.3810887,True,3.0,1128.0,794.2772405951716,0.0,480.0,2.0,"[['WALK', 332, 400], ['BUS', 480, 3076], ['WALK', 314, 394]]",3441
41,42,46428319,46472901,2020-10-27 17:12:00,1900-01-01 17:27:00,0 days 00:15:00,4.8254265,52.3803344,4.91275,52.39042,True,3.0,3295.0,1248.9753533708306,1.0,1929.0,356.0,"[['WALK', 344, 418], ['TRAM', 1584, 6201], ['WALK', 179, 234], ['SUBWAY', 345, 4019], ['WALK', 487, 594]]",11013
62,63,5832473463,46433214,2020-10-27 17:53:00,1900-01-01 18:01:00,0 days 00:08:00,4.8842211,52.3858918,4.8125856,52.3813971,True,3.0,1669.0,540.1889172846205,0.0,1215.0,2.0,"[['WALK', 127, 143], ['BUS', 1215, 6346], ['WALK', 325, 396]]",5317
65,66,46434295,46299720,2020-10-27 17:24:00,1900-01-01 17:40:00,0 days 00:16:00,4.8272361,52.3815508,4.9111697,52.3519667,True,3.0,2634.0,1305.8791127724328,0.0,1344.0,242.0,"[['WALK', 762, 945], ['SUBWAY', 1344, 13614], ['WALK', 286, 359]]",8440
68,69,46440549,46347931,2020-10-27 17:21:00,1900-01-01 18:00:00,0 days 00:39:00,4.8324922,52.3830037,4.9139489,52.362854,True,3.0,2632.0,932.8997593919214,0.0,1884.0,2.0,"[['WALK', 502, 638], ['TRAM', 1884, 7496], ['WALK', 244, 294]]",7752
69,70,46435545,46208355,2020-10-27 17:37:00,1900-01-01 17:48:00,0 days 00:11:00,4.8302301,52.3818815,4.88803,52.3321036,True,3.0,2414.0,1616.191345847291,0.0,849.0,242.0,"[['WALK', 679, 837], ['SUBWAY', 849, 8241], ['WALK', 644, 778]]",8506
