,Month,Number_of_drivers,date,Number_of_trips,Growth_index
0,2.0,1396.0,2016-02-28,94470,1.0
1,3.0,1301.0,2016-03-28,106770,1.13
2,4.0,1360.0,2016-04-28,119040,1.26
3,5.0,1468.0,2016-05-28,130380,1.38
4,6.0,1539.0,2016-06-28,132270,1.4
5,7.0,1492.0,2016-07-28,128490,1.36
6,8.0,1539.0,2016-08-28,138870,1.47
7,9.0,1671.0,2016-09-28,152100,1.61
8,10.0,1993.0,2016-10-28,175710,1.86
9,11.0,1969.0,2016-11-28,185160,1.96
10,12.0,2136.0,2016-12-28,195570,2.07
11,13.0,2232.0,2017-01-28,230520,2.44
12,14.0,2279.0,2017-02-28,237120,2.51
13,15.0,2387.0,2017-03-28,249420,2.64
14,16.0,2506.0,2017-04-28,264540,2.8
15,17.0,2613.0,2017-05-28,265470,2.81
16,18.0,2697.0,2017-06-28,297600,3.15
17,19.0,2888.0,2017-07-28,275850,2.92
18,20.0,2542.0,2017-08-28,215400,2.28
19,21.0,2840.0,2017-09-28,321210,3.4
20,22.0,3210.0,2017-10-28,341040,3.61
21,23.0,3126.0,2017-11-28,344820,3.65
22,24.0,3437.0,2017-12-28,367500,3.89
23,25.0,3425.0,2018-01-28,429870,4.55
24,26.0,3353.0,2018-02-28,373170,3.95
25,27.0,3437.0,2018-03-28,401520,4.25
26,28.0,3687.0,2018-04-28,388290,4.11
27,29.0,3663.0,2018-05-28,416640,4.41
28,30.0,3771.0,2018-06-28,431760,4.57
29,31.0,3902.0,2018-07-28,408120,4.32
30,32.0,3341.0,2018-08-28,386400,4.09
31,33.0,3914.0,2018-09-28,439320,4.65
32,34.0,4224.0,2018-10-28,453480,4.8
33,35.0,4010.0,2018-11-28,438360,4.64
34,36.0,4427.0,2018-12-28,460080,4.87
35,37.0,4117.0,2019-01-28,449700,4.76
36,38.0,4105.0,2019-02-28,441180,4.67
37,39.0,4260.0,2019-03-28,462930,4.9
38,40.0,4487.0,2019-04-28,466710,4.94
39,41.0,4499.0,2019-05-28,505440,5.35
40,42.0,4606.0,2019-06-28,501660,5.31
41,43.0,4737.0,2019-07-28,476160,5.04
42,44.0,4368.0,2019-08-28,461040,4.88
43,45.0,4905.0,2019-09-28,545130,5.77
44,46.0,4952.0,2019-10-28,568740,6.02
45,47.0,4940.0,2019-11-28,540390,5.72
46,48.0,5227.0,2019-12-28,528120,5.59
47,49.0,5036.0,2020-01-28,352380,3.73
48,50.0,5084.0,2020-02-28,553620,5.86
49,51.0,4773.0,2020-03-28,100140,1.06
50,52.0,1158.0,2020-04-28,69900,0.74
51,53.0,1635.0,2020-05-28,155880,1.65
52,54.0,2924.0,2020-06-28,234300,2.48
53,55.0,3282.0,2020-07-28,289080,3.06
54,56.0,3795.0,2020-08-28,319320,3.38
55,57.0,3759.0,2020-09-28,280590,2.97
56,58.0,3449.0,2020-10-28,219180,2.32
57,59.0,3055.0,2020-11-28,175710,1.86
58,60.0,2900.0,2020-12-28,205950,2.18
59,61.0,2601.0,2021-01-28,158730,1.68
60,62.0,2625.0,2021-02-28,195570,2.07
61,63.0,2721.0,2021-03-28,225780,2.39
62,64.0,2780.0,2021-04-28,280590,2.97
63,65.0,3103.0,2021-05-28,312720,3.31
64,66.0,3258.0,2021-06-28,386400,4.09
65,67.0,3234.0,2021-07-28,359940,3.81
66,68.0,3389.0,2021-08-28,401520,4.25
67,69.0,3484.0,2021-09-28,438360,4.64
68,70.0,3890.0,2021-10-28,462930,4.9
69,71.0,4033.0,2021-11-28,362790,3.84
70,72.0,3735.0,2021-12-28,256020,2.71
71,73.0,3675.0,2022-01-28,399630,4.23
72,74.0,3878.0,2022-02-28,427980,4.53
73,75.0,3950.0,2022-03-28,481830,5.1
74,76.0,4177.0,2022-04-28,461040,4.88
75,77.0,4320.0,2022-05-28,475200,5.03
76,78.0,4332.0,2022-06-28,488430,5.17
77,79.0,4200.0,2022-07-28,427980,4.53
78,80.0,3998.0,2022-08-28,0,0.0
