,Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles,date
21588,UBER,UBER,UBER,2015,1,January,1871075,0,12544,2015-01-28
32766,UBER,UBER,UBER,2015,2,February,2178305,0,13531,2015-02-28
22581,UBER,UBER,UBER,2015,3,March,2259575,0,14290,2015-03-28
9141,UBER,UBER,UBER,2015,4,April,2280332,0,14952,2015-04-28
6340,UBER,UBER,UBER,2015,5,May,1854691,0,12472,2015-05-28
26739,UBER,UBER,UBER,2015,6,June,2816572,0,18751,2015-06-28
35077,UBER,UBER,UBER,2015,7,July,3107558,0,21616,2015-07-28
8948,UBER,UBER,UBER,2015,8,August,3316381,0,23350,2015-08-28
33371,UBER,UBER,UBER,2015,9,September,3709270,0,25035,2015-09-28
11351,UBER,UBER,UBER,2015,10,October,4359759,0,26875,2015-10-28
5394,UBER,UBER,UBER,2015,11,November,4178591,0,27666,2015-11-28
20327,UBER,UBER,UBER,2015,12,December,4343828,0,28716,2015-12-28
7589,UBER,UBER,UBER,2016,1,January,4301254,0,29665,2016-01-28
31798,UBER,UBER,UBER,2016,2,February,4827339,0,29538,2016-02-28
31851,UBER,UBER,UBER,2016,3,March,4949743,0,29835,2016-03-28
9039,UBER,UBER,UBER,2016,4,April,5103751,0,30702,2016-04-28
40414,UBER,UBER,UBER,2016,5,May,5391879,0,32505,2016-05-28
11458,UBER,UBER,UBER,2016,6,June,5358138,0,34327,2016-06-28
27228,UBER,UBER,UBER,2016,7,July,5899045,0,35765,2016-07-28
11024,UBER,UBER,UBER,2016,8,August,5893649,0,40336,2016-08-28
34075,UBER,UBER,UBER,2016,9,September,6481751,0,43131,2016-09-28
6823,UBER,UBER,UBER,2016,10,October,7007436,0,44076,2016-10-28
15618,UBER,UBER,UBER,2016,11,November,6973356,0,45182,2016-11-28
41289,UBER,UBER,UBER,2016,12,December,7880513,0,46886,2016-12-28
28150,UBER,UBER,UBER,2017,1,January,7736951,0,48451,2017-01-28
6377,UBER,UBER,UBER,2017,2,February,7244518,0,48847,2017-02-28
28243,UBER,UBER,UBER,2017,3,March,8641724,0,49990,2017-03-28
39344,UBER,UBER,UBER,2017,4,April,8181383,0,51875,2017-04-28
29297,UBER,UBER,UBER,2017,5,May,8794695,0,54465,2017-05-28
17588,UBER,UBER,UBER,2017,6,June,8898156,1096338,56712,2017-06-28
36713,UBER,UBER,UBER,2017,7,July,8962215,1120206,58215,2017-07-28
27367,UBER,UBER,UBER,2017,8,August,8992847,1290877,58787,2017-08-28
12043,UBER,UBER,UBER,2017,9,September,9525248,1449643,60011,2017-09-28
20054,UBER,UBER,UBER,2017,10,October,10135304,1585613,61613,2017-10-28
19477,UBER,UBER,UBER,2017,11,November,10693287,2106689,62549,2017-11-28
7371,UBER,UBER,UBER,2017,12,December,11836385,2455725,64294,2017-12-28
