,P_P1_WOM_U,P_P1_MARKETING_U,P_P1_EXPERIENCE_U,P_P1_SHARE,P_P2_WOM_U,P_P2_MARKETING_U,P_P2_EXPERIENCE_U,P_P2_SHARE,V_P1_WOM_U,V_P1_MARKETING_U,V_P1_EXPERIENCE_U,V_P1_SHARE,V_P2_WOM_U,V_P2_MARKETING_U,V_P2_EXPERIENCE_U,V_P2_SHARE
0,0.010000000000000163,0.01164647635198227,0.010000000000000163,0.0,0.010000000000000163,0.011646476351982285,0.010000000000000163,0.0,0.010000000000000007,0.011646476351981945,0.010000000000000007,0.0,0.010000000000000007,0.01164647635198195,0.010000000000000007,0.0
1,0.010000309952193141,0.013498683448342192,0.010011453570133106,0.0115,0.010000269169009854,0.01346237802286375,0.010018032935269467,0.008,0.01000016313273315,0.013898043128604664,0.010000000000000007,0.005,0.010000244699099724,0.013656006958748359,0.010000000000000007,0.01
2,0.010000976869957143,0.01568737725600968,0.010051036685712533,0.013,0.010000885462756652,0.015446917037147494,0.010039488236918219,0.0145,0.010001463917621953,0.01650478440504114,0.010000000000000007,0.015,0.010000733449996278,0.016028591820299254,0.010036378106225693,0.005
3,0.010002109639329636,0.018189142133495883,0.010175745495947705,0.028,0.010001989080285694,0.01785344339768541,0.010138529062249118,0.0225,0.010002481100267975,0.01886948951162131,0.01001179363447631,0.03,0.010002317059418014,0.018038122427065685,0.010036712389517245,0.03
4,0.010003870044682832,0.02106464262964036,0.010225413139128767,0.0335,0.010003951772047302,0.020652237659012498,0.010162745505768732,0.0285,0.010004226206266655,0.021484110543028526,0.01022083118300095,0.02,0.010003659348991395,0.020289689203688434,0.010189164256688997,0.015
5,0.010006404283688956,0.024322099493203766,0.010336578487313182,0.032,0.010006147873360361,0.023878846107823738,0.010331569815020545,0.0335,0.01000718125357306,0.025205208912481306,0.01026177854952333,0.035,0.010005505560087396,0.023969833734536886,0.010216985608168673,0.04
6,0.010009283792743748,0.027588320775856847,0.010424925278247742,0.032,0.010009012116297861,0.0274697921427552,0.010471633544815399,0.0445,0.010009723861672115,0.02745677568910406,0.010535563996766447,0.025,0.010008153572333516,0.02681073142585897,0.010534020743754901,0.025
7,0.010013842412955647,0.03113285481713133,0.010608189699606628,0.039,0.010013249060729808,0.03150377838326481,0.01069223049201939,0.0365,0.010011493712829875,0.031298892143484996,0.010724743790375184,0.05,0.010010801302273813,0.03108808662637747,0.010565898632649789,0.04
8,0.010018388671130609,0.03510393810764647,0.010959434542103574,0.0365,0.010018301018580386,0.035678257328380085,0.010931568906644306,0.0395,0.010016308337182516,0.03634360950257469,0.010718203180658583,0.065,0.010015995757443153,0.03501026732708224,0.01071014620056749,0.04
9,0.010024136624032697,0.03966173619137295,0.01135909369734641,0.043,0.0100229168578748,0.0405691438786127,0.011157106570984582,0.036,0.010020236568863633,0.04111321660817447,0.01072307612963967,0.065,0.010021840215430783,0.039562732781090654,0.010727443025489529,0.035
