,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],0,0.0,0.012,[[18  3]],18,3,1.2,0.15,0.0,True
1,[[18  3]],2,23.51916,0.025,[[30  7]],30,7,1.2,0.15,0.0,True
2,[[30  7]],1,21.747,0.02725,[[59  5]],59,5,1.2,0.1,0.0,True
3,[[59  5]],0,64.8483,0.037000000000000005,[[78  7]],78,7,1.2,0.15,0.0,True
4,[[78  7]],1,60.90084,0.03725,[[89  6]],89,6,1.2,0.1,0.0,True
5,[[89  6]],1,35.333659999999995,0.057999999999999996,[[102  13]],102,13,1.2,0.05,0.0,True
6,[[102  13]],0,72.20532,0.0635,[[134  12]],134,12,1.2,0.1,0.0,True
7,[[134  12]],0,142.45422,0.046,[[134   5]],134,5,1.2,0.15,0.0,True
8,[[134   5]],2,148.32078,0.08224999999999999,[[149  18]],149,18,1.2,0.15,0.0,True
9,[[149  18]],1,113.77552,0.059750000000000004,[[139  10]],139,10,1.2,0.1,0.0,True
10,[[139  10]],1,52.017880000000005,0.07425000000000001,[[157  14]],157,14,1.2,0.05,0.0,True
11,[[157  14]],2,61.83934,0.07300000000000001,[[152  14]],152,14,1.2,0.05,0.0,True
12,[[152  14]],0,111.27124,0.08975,[[149  21]],149,21,1.2,0.1,0.0,True
13,[[149  21]],1,53.36054000000001,0.09075,[[173  19]],173,19,1.2,0.05,0.0,True
14,[[173  19]],1,0.0,0.06225,[[149  10]],149,10,1.2,0.0,0.0,True
15,[[149  10]],1,0.0,0.07525000000000001,[[171  13]],171,13,1.2,0.0,0.0,True
16,[[171  13]],0,62.75706,0.07775,[[151  16]],151,16,1.2,0.05,0.0,True
17,[[151  16]],0,113.38316,0.07325000000000001,[[153  14]],153,14,1.2,0.1,0.0,True
18,[[153  14]],2,113.68788,0.10575000000000001,[[143  28]],143,28,1.2,0.1,0.0,True
19,[[143  28]],2,106.46404000000001,0.08525,[[171  17]],171,17,1.2,0.1,0.0,True
20,[[171  17]],0,178.8858,0.07325,[[143  15]],143,15,1.2,0.15,0.0,True
21,[[143  15]],1,106.16356,0.07725,[[159  15]],159,15,1.2,0.1,0.0,True
22,[[159  15]],1,57.51804,0.07250000000000001,[[150  14]],150,14,1.2,0.05,0.0,True
23,[[150  14]],0,112.45320000000001,0.0615,[[166   8]],166,8,1.2,0.1,0.0,True
24,[[166   8]],0,184.25333999999998,0.08574999999999999,[[173  17]],173,17,1.2,0.15,0.0,True
25,[[173  17]],0,260.00792,0.09525,[[191  19]],191,19,1.2,0.2,0.0,True
26,[[191  19]],1,212.22437999999997,0.097,[[138  25]],138,25,1.2,0.15,0.0,True
27,[[138  25]],1,105.01956,0.087,[[148  20]],148,20,1.2,0.1,0.0,True
28,[[148  20]],1,53.28112,0.07200000000000001,[[158  13]],158,13,1.2,0.05,0.0,True
29,[[158  13]],1,0.0,0.08549999999999999,[[162  18]],162,18,1.2,0.0,0.0,True
30,[[162  18]],2,0.0,0.07675000000000001,[[167  14]],167,14,1.2,0.0,0.0,True
31,[[167  14]],0,61.91948,0.0985,[[164  23]],164,23,1.2,0.05,0.0,True
32,[[164  23]],0,119.05708,0.08324999999999999,[[153  18]],153,18,1.2,0.1,0.0,True
33,[[153  18]],2,105.57252,0.08274999999999999,[[181  15]],181,15,1.2,0.1,0.0,True
34,[[181  15]],1,68.0869,0.06875,[[155  12]],155,12,1.2,0.05,0.0,True
35,[[155  12]],2,57.97166,0.09375,[[155  22]],155,22,1.2,0.05,0.0,True
36,[[155  22]],1,0.0,0.08025,[[161  16]],161,16,1.2,0.0,0.0,True
37,[[161  16]],1,0.0,0.09875,[[155  24]],155,24,1.2,0.0,0.0,True
38,[[155  24]],0,52.86038,0.07050000000000001,[[162  12]],162,12,1.2,0.05,0.0,True
