,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],0,0.0,0.0,[[0 0]],0,0,1.2,0.15,0.0,True
1,[[0 0]],0,28.96128,28.96128,[[21  1]],21,1,1.2,0.2,0.0,True
2,[[21  1]],1,32.618579999999994,32.618579999999994,[[29  1]],29,1,1.2,0.15,0.0,True
3,[[29  1]],2,62.8488,62.8488,[[54  5]],54,5,1.2,0.15,0.0,True
4,[[54  5]],0,109.75319999999999,109.75319999999999,[[72 12]],72,12,1.2,0.2,0.0,True
5,[[72 12]],0,166.63920000000002,166.63920000000002,[[96  9]],96,9,1.2,0.25,0.0,True
6,[[96  9]],1,121.46567999999999,121.46567999999999,[[87 11]],87,11,1.2,0.2,0.0,True
7,[[87 11]],1,100.29396,100.29396,[[94 16]],94,16,1.2,0.15,0.0,True
8,[[94 16]],0,165.07416,165.07416,[[117  11]],117,11,1.2,0.2,0.0,True
9,[[117  11]],1,165.05861999999996,165.05861999999996,[[143  15]],143,15,1.2,0.15,0.0,True
10,[[143  15]],2,178.52442000000002,178.52442000000002,[[158   7]],158,7,1.2,0.15,0.0,True
11,[[158   7]],0,215.19080000000002,215.19080000000002,[[146  12]],146,12,1.2,0.2,0.0,True
12,[[146  12]],2,240.74256,240.74256,[[159  12]],159,12,1.2,0.2,0.0,True
13,[[159  12]],1,155.98829999999998,155.98829999999998,[[139  23]],139,23,1.2,0.15,0.0,True
14,[[139  23]],2,170.15411999999998,170.15411999999998,[[157  15]],157,15,1.2,0.15,0.0,True
15,[[157  15]],2,158.38224,158.38224,[[146  22]],146,22,1.2,0.15,0.0,True
16,[[146  22]],1,109.90460000000002,109.90460000000002,[[157  15]],157,15,1.2,0.1,0.0,True
17,[[157  15]],2,122.95212000000001,122.95212000000001,[[168  16]],168,16,1.2,0.1,0.0,True
18,[[168  16]],0,158.01923999999997,158.01923999999997,[[148   8]],148,8,1.2,0.15,0.0,True
19,[[148   8]],1,120.82928,120.82928,[[157  13]],157,13,1.2,0.1,0.0,True
