,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],0,0.0,0.0,[[0 0]],0,0,1.2,0.15,0.0,True
1,[[0 0]],1,15.12756,0.00775,[[21  1]],21,1,1.2,0.1,0.0,True
2,[[21  1]],1,18.4655,0.02425,[[47  5]],47,5,1.2,0.05,0.0,True
3,[[47  5]],1,0.0,0.042249999999999996,[[49 12]],49,12,1.2,0.0,0.0,True
4,[[49 12]],2,0.0,0.04125,[[85  8]],85,8,1.2,0.0,0.0,True
5,[[85  8]],0,39.871700000000004,0.0475,[[110   8]],110,8,1.2,0.05,0.0,True
6,[[110   8]],2,34.027480000000004,0.056,[[94 13]],94,13,1.2,0.05,0.0,True
7,[[94 13]],0,87.32312,0.056499999999999995,[[106  12]],106,12,1.2,0.1,0.0,True
8,[[106  12]],1,43.87298,0.049,[[116   8]],116,8,1.2,0.05,0.0,True
9,[[116   8]],0,104.26151999999999,0.06375,[[135  12]],135,12,1.2,0.1,0.0,True
10,[[135  12]],1,52.35928,0.06575,[[133  13]],133,13,1.2,0.05,0.0,True
11,[[133  13]],2,55.337160000000004,0.0765,[[156  15]],156,15,1.2,0.05,0.0,True
12,[[156  15]],1,0.0,0.07875,[[145  17]],145,17,1.2,0.0,0.0,True
13,[[145  17]],2,0.0,0.07625,[[155  15]],155,15,1.2,0.0,0.0,True
14,[[155  15]],0,55.97058,0.09325,[[153  22]],153,22,1.2,0.05,0.0,True
15,[[153  22]],1,0.0,0.08725,[[159  19]],159,19,1.2,0.0,0.0,True
16,[[159  19]],0,54.71128,0.08025,[[151  17]],151,17,1.2,0.05,0.0,True
17,[[151  17]],0,107.84464,0.08474999999999999,[[149  19]],149,19,1.2,0.1,0.0,True
18,[[149  19]],0,155.23536,0.068,[[142  13]],142,13,1.2,0.15,0.0,True
19,[[142  13]],0,209.53968,0.091,[[144  22]],144,22,1.2,0.2,0.0,True
20,[[144  22]],0,276.0879,0.08274999999999999,[[141  19]],141,19,1.2,0.25,0.0,True
21,[[141  19]],2,270.8238,0.08249999999999999,[[150  18]],150,18,1.2,0.25,0.0,True
22,[[150  18]],0,317.11476,0.08574999999999999,[[143  20]],143,20,1.2,0.3,0.0,True
23,[[143  20]],0,385.24598,0.06725,[[149  12]],149,12,1.2,0.35,0.0,True
24,[[149  12]],0,441.0856,0.08449999999999999,[[158  18]],158,18,1.2,0.4,0.0,True
25,[[158  18]],1,435.17193999999995,0.069,[[166  11]],166,11,1.2,0.35,0.0,True
26,[[166  11]],2,410.14652,0.07775,[[161  15]],161,15,1.2,0.35,0.0,True
27,[[161  15]],2,412.3931,0.07125000000000001,[[155  13]],155,13,1.2,0.35,0.0,True
28,[[155  13]],2,403.83392,0.0795,[[158  16]],158,16,1.2,0.35,0.0,True
29,[[158  16]],2,357.80121999999994,0.0945,[[148  23]],148,23,1.2,0.35,0.0,True
30,[[148  23]],2,404.81154,0.0655,[[162  10]],162,10,1.2,0.35,0.0,True
31,[[162  10]],0,547.3784,0.08549999999999999,[[172  17]],172,17,1.2,0.4,0.0,True
32,[[172  17]],2,413.67503999999997,0.07025,[[141  14]],141,14,1.2,0.4,0.0,True
33,[[141  14]],1,427.92792,0.09025,[[171  19]],171,19,1.2,0.35,0.0,True
34,[[171  19]],0,496.77103999999997,0.07725000000000001,[[169  14]],169,14,1.2,0.4,0.0,True
35,[[169  14]],2,497.70208,0.07450000000000001,[[158  14]],158,14,1.2,0.4,0.0,True
36,[[158  14]],2,475.352,0.09,[[160  20]],160,20,1.2,0.4,0.0,True
37,[[160  20]],0,555.85836,0.06925,[[167  11]],167,11,1.2,0.45,0.0,True
38,[[167  11]],0,576.4603999999999,0.09525,[[161  22]],161,22,1.2,0.5,0.0,True
39,[[161  22]],1,612.5832,0.092,[[188  18]],188,18,1.2,0.45,0.0,True
40,[[188  18]],1,456.47087999999997,0.08725,[[159  19]],159,19,1.2,0.4,0.0,True
41,[[159  19]],2,505.34767999999997,0.098,[[172  22]],172,22,1.2,0.4,0.0,True
42,[[172  22]],2,434.13056,0.0745,[[148  15]],148,15,1.2,0.4,0.0,True
43,[[148  15]],0,585.81288,0.08449999999999999,[[178  16]],178,16,1.2,0.45,0.0,True
44,[[178  16]],1,522.63632,0.08374999999999999,[[175  16]],175,16,1.2,0.4,0.0,True
45,[[175  16]],1,409.68746,0.062,[[158   9]],158,9,1.2,0.35,0.0,True
46,[[158   9]],0,512.75744,0.07400000000000001,[[166  13]],166,13,1.2,0.4,0.0,True
47,[[166  13]],0,528.0606,0.09725,[[159  23]],159,23,1.2,0.45,0.0,True
48,[[159  23]],0,624.8245999999999,0.07325,[[173  12]],173,12,1.2,0.5,0.0,True
49,[[173  12]],0,659.4414200000001,0.07250000000000001,[[160  13]],160,13,1.2,0.55,0.0,True
50,[[160  13]],1,705.8574,0.0815,[[186  14]],186,14,1.2,0.5,0.0,True
51,[[186  14]],0,577.6608200000001,0.07025,[[151  13]],151,13,1.2,0.55,0.0,True
52,[[151  13]],1,660.6674,0.08625,[[185  16]],185,16,1.2,0.5,0.0,True
53,[[185  16]],0,680.0679600000001,0.078,[[162  15]],162,15,1.2,0.55,0.0,True
54,[[162  15]],1,645.1686,0.08249999999999999,[[180  15]],180,15,1.2,0.5,0.0,True
55,[[180  15]],0,615.9452200000001,0.09125,[[155  21]],155,21,1.2,0.55,0.0,True
56,[[155  21]],2,617.8134600000001,0.064,[[156  10]],156,10,1.2,0.55,0.0,True
57,[[156  10]],2,689.3051,0.08475,[[169  17]],169,17,1.2,0.55,0.0,True
58,[[169  17]],0,842.11344,0.09725,[[189  20]],189,20,1.2,0.6,0.0,True
59,[[189  20]],0,700.4933,0.08725,[[149  20]],149,20,1.2,0.65,0.0,True
60,[[149  20]],2,721.75532,0.0885,[[164  19]],164,19,1.2,0.65,0.0,True
61,[[164  19]],2,932.94318,0.08625,[[195  15]],195,15,1.2,0.65,0.0,True
62,[[195  15]],2,975.1339,0.09825,[[193  20]],193,20,1.2,0.65,0.0,True
63,[[193  20]],0,954.52028,0.10025,[[181  22]],181,22,1.2,0.7,0.0,True
64,[[181  22]],1,822.44292,0.08275,[[171  16]],171,16,1.2,0.65,0.0,True
65,[[171  16]],2,839.33746,0.076,[[184  12]],184,12,1.2,0.65,0.0,True
66,[[184  12]],2,753.85648,0.09225,[[169  20]],169,20,1.2,0.65,0.0,True
67,[[169  20]],0,979.1014799999998,0.09125,[[195  17]],195,17,1.2,0.7,0.0,True
68,[[195  17]],2,838.44012,0.0765,[[156  15]],156,15,1.2,0.7,0.0,True
69,[[156  15]],1,806.59228,0.0895,[[178  18]],178,18,1.2,0.65,0.0,True
70,[[178  18]],2,859.5249,0.0965,[[186  20]],186,20,1.2,0.65,0.0,True
71,[[186  20]],0,1034.32308,0.0785,[[204  11]],204,11,1.2,0.7,0.0,True
72,[[204  11]],0,952.935,0.08274999999999999,[[181  15]],181,15,1.2,0.75,0.0,True
73,[[181  15]],0,1270.7961599999999,0.0905,[[222  14]],222,14,1.2,0.8,0.0,True
74,[[222  14]],1,937.1186999999999,0.0865,[[186  16]],186,16,1.2,0.75,0.0,True
75,[[186  16]],2,962.5346999999999,0.079,[[186  13]],186,13,1.2,0.75,0.0,True
76,[[186  13]],0,1023.6524800000001,0.077,[[178  13]],178,13,1.2,0.8,0.0,True
77,[[178  13]],1,1128.456,0.087,[[198  15]],198,15,1.2,0.75,0.0,True
78,[[198  15]],1,980.58296,0.0905,[[202  16]],202,16,1.2,0.7,0.0,True
79,[[202  16]],1,839.9185600000001,0.08825,[[193  16]],193,16,1.2,0.65,0.0,True
80,[[193  16]],1,875.72712,0.0805,[[202  12]],202,12,1.2,0.6,0.0,True
81,[[202  12]],2,772.3008,0.0865,[[186  16]],186,16,1.2,0.6,0.0,True
82,[[186  16]],0,844.70282,0.0805,[[182  14]],182,14,1.2,0.65,0.0,True
83,[[182  14]],1,809.72376,0.111,[[194  25]],194,25,1.2,0.6,0.0,True
84,[[194  25]],2,898.42032,0.09575,[[213  17]],213,17,1.2,0.6,0.0,True
85,[[213  17]],2,783.3131999999999,0.08349999999999999,[[174  16]],174,16,1.2,0.6,0.0,True
86,[[174  16]],1,823.42502,0.0935,[[214  16]],214,16,1.2,0.55,0.0,True
87,[[214  16]],2,817.8649600000001,0.08299999999999999,[[212  12]],212,12,1.2,0.55,0.0,True
