,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],1,0.0,0.0,[[0 0]],0,0,1.2,0.05,0.0,True
1,[[0 0]],0,20.67912,0.013277666666666667,[[24  4]],24,4,1.2,0.1,0.0,True
2,[[24  4]],1,14.100280000000001,0.016280338383838383,[[37  5]],37,5,1.2,0.05,0.0,True
3,[[37  5]],1,0.0,0.019333333333333334,[[66  5]],66,5,1.2,0.0,0.0,True
4,[[66  5]],0,27.4176,0.024795151515151513,[[78  5]],78,5,1.2,0.05,0.0,True
5,[[78  5]],1,0.0,0.028166666666666666,[[89  8]],89,8,1.2,0.0,0.0,True
6,[[89  8]],2,0.0,0.025999999999999995,[[86  7]],86,7,1.2,0.0,0.0,True
7,[[86  7]],2,0.0,0.034166666666666665,[[105  10]],105,10,1.2,0.0,0.0,True
8,[[105  10]],0,42.747319999999995,0.05406405555555555,[[122  17]],122,17,1.2,0.05,0.0,True
9,[[122  17]],1,0.0,0.042666666666666665,[[126  13]],126,13,1.2,0.0,0.0,True
10,[[126  13]],0,56.06886,0.058079401515151514,[[156  15]],156,15,1.2,0.05,0.0,True
11,[[156  15]],2,53.09794,0.04470428535353535,[[148   8]],148,8,1.2,0.05,0.0,True
12,[[148   8]],2,55.74868,0.05670564141414141,[[148  15]],148,15,1.2,0.05,0.0,True
13,[[148  15]],2,61.25056,0.05823365656565656,[[163  14]],163,14,1.2,0.05,0.0,True
14,[[163  14]],0,123.70204000000001,0.0832856111111111,[[176  23]],176,23,1.2,0.1,0.0,True
15,[[176  23]],0,171.31703999999996,0.07463093939393939,[[158  16]],158,16,1.2,0.15,0.0,True
16,[[158  16]],0,247.72072000000003,0.08011120202020201,[[163  13]],163,13,1.2,0.2,0.0,True
17,[[163  13]],1,190.66866,0.06807432575757576,[[164  10]],164,10,1.2,0.15,0.0,True
18,[[164  10]],0,232.97408000000001,0.08191591919191919,[[155  16]],155,16,1.2,0.2,0.0,True
19,[[155  16]],0,331.6329999999999,0.09187285353535352,[[170  13]],170,13,1.2,0.25,0.0,True
20,[[170  13]],0,376.79676,0.09857534848484849,[[166  14]],166,14,1.2,0.3,0.0,True
21,[[166  14]],1,299.5777,0.0941588005050505,[[158  18]],158,18,1.2,0.25,0.0,True
22,[[158  18]],0,375.32867999999996,0.1055566515151515,[[169  18]],169,18,1.2,0.3,0.0,True
23,[[169  18]],2,359.60711999999995,0.10357160606060604,[[169  18]],169,18,1.2,0.3,0.0,True
24,[[169  18]],2,367.87991999999997,0.10461615151515151,[[169  18]],169,18,1.2,0.3,0.0,True
25,[[169  18]],2,374.57759999999996,0.08896181818181818,[[170   8]],170,8,1.2,0.3,0.0,True
26,[[170   8]],1,317.2786,0.08689376262626262,[[161  12]],161,12,1.2,0.25,0.0,True
27,[[161  12]],1,251.75608,0.09378738383838384,[[172  20]],172,20,1.2,0.2,0.0,True
28,[[172  20]],1,179.95146,0.08055447727272727,[[167  18]],167,18,1.2,0.15,0.0,True
29,[[167  18]],0,261.49016,0.07918310101010101,[[167  11]],167,11,1.2,0.2,0.0,True
30,[[167  11]],2,236.49504000000002,0.07736048484848486,[[165  12]],165,12,1.2,0.2,0.0,True
31,[[165  12]],2,258.56680000000006,0.08514732323232324,[[175  14]],175,14,1.2,0.2,0.0,True
32,[[175  14]],0,353.9453,0.11152339646464646,[[181  22]],181,22,1.2,0.25,0.0,True
33,[[181  22]],0,441.714,0.1037719696969697,[[188  10]],188,10,1.2,0.3,0.0,True
34,[[188  10]],2,373.21812,0.11279016666666666,[[174  22]],174,22,1.2,0.3,0.0,True
35,[[174  22]],2,346.05336,0.0915269393939394,[[167  12]],167,12,1.2,0.3,0.0,True
36,[[167  12]],2,430.52160000000003,0.11069212121212121,[[188  15]],188,15,1.2,0.3,0.0,True
37,[[188  15]],2,367.99751999999995,0.09929766666666665,[[167  15]],167,15,1.2,0.3,0.0,True
38,[[167  15]],0,437.69179999999994,0.11309744949494949,[[167  18]],167,18,1.2,0.35,0.0,True
39,[[167  18]],1,428.96399999999994,0.11199545454545454,[[187  16]],187,16,1.2,0.3,0.0,True
40,[[187  16]],2,410.86956,0.12871080303030302,[[191  27]],191,27,1.2,0.3,0.0,True
41,[[191  27]],1,335.6622,0.10671492424242424,[[186  20]],186,20,1.2,0.25,0.0,True
42,[[186  20]],2,299.06050000000005,0.08726016414141415,[[167  13]],167,13,1.2,0.25,0.0,True
43,[[167  13]],1,220.9444,0.07739702020202019,[[157  14]],157,14,1.2,0.2,0.0,True
44,[[157  14]],0,314.42099999999994,0.10653295454545453,[[171  23]],171,23,1.2,0.25,0.0,True
45,[[171  23]],2,330.7358,0.09259290404040403,[[175  13]],175,13,1.2,0.25,0.0,True
46,[[175  13]],1,234.70376,0.08813431313131312,[[161  19]],161,19,1.2,0.2,0.0,True
47,[[161  19]],2,233.60648,0.08916243434343435,[[158  20]],158,20,1.2,0.2,0.0,True
48,[[158  20]],0,307.5748,0.08566853535353534,[[161  12]],161,12,1.2,0.25,0.0,True
49,[[161  12]],2,318.124,0.09850050505050505,[[170  18]],170,18,1.2,0.25,0.0,True
50,[[170  18]],2,320.8656,0.09284666666666666,[[174  14]],174,14,1.2,0.25,0.0,True
51,[[174  14]],1,230.62608,0.07895278787878787,[[159  14]],159,14,1.2,0.2,0.0,True
52,[[159  14]],1,204.42677999999998,0.07714479545454545,[[188  12]],188,12,1.2,0.15,0.0,True
53,[[188  12]],2,174.31968,0.07017672727272727,[[169  12]],169,12,1.2,0.15,0.0,True
54,[[169  12]],0,227.8932,0.07410772727272727,[[162  11]],162,11,1.2,0.2,0.0,True
55,[[162  11]],2,244.31784,0.08484821212121213,[[174  15]],174,15,1.2,0.2,0.0,True
