,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],2,0.0,0.0,[[0 0]],0,0,1.2,0.1,0.0,True
1,[[0 0]],1,7.750020000000001,13.615342045454547,[[21  1]],21,1,1.2,0.05,0.0,True
2,[[21  1]],2,16.31474,31.101973863636367,[[41  3]],41,3,1.2,0.05,0.0,True
3,[[41  3]],2,22.33604,43.34409318181819,[[59  4]],59,4,1.2,0.05,0.0,True
4,[[59  4]],1,0.0,71.4,[[68 10]],68,10,1.2,0.0,0.0,True
5,[[68 10]],1,0.0,76.5,[[100   8]],100,8,1.2,0.0,0.0,True
6,[[100   8]],1,0.0,86.7,[[104  10]],104,10,1.2,0.0,0.0,True
7,[[104  10]],2,0.0,75.64999999999999,[[118   6]],118,6,1.2,0.0,0.0,True
8,[[118   6]],0,36.23086000000001,81.53357159090909,[[97  9]],97,9,1.2,0.05,0.0,True
9,[[97  9]],2,46.9384,87.66695454545454,[[130   7]],130,7,1.2,0.05,0.0,True
10,[[130   7]],0,96.90716,158.08108863636363,[[139  22]],139,22,1.2,0.1,0.0,True
11,[[139  22]],1,61.06118000000001,162.41938522727273,[[164  21]],164,21,1.2,0.05,0.0,True
12,[[164  21]],0,115.38612,141.28102954545454,[[147  17]],147,17,1.2,0.1,0.0,True
13,[[147  17]],2,117.10788,137.12885681818182,[[147  16]],147,16,1.2,0.1,0.0,True
14,[[147  16]],2,120.36088000000001,192.9886863636364,[[158  28]],158,28,1.2,0.1,0.0,True
15,[[158  28]],2,115.75412,124.30193863636364,[[157  12]],157,12,1.2,0.1,0.0,True
16,[[157  12]],2,114.56856,179.0595772727273,[[156  25]],156,25,1.2,0.1,0.0,True
17,[[156  25]],2,114.97068000000002,154.85742499999998,[[159  19]],159,19,1.2,0.1,0.0,True
18,[[159  19]],2,113.18344,131.8058772727273,[[155  14]],155,14,1.2,0.1,0.0,True
19,[[155  14]],1,59.57208,162.75977727272726,[[165  21]],165,21,1.2,0.05,0.0,True
20,[[165  21]],2,57.4787,115.89083522727273,[[155  11]],155,11,1.2,0.05,0.0,True
21,[[155  11]],0,137.14484000000002,168.44232045454547,[[178  20]],178,20,1.2,0.1,0.0,True
22,[[178  20]],2,109.27456,129.03378181818184,[[149  14]],149,14,1.2,0.1,0.0,True
23,[[149  14]],1,56.22802,167.66977386363635,[[157  23]],157,23,1.2,0.05,0.0,True
24,[[157  23]],0,128.52036,166.25229318181817,[[174  20]],174,20,1.2,0.1,0.0,True
25,[[174  20]],0,159.68225999999999,134.44785568181817,[[145  15]],145,15,1.2,0.15,0.0,True
26,[[145  15]],1,131.04484,144.72072954545453,[[173  15]],173,15,1.2,0.1,0.0,True
27,[[173  15]],0,189.42641999999998,139.96286477272727,[[174  13]],174,13,1.2,0.15,0.0,True
28,[[174  13]],0,253.63871999999998,149.5612909090909,[[168  15]],168,15,1.2,0.2,0.0,True
29,[[168  15]],0,303.67279999999994,146.02913636363638,[[163  14]],163,14,1.2,0.25,0.0,True
30,[[163  14]],2,305.1392,172.88745454545452,[[166  20]],166,20,1.2,0.25,0.0,True
31,[[166  20]],0,333.84816,157.94364545454545,[[147  18]],147,18,1.2,0.3,0.0,True
32,[[147  18]],1,337.53290000000004,157.7280056818182,[[166  16]],166,16,1.2,0.25,0.0,True
33,[[166  16]],0,301.85015999999996,125.95057727272727,[[136  12]],136,12,1.2,0.3,0.0,True
34,[[136  12]],2,405.87359999999995,180.73600000000002,[[181  19]],181,19,1.2,0.3,0.0,True
35,[[181  19]],0,433.10259999999994,157.20810227272727,[[172  14]],172,14,1.2,0.35,0.0,True
36,[[172  14]],1,314.80164,144.1114568181818,[[147  15]],147,15,1.2,0.3,0.0,True
37,[[147  15]],2,398.22204,184.97625227272727,[[182  20]],182,20,1.2,0.3,0.0,True
38,[[182  20]],2,387.78564,180.558275,[[173  20]],173,20,1.2,0.3,0.0,True
39,[[173  20]],2,380.5644,169.09797727272726,[[167  18]],167,18,1.2,0.3,0.0,True
40,[[167  18]],0,425.72403999999995,144.4638659090909,[[163  12]],163,12,1.2,0.35,0.0,True
41,[[163  12]],2,430.80323999999996,166.4274568181818,[[174  16]],174,16,1.2,0.35,0.0,True
42,[[174  16]],0,471.50752,167.4652,[[161  17]],161,17,1.2,0.4,0.0,True
43,[[161  17]],0,563.68044,177.37729772727272,[[172  17]],172,17,1.2,0.45,0.0,True
44,[[172  17]],1,515.50656,171.66514545454547,[[165  17]],165,17,1.2,0.4,0.0,True
45,[[165  17]],0,541.6621200000001,185.90125681818182,[[165  20]],165,20,1.2,0.45,0.0,True
46,[[165  20]],0,634.7354,197.13951136363636,[[179  20]],179,20,1.2,0.5,0.0,True
