,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],1,0.0,0.0,[[0 0]],0,0,1.2,0.05,0.0,True
1,[[0 0]],1,0.0,19.975,[[17  3]],17,3,1.2,0.0,0.0,True
2,[[17  3]],2,0.0,37.824999999999996,[[39  5]],39,5,1.2,0.0,0.0,True
3,[[39  5]],0,15.97372,31.932597727272725,[[43  3]],43,3,1.2,0.05,0.0,True
4,[[43  3]],2,29.37054,78.59378068181817,[[81 10]],81,10,1.2,0.05,0.0,True
5,[[81 10]],0,60.95608,85.48841363636365,[[83 11]],83,11,1.2,0.1,0.0,True
6,[[83 11]],2,70.72248,95.81832272727273,[[96 12]],96,12,1.2,0.1,0.0,True
7,[[96 12]],0,155.44314,101.48199659090909,[[138   8]],138,8,1.2,0.15,0.0,True
8,[[138   8]],2,142.44042,122.84320568181819,[[130  14]],130,14,1.2,0.15,0.0,True
9,[[130  14]],1,100.07756,124.68622500000001,[[130  15]],130,15,1.2,0.1,0.0,True
10,[[130  15]],1,50.793260000000004,135.9109806818182,[[143  17]],143,17,1.2,0.05,0.0,True
11,[[143  17]],2,52.42114000000001,107.52847386363636,[[136  11]],136,11,1.2,0.05,0.0,True
12,[[136  11]],1,0.0,140.67499999999998,[[141  19]],141,19,1.2,0.0,0.0,True
13,[[141  19]],1,0.0,112.2,[[144  12]],144,12,1.2,0.0,0.0,True
14,[[144  12]],2,0.0,110.075,[[149  11]],149,11,1.2,0.0,0.0,True
15,[[149  11]],0,53.21486,144.54857159090906,[[143  19]],143,19,1.2,0.05,0.0,True
16,[[143  19]],0,110.90492,114.25141590909091,[[154  10]],154,10,1.2,0.1,0.0,True
17,[[154  10]],2,115.24943999999999,156.14826363636362,[[162  19]],162,19,1.2,0.1,0.0,True
18,[[162  19]],2,118.43224000000001,137.62910454545454,[[158  15]],158,15,1.2,0.1,0.0,True
19,[[158  15]],1,69.7347,170.13719886363637,[[201  19]],201,19,1.2,0.05,0.0,True
20,[[201  19]],2,62.807320000000004,139.14359772727272,[[169  15]],169,15,1.2,0.05,0.0,True
21,[[169  15]],2,58.19024,118.48126363636365,[[161  11]],161,11,1.2,0.05,0.0,True
22,[[161  11]],1,0.0,137.70000000000002,[[164  16]],164,16,1.2,0.0,0.0,True
23,[[164  16]],2,0.0,125.37500000000001,[[155  14]],155,14,1.2,0.0,0.0,True
24,[[155  14]],1,0.0,132.6,[[172  14]],172,14,1.2,0.0,0.0,True
25,[[172  14]],2,0.0,173.4,[[178  23]],178,23,1.2,0.0,0.0,True
26,[[178  23]],2,0.0,134.3,[[166  15]],166,15,1.2,0.0,0.0,True
27,[[166  15]],2,0.0,172.125,[[165  24]],165,24,1.2,0.0,0.0,True
28,[[165  24]],0,61.524660000000004,133.54571931818182,[[156  15]],156,15,1.2,0.05,0.0,True
29,[[156  15]],0,103.68124,129.99097954545456,[[152  14]],152,14,1.2,0.1,0.0,True
30,[[152  14]],0,174.08826,134.41637840909092,[[153  14]],153,14,1.2,0.15,0.0,True
31,[[153  14]],1,123.06824,148.51751363636365,[[163  17]],163,17,1.2,0.1,0.0,True
32,[[163  17]],2,113.0112,153.8960909090909,[[147  20]],147,20,1.2,0.1,0.0,True
33,[[147  20]],0,165.50892,117.35391590909092,[[144  11]],144,11,1.2,0.15,0.0,True
34,[[144  11]],0,264.22048,146.3375272727273,[[169  14]],169,14,1.2,0.2,0.0,True
35,[[169  14]],0,302.2386,148.49764772727272,[[159  15]],159,15,1.2,0.25,0.0,True
36,[[159  15]],2,347.19169999999997,184.20180113636363,[[187  20]],187,20,1.2,0.25,0.0,True
