,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],1,0.0,0.0,[[0 0]],0,0,1.2,0.05,0.0,True
1,[[0 0]],1,0.0,13.530000000000001,[[21  2]],21,2,1.2,0.0,0.0,True
2,[[21  2]],1,0.0,26.400000000000002,[[40  4]],40,4,1.2,0.0,0.0,True
3,[[40  4]],2,0.0,27.059999999999995,[[52  3]],52,3,1.2,0.0,0.0,True
4,[[52  3]],1,0.0,52.47,[[89  7]],89,7,1.2,0.0,0.0,True
5,[[89  7]],2,0.0,45.21,[[87  5]],87,5,1.2,0.0,0.0,True
6,[[87  5]],0,41.586659999999995,73.8383325,[[108  10]],108,10,1.2,0.05,0.0,True
7,[[108  10]],2,38.746300000000005,67.21328749999999,[[109   8]],109,8,1.2,0.05,0.0,True
8,[[109   8]],0,92.46408,96.69801,[[138  12]],138,12,1.2,0.1,0.0,True
9,[[138  12]],1,53.02177999999999,103.3177225,[[143  15]],143,15,1.2,0.05,0.0,True
10,[[143  15]],1,0.0,93.72000000000001,[[124  16]],124,16,1.2,0.0,0.0,True
11,[[124  16]],2,0.0,70.29,[[113  10]],113,10,1.2,0.0,0.0,True
12,[[113  10]],2,0.0,106.59,[[133  19]],133,19,1.2,0.0,0.0,True
13,[[133  19]],1,0.0,93.72000000000001,[[164  12]],164,12,1.2,0.0,0.0,True
14,[[164  12]],2,0.0,75.57000000000001,[[159   7]],159,7,1.2,0.0,0.0,True
15,[[159   7]],2,0.0,112.85999999999999,[[142  20]],142,20,1.2,0.0,0.0,True
16,[[142  20]],0,52.300399999999996,87.71754999999999,[[146  10]],146,10,1.2,0.05,0.0,True
17,[[146  10]],2,62.80252,115.430315,[[166  16]],166,16,1.2,0.05,0.0,True
18,[[166  16]],1,0.0,123.09,[[153  22]],153,22,1.2,0.0,0.0,True
19,[[153  22]],2,0.0,98.01000000000002,[[157  14]],157,14,1.2,0.0,0.0,True
20,[[157  14]],1,0.0,111.86999999999999,[[149  19]],149,19,1.2,0.0,0.0,True
21,[[149  19]],0,63.799479999999996,136.344935,[[169  22]],169,22,1.2,0.05,0.0,True
22,[[169  22]],0,114.46732,110.33841500000001,[[161  13]],161,13,1.2,0.1,0.0,True
23,[[161  13]],0,196.48103999999998,145.34013,[[176  19]],176,19,1.2,0.15,0.0,True
