,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],1,0.0,12.5,[[20  3]],20,3,1.2,0.05,0.0,True
1,[[20  3]],1,0.0,15.0,[[40  2]],40,2,1.2,0.0,0.0,True
2,[[40  2]],0,14.89018,20.999999999999996,[[54  3]],54,3,1.2,0.05,0.0,True
3,[[54  3]],2,20.02068,47.25,[[79 11]],79,11,1.2,0.05,0.0,True
4,[[79 11]],1,0.0,51.00000000000001,[[84 12]],84,12,1.2,0.0,0.0,True
5,[[84 12]],1,0.0,56.49999999999999,[[106  12]],106,12,1.2,0.0,0.0,True
6,[[106  12]],2,0.0,52.00000000000001,[[108  10]],108,10,1.2,0.0,0.0,True
7,[[108  10]],2,0.0,61.0,[[154   9]],154,9,1.2,0.0,0.0,True
8,[[154   9]],0,59.41306,84.24999999999999,[[157  18]],157,18,1.2,0.05,0.0,True
9,[[157  18]],0,122.87252,75.00000000000001,[[160  14]],160,14,1.2,0.1,0.0,True
10,[[160  14]],0,175.73862,85.49999999999999,[[152  19]],152,19,1.2,0.15,0.0,True
11,[[152  19]],0,215.60696000000002,71.50000000000001,[[146  14]],146,14,1.2,0.2,0.0,True
12,[[146  14]],0,261.3487,67.75,[[151  12]],151,12,1.2,0.25,0.0,True
13,[[151  12]],1,230.94328000000002,74.25000000000001,[[157  14]],157,14,1.2,0.2,0.0,True
14,[[157  14]],1,179.48424,102.00000000000001,[[158  25]],158,25,1.2,0.15,0.0,True
15,[[158  25]],1,115.4404,70.25,[[141  14]],141,14,1.2,0.1,0.0,True
16,[[141  14]],2,99.63744,82.74999999999999,[[141  19]],141,19,1.2,0.1,0.0,True
17,[[141  19]],1,53.285880000000006,72.00000000000001,[[148  14]],148,14,1.2,0.05,0.0,True
18,[[148  14]],1,0.0,66.0,[[144  12]],144,12,1.2,0.0,0.0,True
19,[[144  12]],2,0.0,64.0,[[146  11]],146,11,1.2,0.0,0.0,True
20,[[146  11]],1,0.0,105.25,[[181  24]],181,24,1.2,0.0,0.0,True
21,[[181  24]],0,63.18346,73.0,[[172  12]],172,12,1.2,0.05,0.0,True
22,[[172  12]],2,63.31972,78.0,[[152  16]],152,16,1.2,0.05,0.0,True
23,[[152  16]],1,0.0,98.75,[[165  23]],165,23,1.2,0.0,0.0,True
24,[[165  23]],0,59.8518,62.75,[[151  10]],151,10,1.2,0.05,0.0,True
25,[[151  10]],2,57.199839999999995,91.75,[[157  21]],157,21,1.2,0.05,0.0,True
26,[[157  21]],1,0.0,72.50000000000001,[[170  12]],170,12,1.2,0.0,0.0,True
27,[[170  12]],2,0.0,76.25,[[125  18]],125,18,1.2,0.0,0.0,True
28,[[125  18]],0,45.09944,103.75,[[175  24]],175,24,1.2,0.05,0.0,True
29,[[175  24]],1,0.0,87.75,[[161  19]],161,19,1.2,0.0,0.0,True
30,[[161  19]],1,0.0,82.25,[[169  16]],169,16,1.2,0.0,0.0,True
31,[[169  16]],0,64.30234,62.0,[[148  10]],148,10,1.2,0.05,0.0,True
32,[[148  10]],0,111.96476000000001,68.5,[[174  10]],174,10,1.2,0.1,0.0,True
33,[[174  10]],2,133.1232,60.5,[[152   9]],152,9,1.2,0.1,0.0,True
34,[[152   9]],0,178.31688,82.75,[[171  16]],171,16,1.2,0.15,0.0,True
35,[[171  16]],2,175.3551,72.00000000000001,[[158  13]],158,13,1.2,0.15,0.0,True
36,[[158  13]],0,231.9068,97.75,[[161  23]],161,23,1.2,0.2,0.0,True
37,[[161  23]],0,304.07259999999997,102.50000000000001,[[170  24]],170,24,1.2,0.25,0.0,True
38,[[170  24]],1,241.48808,79.0,[[156  16]],156,16,1.2,0.2,0.0,True
39,[[156  16]],2,228.46848,88.5,[[174  18]],174,18,1.2,0.2,0.0,True
40,[[174  18]],0,312.9384,68.0,[[152  12]],152,12,1.2,0.25,0.0,True
41,[[152  12]],1,231.50648,91.0,[[164  20]],164,20,1.2,0.2,0.0,True
42,[[164  20]],1,179.71872,90.5,[[152  21]],152,21,1.2,0.15,0.0,True
43,[[152  21]],1,115.28944000000001,104.75000000000001,[[169  25]],169,25,1.2,0.1,0.0,True
44,[[169  25]],2,117.89516,98.5,[[174  22]],174,22,1.2,0.1,0.0,True
45,[[174  22]],1,62.20782,75.00000000000001,[[170  13]],170,13,1.2,0.05,0.0,True
46,[[170  13]],0,114.72688,87.25,[[169  18]],169,18,1.2,0.1,0.0,True
47,[[169  18]],2,127.56428,98.25,[[173  22]],173,22,1.2,0.1,0.0,True
48,[[173  22]],0,197.05254,91.75,[[167  20]],167,20,1.2,0.15,0.0,True
49,[[167  20]],2,187.18637999999999,80.0,[[170  15]],170,15,1.2,0.15,0.0,True
50,[[170  15]],2,185.08182,74.75,[[179  12]],179,12,1.2,0.15,0.0,True
51,[[179  12]],1,125.86984000000001,86.5,[[186  16]],186,16,1.2,0.1,0.0,True
52,[[186  16]],2,141.4026,94.25,[[157  22]],157,22,1.2,0.1,0.0,True
53,[[157  22]],2,109.79972000000001,115.99999999999999,[[164  30]],164,30,1.2,0.1,0.0,True
54,[[164  30]],0,186.10728,88.75,[[165  19]],165,19,1.2,0.15,0.0,True
55,[[165  19]],0,246.114,88.25,[[193  16]],193,16,1.2,0.2,0.0,True
56,[[193  16]],1,204.31182,98.0,[[192  20]],192,20,1.2,0.15,0.0,True
57,[[192  20]],1,138.33996,83.74999999999999,[[155  18]],155,18,1.2,0.1,0.0,True
58,[[155  18]],1,52.35794,105.25000000000001,[[191  23]],191,23,1.2,0.05,0.0,True
59,[[191  23]],1,0.0,94.75,[[159  22]],159,22,1.2,0.0,0.0,True
60,[[159  22]],2,0.0,82.49999999999999,[[180  15]],180,15,1.2,0.0,0.0,True
61,[[180  15]],1,0.0,81.5,[[166  16]],166,16,1.2,0.0,0.0,True
62,[[166  16]],2,0.0,95.75,[[183  20]],183,20,1.2,0.0,0.0,True
63,[[183  20]],1,0.0,93.75,[[185  19]],185,19,1.2,0.0,0.0,True
64,[[185  19]],1,0.0,96.25,[[195  19]],195,19,1.2,0.0,0.0,True
65,[[195  19]],2,0.0,89.0,[[186  17]],186,17,1.2,0.0,0.0,True
66,[[186  17]],0,64.80138,101.75,[[197  21]],197,21,1.2,0.05,0.0,True
67,[[197  21]],1,0.0,104.75,[[209  21]],209,21,1.2,0.0,0.0,True
68,[[209  21]],1,0.0,80.0,[[190  13]],190,13,1.2,0.0,0.0,True
69,[[190  13]],0,70.09126,86.0,[[204  14]],204,14,1.2,0.05,0.0,True
70,[[204  14]],2,68.1837,93.5,[[184  19]],184,19,1.2,0.05,0.0,True
71,[[184  19]],1,0.0,90.25,[[201  16]],201,16,1.2,0.0,0.0,True
