,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],0,0.0,0.0,[[20  3]],20,3,1.2,0.15,0.0,True
1,[[20  3]],2,25.680119999999995,25.680119999999995,[[27  2]],27,2,1.2,0.15,0.0,True
2,[[27  2]],0,38.531040000000004,38.531040000000004,[[46 11]],46,11,1.2,0.2,0.0,True
3,[[46 11]],1,49.74185999999999,49.74185999999999,[[70  9]],70,9,1.2,0.15,0.0,True
4,[[70  9]],0,103.46368000000001,103.46368000000001,[[124  10]],124,10,1.2,0.2,0.0,True
5,[[124  10]],0,230.672,230.672,[[102  12]],102,12,1.2,0.25,0.0,True
6,[[102  12]],2,172.52669999999998,172.52669999999998,[[113  14]],113,14,1.2,0.25,0.0,True
7,[[113  14]],2,218.461,218.461,[[124  16]],124,16,1.2,0.25,0.0,True
8,[[124  16]],0,262.65731999999997,262.65731999999997,[[121  13]],121,13,1.2,0.3,0.0,True
9,[[121  13]],1,228.25279999999998,228.25279999999998,[[145  19]],145,19,1.2,0.25,0.0,True
10,[[145  19]],2,257.6291,257.6291,[[154  15]],154,15,1.2,0.25,0.0,True
11,[[154  15]],0,350.12904,350.12904,[[148  14]],148,14,1.2,0.3,0.0,True
12,[[148  14]],2,309.45047999999997,309.45047999999997,[[153  14]],153,14,1.2,0.3,0.0,True
13,[[153  14]],1,272.4348,272.4348,[[175  13]],175,13,1.2,0.25,0.0,True
14,[[175  13]],0,376.70532000000003,376.70532000000003,[[132  13]],132,13,1.2,0.3,0.0,True
15,[[132  13]],2,296.30772,296.30772,[[169   9]],169,9,1.2,0.3,0.0,True
16,[[169   9]],2,391.27992,391.27992,[[150  17]],150,17,1.2,0.3,0.0,True
17,[[150  17]],2,327.98303999999996,327.98303999999996,[[172  13]],172,13,1.2,0.3,0.0,True
18,[[172  13]],1,334.4402,334.4402,[[160  11]],160,11,1.2,0.25,0.0,True
19,[[160  11]],2,297.9275,297.9275,[[158  16]],158,16,1.2,0.25,0.0,True
20,[[158  16]],0,352.06823999999995,352.06823999999995,[[147  20]],147,20,1.2,0.3,0.0,True
21,[[147  20]],0,369.00948,369.00948,[[173  15]],173,15,1.2,0.35,0.0,True
22,[[173  15]],0,493.04464,493.04464,[[160   8]],160,8,1.2,0.4,0.0,True
23,[[160   8]],0,529.8278399999999,529.8278399999999,[[173  24]],173,24,1.2,0.45,0.0,True
24,[[173  24]],0,647.2808,647.2808,[[160  23]],160,23,1.2,0.5,0.0,True
25,[[160  23]],0,652.6434200000001,652.6434200000001,[[166  17]],166,17,1.2,0.55,0.0,True
26,[[166  17]],0,732.9359999999999,732.9359999999999,[[176  15]],176,15,1.2,0.6,0.0,True
27,[[176  15]],0,848.40626,848.40626,[[163  20]],163,20,1.2,0.65,0.0,True
28,[[163  20]],0,835.4855599999999,835.4855599999999,[[165  19]],165,19,1.2,0.7,0.0,True
29,[[165  19]],2,895.5013199999999,895.5013199999999,[[174   4]],174,4,1.2,0.7,0.0,True
30,[[174   4]],0,946.5632999999999,946.5632999999999,[[147  14]],147,14,1.2,0.75,0.0,True
31,[[147  14]],1,773.2477199999998,773.2477199999998,[[172  12]],172,12,1.2,0.7,0.0,True
32,[[172  12]],1,805.80136,805.80136,[[144  11]],144,11,1.2,0.65,0.0,True
33,[[144  11]],0,708.0763199999999,708.0763199999999,[[162  17]],162,17,1.2,0.7,0.0,True
34,[[162  17]],1,754.1453399999999,754.1453399999999,[[161  13]],161,13,1.2,0.65,0.0,True
35,[[161  13]],2,776.8826,776.8826,[[141  21]],141,21,1.2,0.65,0.0,True
36,[[141  21]],2,690.62292,690.62292,[[167  15]],167,15,1.2,0.65,0.0,True
37,[[167  15]],1,736.2196799999999,736.2196799999999,[[157  14]],157,14,1.2,0.6,0.0,True
38,[[157  14]],2,684.63912,684.63912,[[182  19]],182,19,1.2,0.6,0.0,True
39,[[182  19]],1,734.0449600000001,734.0449600000001,[[167  15]],167,15,1.2,0.55,0.0,True
40,[[167  15]],2,688.3934200000001,688.3934200000001,[[178  10]],178,10,1.2,0.55,0.0,True
41,[[178  10]],0,802.87968,802.87968,[[158  12]],158,12,1.2,0.6,0.0,True
42,[[158  12]],1,617.0612800000001,617.0612800000001,[[155  17]],155,17,1.2,0.55,0.0,True
43,[[155  17]],1,545.3396,545.3396,[[173  12]],173,12,1.2,0.5,0.0,True
44,[[173  12]],1,549.81468,549.81468,[[176  26]],176,26,1.2,0.45,0.0,True
45,[[176  26]],0,643.5404,643.5404,[[167  11]],167,11,1.2,0.5,0.0,True
46,[[167  11]],2,614.0912,614.0912,[[150   9]],150,9,1.2,0.5,0.0,True
47,[[150   9]],2,546.3611999999999,546.3611999999999,[[169   8]],169,8,1.2,0.5,0.0,True
48,[[169   8]],0,691.3214,691.3214,[[170  12]],170,12,1.2,0.55,0.0,True
49,[[170  12]],0,739.4503199999999,739.4503199999999,[[174  16]],174,16,1.2,0.6,0.0,True
50,[[174  16]],2,790.29216,790.29216,[[192  19]],192,19,1.2,0.6,0.0,True
51,[[192  19]],0,878.2862399999999,878.2862399999999,[[153  12]],153,12,1.2,0.65,0.0,True
52,[[153  12]],0,751.9696799999999,751.9696799999999,[[169  17]],169,17,1.2,0.7,0.0,True
53,[[169  17]],1,805.4214999999999,805.4214999999999,[[155  14]],155,14,1.2,0.65,0.0,True
54,[[155  14]],2,709.3307,709.3307,[[153  14]],153,14,1.2,0.65,0.0,True
55,[[153  14]],1,679.0147199999999,679.0147199999999,[[179  17]],179,17,1.2,0.6,0.0,True
56,[[179  17]],0,854.57528,854.57528,[[177  15]],177,15,1.2,0.65,0.0,True
