,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],0,0.0,0.0,[[0 0]],0,0,1.2,0.15,0.0,True
1,[[0 0]],0,28.24944,22.00508181818182,[[18  3]],18,3,1.2,0.2,0.0,True
2,[[18  3]],0,67.3289,42.07550568181818,[[40  5]],40,5,1.2,0.25,0.0,True
3,[[40  5]],0,124.72703999999999,61.06176363636364,[[57  7]],57,7,1.2,0.3,0.0,True
4,[[57  7]],0,165.34224,68.46944545454545,[[69  7]],69,7,1.2,0.35,0.0,True
5,[[69  7]],2,264.37935999999996,85.99655454545456,[[97  7]],97,7,1.2,0.35,0.0,True
6,[[97  7]],1,224.80944,89.27326363636364,[[100   8]],100,8,1.2,0.3,0.0,True
7,[[100   8]],1,207.5759,110.39408522727273,[[112  12]],112,12,1.2,0.25,0.0,True
8,[[112  12]],0,298.64459999999997,134.6934431818182,[[137  14]],137,14,1.2,0.3,0.0,True
9,[[137  14]],1,225.67340000000002,117.79735227272727,[[127  12]],127,12,1.2,0.25,0.0,True
10,[[127  12]],0,277.84668,129.6867431818182,[[128  14]],128,14,1.2,0.3,0.0,True
11,[[128  14]],2,326.83583999999996,165.62021818181816,[[146  20]],146,20,1.2,0.3,0.0,True
12,[[146  20]],0,365.05321999999995,149.51666022727272,[[143  16]],143,16,1.2,0.35,0.0,True
13,[[143  16]],2,354.4352,145.08836363636365,[[134  16]],134,16,1.2,0.35,0.0,True
14,[[134  16]],0,459.83728,165.5271181818182,[[158  17]],158,17,1.2,0.4,0.0,True
15,[[158  17]],1,423.35299999999995,178.7541477272727,[[164  20]],164,20,1.2,0.35,0.0,True
16,[[164  20]],1,348.41351999999995,163.4462227272727,[[158  18]],158,18,1.2,0.3,0.0,True
17,[[158  18]],2,321.61343999999997,116.8734909090909,[[142   9]],142,9,1.2,0.3,0.0,True
18,[[142   9]],0,384.19233999999994,151.45411022727274,[[145  16]],145,16,1.2,0.35,0.0,True
19,[[145  16]],0,442.18992,149.64942727272728,[[153  14]],153,14,1.2,0.4,0.0,True
20,[[153  14]],1,416.8409,166.90914204545456,[[167  17]],167,17,1.2,0.35,0.0,True
21,[[167  17]],2,444.38813999999996,185.89932613636364,[[168  21]],168,21,1.2,0.35,0.0,True
22,[[168  21]],2,425.01998,165.67386249999998,[[173  16]],173,16,1.2,0.35,0.0,True
23,[[173  16]],1,301.98083999999994,151.88300227272725,[[157  16]],157,16,1.2,0.3,0.0,True
