,state,action,reward,next_state,fare,comm_rate,discount,Marketing
0,[[0 0]],0,0.0,[[0 0]],1.2,0.15,0.0,True
1,[[0 0]],2,19.668779999999998,[[18  3]],1.2,0.15,0.0,True
2,[[18  3]],2,41.555040000000005,[[35  3]],1.2,0.15,0.0,True
3,[[35  3]],2,58.74498,[[54  3]],1.2,0.15,0.0,True
4,[[54  3]],0,116.70072,[[81  8]],1.2,0.2,0.0,True
5,[[81  8]],1,91.69379999999998,[[81  3]],1.2,0.15,0.0,True
6,[[81  3]],2,117.54083999999999,[[106   6]],1.2,0.15,0.0,True
7,[[106   6]],2,133.88747999999998,[[119  20]],1.2,0.15,0.0,True
8,[[119  20]],1,101.3176,[[131   7]],1.2,0.1,0.0,True
9,[[131   7]],0,132.19062,[[122  15]],1.2,0.15,0.0,True
10,[[122  15]],1,96.84800000000001,[[145  10]],1.2,0.1,0.0,True
11,[[145  10]],1,56.74266,[[144  12]],1.2,0.05,0.0,True
12,[[144  12]],2,48.985839999999996,[[133  13]],1.2,0.05,0.0,True
13,[[133  13]],1,0.0,[[139  11]],1.2,0.0,0.0,True
14,[[139  11]],2,0.0,[[162  14]],1.2,0.0,0.0,True
15,[[162  14]],0,56.033879999999996,[[150  14]],1.2,0.05,0.0,True
16,[[150  14]],2,56.772580000000005,[[154  19]],1.2,0.05,0.0,True
17,[[154  19]],0,120.69252,[[165  11]],1.2,0.1,0.0,True
18,[[165  11]],2,119.46412000000001,[[161  15]],1.2,0.1,0.0,True
19,[[161  15]],1,60.1066,[[157  21]],1.2,0.05,0.0,True
20,[[157  21]],2,56.73544,[[154  16]],1.2,0.05,0.0,True
21,[[154  16]],0,123.13584,[[153  13]],1.2,0.1,0.0,True
22,[[153  13]],0,177.15774,[[157  14]],1.2,0.15,0.0,True
23,[[157  14]],0,237.96895999999998,[[152  18]],1.2,0.2,0.0,True
24,[[152  18]],1,191.99075999999997,[[170  16]],1.2,0.15,0.0,True
25,[[170  16]],2,171.51743999999997,[[154  21]],1.2,0.15,0.0,True
26,[[154  21]],1,128.80192,[[176  13]],1.2,0.1,0.0,True
27,[[176  13]],2,103.31384,[[148  20]],1.2,0.1,0.0,True
28,[[148  20]],2,125.87556,[[168  11]],1.2,0.1,0.0,True
29,[[168  11]],2,102.21496,[[137  14]],1.2,0.1,0.0,True
30,[[137  14]],1,56.20676,[[155  20]],1.2,0.05,0.0,True
31,[[155  20]],0,135.85656,[[177  12]],1.2,0.1,0.0,True
32,[[177  12]],2,113.54244,[[153  19]],1.2,0.1,0.0,True
33,[[153  19]],2,95.95016,[[133  16]],1.2,0.1,0.0,True
34,[[133  16]],1,55.3243,[[154  19]],1.2,0.05,0.0,True
35,[[154  19]],1,0.0,[[183  20]],1.2,0.0,0.0,True
36,[[183  20]],0,63.401140000000005,[[160  12]],1.2,0.05,0.0,True
37,[[160  12]],1,0.0,[[147  14]],1.2,0.0,0.0,True
38,[[147  14]],1,0.0,[[149  17]],1.2,0.0,0.0,True
39,[[149  17]],0,67.12456,[[178  20]],1.2,0.05,0.0,True
40,[[178  20]],0,135.23004,[[183  15]],1.2,0.1,0.0,True
41,[[183  15]],1,54.54316,[[148  25]],1.2,0.05,0.0,True
42,[[148  25]],2,62.22346,[[169  16]],1.2,0.05,0.0,True
43,[[169  16]],2,52.00484,[[146  19]],1.2,0.05,0.0,True
44,[[146  19]],1,0.0,[[142   9]],1.2,0.0,0.0,True
45,[[142   9]],2,0.0,[[160  21]],1.2,0.0,0.0,True
46,[[160  21]],0,65.74286000000001,[[182  15]],1.2,0.05,0.0,True
47,[[182  15]],0,132.71572,[[173  18]],1.2,0.1,0.0,True
48,[[173  18]],2,131.98044000000002,[[168  20]],1.2,0.1,0.0,True
49,[[168  20]],1,58.7999,[[167  22]],1.2,0.05,0.0,True
50,[[167  22]],2,69.15662,[[176  20]],1.2,0.05,0.0,True
51,[[176  20]],2,56.74226,[[167  20]],1.2,0.05,0.0,True
52,[[167  20]],1,0.0,[[170  12]],1.2,0.0,0.0,True
