,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],0,0.0,0.0,[[0 0]],0,0,1.2,0.15,0.0,True
1,[[0 0]],2,27.22338,23.221782954545453,[[21  3]],21,3,1.2,0.15,0.0,True
2,[[21  3]],2,33.78024,28.694331818181816,[[33  3]],33,3,1.2,0.15,0.0,True
3,[[33  3]],2,71.1585,44.8430965909091,[[66  3]],66,3,1.2,0.15,0.0,True
4,[[66  3]],1,47.797000000000004,77.09073863636364,[[65 11]],65,11,1.2,0.1,0.0,True
5,[[65 11]],1,36.72182,72.21146704545454,[[95  7]],95,7,1.2,0.05,0.0,True
6,[[95  7]],2,40.170519999999996,74.1074159090909,[[109   6]],109,6,1.2,0.05,0.0,True
7,[[109   6]],0,82.88832000000001,84.18456363636363,[[117   7]],117,7,1.2,0.1,0.0,True
8,[[117   7]],1,49.41132,125.63246136363638,[[129  16]],129,16,1.2,0.05,0.0,True
9,[[129  16]],1,0.0,95.625,[[115  11]],115,11,1.2,0.0,0.0,True
10,[[115  11]],0,53.639359999999996,110.57269090909091,[[143  11]],143,11,1.2,0.05,0.0,True
11,[[143  11]],0,117.90747999999999,116.34928863636364,[[158  10]],158,10,1.2,0.1,0.0,True
12,[[158  10]],0,175.37795999999997,115.78965681818181,[[159   9]],159,9,1.2,0.15,0.0,True
13,[[159   9]],0,227.09816,171.00330454545454,[[152  22]],152,22,1.2,0.2,0.0,True
14,[[152  22]],0,298.4855,128.7344034090909,[[163  10]],163,10,1.2,0.25,0.0,True
15,[[163  10]],0,369.18359999999996,128.0763409090909,[[162   9]],162,9,1.2,0.3,0.0,True
16,[[162   9]],2,336.17256,153.82571363636362,[[157  16]],157,16,1.2,0.3,0.0,True
17,[[157  16]],2,373.01676,173.76913409090906,[[169  19]],169,19,1.2,0.3,0.0,True
18,[[169  19]],1,328.75719999999995,155.52938636363635,[[182  14]],182,14,1.2,0.25,0.0,True
19,[[182  14]],2,306.90430000000003,207.8377443181818,[[158  29]],158,29,1.2,0.25,0.0,True
20,[[158  29]],1,253.15895999999998,152.50903181818182,[[165  16]],165,16,1.2,0.2,0.0,True
21,[[165  16]],1,180.64031999999997,149.23865454545455,[[167  16]],167,16,1.2,0.15,0.0,True
22,[[167  16]],1,131.31044,135.81082045454545,[[172  13]],172,13,1.2,0.1,0.0,True
23,[[172  13]],1,54.398900000000005,127.61584659090909,[[143  15]],143,15,1.2,0.05,0.0,True
24,[[143  15]],0,106.4268,143.74697727272726,[[144  18]],144,18,1.2,0.1,0.0,True
25,[[144  18]],1,59.20734,154.2390534090909,[[165  19]],165,19,1.2,0.05,0.0,True
26,[[165  19]],0,116.09576,146.84635,[[160  17]],160,17,1.2,0.1,0.0,True
27,[[160  17]],2,118.6688,128.29254545454546,[[166  12]],166,12,1.2,0.1,0.0,True
28,[[166  12]],2,111.2618,166.54669318181817,[[157  22]],157,22,1.2,0.1,0.0,True
29,[[157  22]],1,57.1803,167.2988806818182,[[156  23]],156,23,1.2,0.05,0.0,True
30,[[156  23]],1,0.0,121.12500000000001,[[155  13]],155,13,1.2,0.0,0.0,True
31,[[155  13]],0,64.19194,133.27226931818183,[[175  13]],175,13,1.2,0.05,0.0,True
32,[[175  13]],0,126.95028,164.8880840909091,[[171  20]],171,20,1.2,0.1,0.0,True
33,[[171  20]],2,116.59168,125.1995272727273,[[149  13]],149,13,1.2,0.1,0.0,True
34,[[149  13]],2,127.95396,134.77011136363637,[[180  12]],180,12,1.2,0.1,0.0,True
35,[[180  12]],0,167.53956,171.86929318181816,[[152  23]],152,23,1.2,0.15,0.0,True
36,[[152  23]],1,105.46792,140.29249545454547,[[146  17]],146,17,1.2,0.1,0.0,True
37,[[146  17]],1,65.12194,166.0501102272727,[[172  21]],172,21,1.2,0.05,0.0,True
38,[[172  21]],2,72.59096,109.52448636363637,[[188   6]],188,6,1.2,0.05,0.0,True
39,[[188   6]],0,112.95876,157.71811136363635,[[156  20]],156,20,1.2,0.1,0.0,True
40,[[156  20]],0,175.92774,166.39589431818183,[[158  21]],158,21,1.2,0.15,0.0,True
41,[[158  21]],2,173.5641,160.7365965909091,[[165  19]],165,19,1.2,0.15,0.0,True
42,[[165  19]],2,164.14499999999998,148.72642045454543,[[148  18]],148,18,1.2,0.15,0.0,True
43,[[148  18]],0,236.9336,152.86213636363635,[[158  17]],158,17,1.2,0.2,0.0,True
44,[[158  17]],0,319.33899999999994,158.39426136363636,[[170  16]],170,16,1.2,0.25,0.0,True
45,[[170  16]],0,393.08939999999996,174.05962499999998,[[177  18]],177,18,1.2,0.3,0.0,True
46,[[177  18]],0,441.99316,152.18824772727274,[[169  13]],169,13,1.2,0.35,0.0,True
47,[[169  13]],2,518.0372399999999,188.38393409090907,[[204  17]],204,17,1.2,0.35,0.0,True
48,[[204  17]],0,471.33168,147.9052090909091,[[165  12]],165,12,1.2,0.4,0.0,True
49,[[165  12]],1,379.38809999999995,164.78114204545454,[[147  19]],147,19,1.2,0.35,0.0,True
50,[[147  19]],0,532.01856,151.77832727272727,[[186  10]],186,10,1.2,0.4,0.0,True
51,[[186  10]],0,587.83626,205.09978750000002,[[184  22]],184,22,1.2,0.45,0.0,True
52,[[184  22]],0,622.0398,183.24317045454544,[[168  18]],168,18,1.2,0.5,0.0,True
53,[[168  18]],0,709.0815600000001,175.013725,[[177  14]],177,14,1.2,0.55,0.0,True
54,[[177  14]],0,757.23408,147.14966363636364,[[165   8]],165,8,1.2,0.6,0.0,True
55,[[165   8]],1,686.5551,187.3338125,[[159  19]],159,19,1.2,0.55,0.0,True
56,[[159  19]],0,731.92248,178.43650454545454,[[162  16]],162,16,1.2,0.6,0.0,True
57,[[162  16]],1,645.5677800000001,173.95498750000002,[[153  17]],153,17,1.2,0.55,0.0,True
58,[[153  17]],0,830.3068799999999,218.0265272727273,[[192  21]],192,21,1.2,0.6,0.0,True
59,[[192  21]],2,789.2030399999999,193.1660818181818,[[179  17]],179,17,1.2,0.6,0.0,True
60,[[179  17]],2,745.6735199999999,159.24281363636365,[[175  10]],175,10,1.2,0.6,0.0,True
61,[[175  10]],0,848.11116,215.2131340909091,[[183  21]],183,21,1.2,0.65,0.0,True
62,[[183  21]],1,802.14936,195.17666818181817,[[182  17]],182,17,1.2,0.6,0.0,True
63,[[182  17]],2,838.03752,192.9657681818182,[[192  15]],192,15,1.2,0.6,0.0,True
64,[[192  15]],2,756.3199199999999,164.5227227272727,[[176  11]],176,11,1.2,0.6,0.0,True
65,[[176  11]],1,692.5272199999999,175.77313750000002,[[181  14]],181,14,1.2,0.55,0.0,True
66,[[181  14]],2,752.79908,187.272675,[[190  15]],190,15,1.2,0.55,0.0,True
67,[[190  15]],0,743.1751199999999,188.85085909090907,[[175  17]],175,17,1.2,0.6,0.0,True
68,[[175  17]],1,752.6158200000001,165.5872625,[[189  10]],189,10,1.2,0.55,0.0,True
69,[[189  10]],2,614.8230000000001,183.258125,[[159  19]],159,19,1.2,0.55,0.0,True
70,[[159  19]],0,750.11424,172.67012727272729,[[176  13]],176,13,1.2,0.6,0.0,True
71,[[176  13]],2,769.3233600000001,159.31155454545456,[[172  10]],172,10,1.2,0.6,0.0,True
72,[[172  10]],1,756.8831600000001,213.004725,[[190  21]],190,21,1.2,0.55,0.0,True
73,[[190  21]],0,780.0019199999999,177.3432909090909,[[183  13]],183,13,1.2,0.6,0.0,True
74,[[183  13]],0,733.19246,181.0586625,[[158  17]],158,17,1.2,0.65,0.0,True
75,[[158  17]],1,888.56736,210.28678181818182,[[206  17]],206,17,1.2,0.6,0.0,True
76,[[206  17]],0,937.1804,204.54888636363634,[[206  15]],206,15,1.2,0.65,0.0,True
77,[[206  15]],2,851.3856000000001,194.1491818181818,[[183  16]],183,16,1.2,0.65,0.0,True
78,[[183  16]],1,727.9180799999999,167.58398181818183,[[167  13]],167,13,1.2,0.6,0.0,True
79,[[167  13]],2,875.2293599999999,195.50394090909091,[[203  14]],203,14,1.2,0.6,0.0,True
80,[[203  14]],0,973.80322,218.9547284090909,[[205  18]],205,18,1.2,0.65,0.0,True
81,[[205  18]],0,1039.91608,205.7111409090909,[[215  13]],215,13,1.2,0.7,0.0,True
82,[[215  13]],2,801.01532,201.06223409090907,[[166  20]],166,20,1.2,0.7,0.0,True
83,[[166  20]],1,836.98498,164.00596477272728,[[184   9]],184,9,1.2,0.65,0.0,True
84,[[184   9]],2,879.749,210.63573863636364,[[188  19]],188,19,1.2,0.65,0.0,True
85,[[188  19]],0,1088.79596,224.6384068181818,[[223  16]],223,16,1.2,0.7,0.0,True
86,[[223  16]],2,973.74032,185.37615454545454,[[196  11]],196,11,1.2,0.7,0.0,True
87,[[196  11]],2,898.4449599999999,191.7230090909091,[[191  14]],191,14,1.2,0.7,0.0,True
88,[[191  14]],0,979.1928,223.51095454545455,[[195  20]],195,20,1.2,0.75,0.0,True
89,[[195  20]],2,971.6325,195.45639204545455,[[190  14]],190,14,1.2,0.75,0.0,True
90,[[190  14]],1,1099.57316,239.70074772727276,[[217  20]],217,20,1.2,0.7,0.0,True
91,[[217  20]],0,1028.3607,182.52958522727275,[[192  10]],192,10,1.2,0.75,0.0,True
92,[[192  10]],1,973.6949599999999,188.34857727272725,[[193  12]],193,12,1.2,0.7,0.0,True
93,[[193  12]],0,1016.8320000000001,217.99954545454545,[[197  18]],197,18,1.2,0.75,0.0,True
94,[[197  18]],1,1003.1669199999999,222.32312045454546,[[209  18]],209,18,1.2,0.7,0.0,True
95,[[209  18]],1,910.02288,192.38084545454547,[[201  13]],201,13,1.2,0.65,0.0,True
96,[[201  13]],2,993.096,257.4509090909091,[[213  26]],213,26,1.2,0.65,0.0,True
97,[[213  26]],1,864.0252,200.3923409090909,[[216  14]],216,14,1.2,0.6,0.0,True
98,[[216  14]],0,868.29756,259.71008863636365,[[195  30]],195,30,1.2,0.65,0.0,True
99,[[195  30]],1,790.9704,174.56650000000002,[[195  11]],195,11,1.2,0.6,0.0,True
100,[[195  11]],1,762.57412,185.278075,[[194  14]],194,14,1.2,0.55,0.0,False
101,[[194  14]],0,949.2794399999999,212.0363318181818,[[232  14]],232,14,1.2,0.6,0.0,False
102,[[232  14]],2,892.2926399999999,205.82344545454544,[[215  15]],215,15,1.2,0.6,0.0,False
103,[[215  15]],2,822.5263199999999,216.30945,[[199  20]],199,20,1.2,0.6,0.0,False
104,[[199  20]],2,817.6163999999999,200.73047727272726,[[203  16]],203,16,1.2,0.6,0.0,False
105,[[203  16]],0,905.32572,213.36396136363638,[[201  18]],201,18,1.2,0.65,0.0,False
106,[[201  18]],0,937.62452,163.34912045454547,[[199   6]],199,6,1.2,0.7,0.0,False
107,[[199   6]],2,1019.4010399999999,202.84551363636362,[[211  13]],211,13,1.2,0.7,0.0,False
108,[[211  13]],2,1063.09168,221.05293636363638,[[218  16]],218,16,1.2,0.7,0.0,False
109,[[218  16]],0,1155.1028999999999,263.680846590909,[[226  24]],226,24,1.2,0.75,0.0,False
110,[[226  24]],2,1122.753,240.16778409090912,[[215  20]],215,20,1.2,0.75,0.0,False
111,[[215  20]],0,1321.07872,236.9862909090909,[[241  14]],241,14,1.2,0.8,0.0,False
112,[[241  14]],0,1209.22156,204.28077045454546,[[209  11]],209,11,1.2,0.85,0.0,False
113,[[209  11]],0,1389.5082,274.44932954545453,[[220  24]],220,24,1.2,0.9,0.0,False
114,[[220  24]],0,1320.00714,218.2254056818182,[[207  13]],207,13,1.2,0.95,0.0,False
115,[[207  13]],0,1502.2044,243.4525227272727,[[222  15]],222,15,1.2,1.0,0.0,False
116,[[222  15]],0,1452.3844,250.39684090909088,[[215  18]],215,18,1.2,1.0,0.0,False
117,[[215  18]],2,1536.4076,279.82088636363636,[[223  23]],223,23,1.2,1.0,0.0,False
118,[[223  23]],0,1517.6632,238.38086363636364,[[218  14]],218,14,1.2,1.0,0.0,False
119,[[218  14]],2,1713.6299999999999,288.1903409090909,[[249  20]],249,20,1.2,1.0,0.0,False
120,[[249  20]],2,1677.2179999999998,264.0214772727272,[[247  15]],247,15,1.2,1.0,0.0,False
121,[[247  15]],2,1542.4067999999997,245.31175,[[231  14]],231,14,1.2,1.0,0.0,False
122,[[231  14]],0,1577.7731999999999,237.54620454545451,[[228  12]],228,12,1.2,1.0,0.0,False
123,[[228  12]],2,1452.8539999999998,234.2735227272727,[[217  14]],217,14,1.2,1.0,0.0,False
124,[[217  14]],2,1670.7096000000001,266.20168181818184,[[243  16]],243,16,1.2,1.0,0.0,False
125,[[243  16]],2,1401.6344,248.78831818181817,[[208  19]],208,19,1.2,1.0,0.0,False
126,[[208  19]],1,1680.5876199999998,245.51293295454545,[[253  10]],253,10,1.2,0.95,0.0,False
127,[[253  10]],0,1715.7199999999998,253.8840909090909,[[238  13]],238,13,1.2,1.0,0.0,False
128,[[238  13]],1,1573.77228,243.69387954545454,[[243  12]],243,12,1.2,0.95,0.0,False
129,[[243  12]],1,1400.3874,266.5674659090909,[[240  20]],240,20,1.2,0.9,0.0,False
130,[[240  20]],1,1476.79102,225.85858068181818,[[254   8]],254,8,1.2,0.85,0.0,False
131,[[254   8]],2,1257.28566,276.28668522727276,[[222  26]],222,26,1.2,0.85,0.0,False
132,[[222  26]],0,1353.4776,252.0021363636364,[[222  19]],222,19,1.2,0.9,0.0,False
133,[[222  19]],0,1554.8543599999998,229.8689977272727,[[233  10]],233,10,1.2,0.95,0.0,False
134,[[233  10]],2,1466.8459799999998,235.06852159090909,[[237  12]],237,12,1.2,0.95,0.0,False
135,[[237  12]],0,1658.6095999999998,264.2391818181818,[[250  15]],250,15,1.2,1.0,0.0,False
136,[[250  15]],1,1323.8322199999998,258.81773977272724,[[212  22]],212,22,1.2,0.95,0.0,False
137,[[212  22]],1,1188.56952,226.05735909090907,[[203  17]],203,17,1.2,0.9,0.0,False
138,[[203  17]],0,1520.91238,285.3154761363636,[[238  23]],238,23,1.2,0.95,0.0,False
