,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],0,0.0,8.166666666666666,[[19  3]],19,3,1.2,0.15,0.0,True
1,[[19  3]],1,14.493080000000003,10.163267676767676,[[40  1]],40,1,1.2,0.1,0.0,True
2,[[40  1]],1,15.13684,13.41121717171717,[[49  2]],49,2,1.2,0.05,0.0,True
3,[[49  2]],2,18.619419999999998,28.350936868686865,[[76  8]],76,8,1.2,0.05,0.0,True
4,[[76  8]],2,28.3585,38.247285353535354,[[88 12]],88,12,1.2,0.05,0.0,True
5,[[88 12]],2,32.17312,38.06226262626262,[[114   9]],114,9,1.2,0.05,0.0,True
6,[[114   9]],1,0.0,39.83333333333333,[[119  12]],119,12,1.2,0.0,0.0,True
7,[[119  12]],1,0.0,40.833333333333336,[[105  14]],105,14,1.2,0.0,0.0,True
8,[[105  14]],1,0.0,38.83333333333333,[[143   9]],143,9,1.2,0.0,0.0,True
9,[[143   9]],2,0.0,48.666666666666664,[[132  16]],132,16,1.2,0.0,0.0,True
10,[[132  16]],0,50.29086,57.183189393939394,[[145  16]],145,16,1.2,0.05,0.0,True
11,[[145  16]],2,53.2054,53.8845202020202,[[133  15]],133,15,1.2,0.05,0.0,True
12,[[133  15]],0,100.66316,78.04332828282828,[[152  24]],152,24,1.2,0.1,0.0,True
13,[[152  24]],1,55.476380000000006,72.6712601010101,[[164  23]],164,23,1.2,0.05,0.0,True
14,[[164  23]],2,56.87192,63.68079797979797,[[159  18]],159,18,1.2,0.05,0.0,True
15,[[159  18]],1,0.0,58.333333333333336,[[150  20]],150,20,1.2,0.0,0.0,True
16,[[150  20]],1,0.0,63.166666666666664,[[189  19]],189,19,1.2,0.0,0.0,True
17,[[189  19]],0,69.78744,60.81154545454546,[[162  15]],162,15,1.2,0.05,0.0,True
18,[[162  15]],2,62.06388,59.336348484848486,[[149  16]],149,16,1.2,0.05,0.0,True
19,[[149  16]],1,0.0,43.0,[[138  12]],138,12,1.2,0.0,0.0,True
20,[[138  12]],1,0.0,60.666666666666664,[[154  21]],154,21,1.2,0.0,0.0,True
21,[[154  21]],0,57.307900000000004,55.90251262626263,[[152  14]],152,14,1.2,0.05,0.0,True
22,[[152  14]],0,107.02216,78.34623232323231,[[179  21]],179,21,1.2,0.1,0.0,True
23,[[179  21]],0,191.24321999999998,68.98020454545453,[[159  11]],159,11,1.2,0.15,0.0,True
24,[[159  11]],0,240.66912000000002,86.22084848484849,[[165  17]],165,17,1.2,0.2,0.0,True
25,[[165  17]],2,242.34336000000002,84.9322424242424,[[166  16]],166,16,1.2,0.2,0.0,True
26,[[166  16]],2,244.88896000000003,80.5869898989899,[[158  14]],158,14,1.2,0.2,0.0,True
27,[[158  14]],2,241.13696,78.11325252525253,[[136  15]],136,15,1.2,0.2,0.0,True
28,[[136  15]],2,203.81728000000004,73.90117171717172,[[179  11]],179,11,1.2,0.2,0.0,True
29,[[179  11]],2,254.58752000000004,98.47822222222221,[[148  25]],148,25,1.2,0.2,0.0,True
30,[[148  25]],0,253.78160000000003,93.20979797979797,[[167  20]],167,20,1.2,0.25,0.0,True
31,[[167  20]],0,365.51279999999997,105.31727272727272,[[175  18]],175,18,1.2,0.3,0.0,True
32,[[175  18]],1,294.47029999999995,75.51392676767675,[[170   6]],170,6,1.2,0.25,0.0,True
33,[[170   6]],2,299.9749,91.20895202020202,[[130  19]],130,19,1.2,0.25,0.0,True
34,[[130  19]],2,240.78109999999998,81.06832070707071,[[144  16]],144,16,1.2,0.25,0.0,True
35,[[144  16]],0,323.52012,99.68183333333333,[[143  21]],143,21,1.2,0.3,0.0,True
36,[[143  21]],2,292.59119999999996,89.61,[[156  16]],156,16,1.2,0.3,0.0,True
37,[[156  16]],2,332.61731999999995,89.16380303030303,[[153  13]],153,13,1.2,0.3,0.0,True
38,[[153  13]],0,366.4449599999999,101.76830303030302,[[153  18]],153,18,1.2,0.35,0.0,True
39,[[153  18]],2,398.7228,98.01045454545455,[[166  12]],166,12,1.2,0.35,0.0,True
40,[[166  12]],1,366.93276,86.82989393939393,[[153   9]],153,9,1.2,0.3,0.0,True
41,[[153   9]],2,347.57208,100.38536363636364,[[149  19]],149,19,1.2,0.3,0.0,True
42,[[149  19]],0,385.0112,109.27919191919192,[[174  19]],174,19,1.2,0.35,0.0,True
43,[[174  19]],0,497.80896,128.85466666666667,[[176  22]],176,22,1.2,0.4,0.0,True
44,[[176  22]],2,532.13536,133.1888080808081,[[166  23]],166,23,1.2,0.4,0.0,True
45,[[166  23]],1,413.40081999999995,110.03040656565655,[[157  19]],157,19,1.2,0.35,0.0,True
46,[[157  19]],2,411.397,103.61073232323231,[[170  14]],170,14,1.2,0.35,0.0,True
47,[[170  14]],0,492.81615999999997,115.05759595959594,[[177  14]],177,14,1.2,0.4,0.0,True
48,[[177  14]],1,463.56659999999994,121.19780303030304,[[166  21]],166,21,1.2,0.35,0.0,True
49,[[166  21]],0,498.34015999999997,123.58840404040403,[[184  18]],184,18,1.2,0.4,0.0,True
50,[[184  18]],1,481.8834999999999,115.51054292929291,[[168  16]],168,16,1.2,0.35,0.0,True
51,[[168  16]],1,376.0974,101.82037878787878,[[166  16]],166,16,1.2,0.3,0.0,True
52,[[166  16]],2,369.01968,107.42672727272728,[[195  17]],195,17,1.2,0.3,0.0,True
53,[[195  17]],2,433.03211999999996,107.34243939393939,[[186  13]],186,13,1.2,0.3,0.0,True
54,[[186  13]],1,328.9248,110.53090909090908,[[184  23]],184,23,1.2,0.25,0.0,True
55,[[184  23]],2,333.2579,90.411351010101,[[180  11]],180,11,1.2,0.25,0.0,True
