,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],1,0.0,0.0,[[0 0]],0,0,1.2,0.05,0.0,True
1,[[0 0]],2,6.99162,14.4039525,[[21  2]],21,2,1.2,0.05,0.0,True
2,[[21  2]],2,17.446759999999998,26.600845,[[44  3]],44,3,1.2,0.05,0.0,True
3,[[44  3]],0,37.01196,34.656495,[[51  4]],51,4,1.2,0.1,0.0,True
4,[[51  4]],2,54.313520000000004,50.679190000000006,[[73  6]],73,6,1.2,0.1,0.0,True
5,[[73  6]],2,67.92552,51.39069,[[90  4]],90,4,1.2,0.1,0.0,True
6,[[90  4]],1,36.35224,68.56403,[[94 10]],94,10,1.2,0.05,0.0,True
7,[[94 10]],2,37.50602000000001,89.4982525,[[107  15]],107,15,1.2,0.05,0.0,True
8,[[107  15]],0,104.05812,88.24726500000001,[[138   9]],138,9,1.2,0.1,0.0,True
9,[[138   9]],0,160.41215999999997,94.63152,[[136   9]],136,9,1.2,0.15,0.0,True
10,[[136   9]],0,217.55208000000005,118.60401000000002,[[147  13]],147,13,1.2,0.2,0.0,True
11,[[147  13]],2,227.44816,115.88102,[[145  12]],145,12,1.2,0.2,0.0,True
12,[[145  12]],0,271.0793,131.2349125,[[145  15]],145,15,1.2,0.25,0.0,True
13,[[145  15]],0,364.16868,137.921085,[[160  12]],160,12,1.2,0.3,0.0,True
14,[[160  12]],1,239.36759999999998,163.57095,[[135  27]],135,27,1.2,0.25,0.0,True
15,[[135  27]],2,265.40189999999996,127.8852375,[[147  14]],147,14,1.2,0.25,0.0,True
16,[[147  14]],2,312.2088,153.8661,[[168  18]],168,18,1.2,0.25,0.0,True
17,[[168  18]],1,220.30880000000002,131.48860000000002,[[155  16]],155,16,1.2,0.2,0.0,True
18,[[155  16]],0,285.8136,144.29670000000002,[[159  17]],159,17,1.2,0.25,0.0,True
19,[[159  17]],1,246.15272,162.10909,[[158  24]],158,24,1.2,0.2,0.0,True
20,[[158  24]],2,228.24736000000001,124.56092000000002,[[151  14]],151,14,1.2,0.2,0.0,True
21,[[151  14]],2,223.28448,127.90055999999998,[[153  15]],153,15,1.2,0.2,0.0,True
22,[[153  15]],0,266.3524,143.18404999999998,[[143  19]],143,19,1.2,0.25,0.0,True
23,[[143  19]],2,285.6649,169.3581125,[[155  25]],155,25,1.2,0.25,0.0,True
24,[[155  25]],0,378.11196,189.82399500000002,[[162  27]],162,27,1.2,0.3,0.0,True
25,[[162  27]],0,356.45372,142.56671500000002,[[137  16]],137,16,1.2,0.35,0.0,True
26,[[137  16]],1,282.51612,154.774515,[[132  23]],132,23,1.2,0.3,0.0,True
27,[[132  23]],0,454.22579999999994,170.298225,[[174  17]],174,17,1.2,0.35,0.0,True
28,[[174  17]],1,379.51524,160.959405,[[174  17]],174,17,1.2,0.3,0.0,True
29,[[174  17]],1,307.3007,138.4025875,[[163  14]],163,14,1.2,0.25,0.0,True
30,[[163  14]],0,345.72528,133.30566,[[153  12]],153,12,1.2,0.3,0.0,True
31,[[153  12]],0,431.00357999999994,146.6054475,[[171  11]],171,11,1.2,0.35,0.0,True
32,[[171  11]],2,425.55114,166.0538925,[[162  18]],162,18,1.2,0.35,0.0,True
33,[[162  18]],2,442.1291,181.98613749999998,[[164  22]],164,22,1.2,0.35,0.0,True
34,[[164  22]],2,421.50752,158.61844000000002,[[161  16]],161,16,1.2,0.35,0.0,True
