,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],1,0.0,0.0,[[0 0]],0,0,1.2,0.05,0.0,True
1,[[0 0]],0,11.98188,21.08078863636364,[[18  3]],18,3,1.2,0.1,0.0,True
2,[[18  3]],2,21.30856,30.53571363636364,[[29  4]],29,4,1.2,0.1,0.0,True
3,[[29  4]],2,33.96096,44.854600000000005,[[51  5]],51,5,1.2,0.1,0.0,True
4,[[51  5]],0,86.59073999999998,65.26992840909092,[[82  6]],82,6,1.2,0.15,0.0,True
5,[[82  6]],1,76.2664,81.25831818181818,[[101   8]],101,8,1.2,0.1,0.0,True
6,[[101   8]],0,122.60526,105.99120795454544,[[113  12]],113,12,1.2,0.15,0.0,True
7,[[113  12]],1,89.25880000000001,126.62152272727273,[[116  17]],116,17,1.2,0.1,0.0,True
8,[[116  17]],1,43.303799999999995,106.16044318181818,[[114  13]],114,13,1.2,0.05,0.0,True
9,[[114  13]],2,48.09978,134.05794204545452,[[129  18]],129,18,1.2,0.05,0.0,True
10,[[129  18]],2,53.70822,138.20160340909092,[[138  18]],138,18,1.2,0.05,0.0,True
11,[[138  18]],1,0.0,135.15,[[148  17]],148,17,1.2,0.0,0.0,True
12,[[148  17]],0,51.025180000000006,104.04915795454545,[[148   9]],148,9,1.2,0.05,0.0,True
13,[[148   9]],1,0.0,127.50000000000001,[[130  17]],130,17,1.2,0.0,0.0,True
14,[[130  17]],0,51.74546,134.6900829545455,[[140  17]],140,17,1.2,0.05,0.0,True
15,[[140  17]],0,119.52704,121.54130909090911,[[160  11]],160,11,1.2,0.1,0.0,True
16,[[160  11]],0,165.75654,117.36798522727273,[[154  10]],154,10,1.2,0.15,0.0,True
17,[[154  10]],2,166.27877999999998,162.02265795454545,[[159  20]],159,20,1.2,0.15,0.0,True
18,[[159  20]],1,113.37052000000001,140.3165068181818,[[155  16]],155,16,1.2,0.1,0.0,True
19,[[155  16]],1,54.8056,153.56395454545452,[[154  20]],154,20,1.2,0.05,0.0,True
20,[[154  20]],0,106.69659999999999,137.3873068181818,[[149  16]],149,16,1.2,0.1,0.0,True
21,[[149  16]],1,65.1537,157.12691477272725,[[171  19]],171,19,1.2,0.05,0.0,True
22,[[171  19]],1,0.0,130.47500000000002,[[137  17]],137,17,1.2,0.0,0.0,True
23,[[137  17]],0,55.021519999999995,134.45122272727272,[[149  16]],149,16,1.2,0.05,0.0,True
24,[[149  16]],1,0.0,140.25,[[170  16]],170,16,1.2,0.0,0.0,True
25,[[170  16]],1,0.0,126.225,[[147  15]],147,15,1.2,0.0,0.0,True
26,[[147  15]],2,0.0,139.4,[[168  16]],168,16,1.2,0.0,0.0,True
27,[[168  16]],1,0.0,122.39999999999999,[[178  11]],178,11,1.2,0.0,0.0,True
28,[[178  11]],1,0.0,116.45,[[164  11]],164,11,1.2,0.0,0.0,True
29,[[164  11]],1,0.0,148.325,[[159  19]],159,19,1.2,0.0,0.0,True
30,[[159  19]],2,0.0,143.225,[[177  16]],177,16,1.2,0.0,0.0,True
31,[[177  16]],2,0.0,160.65,[[148  23]],148,23,1.2,0.0,0.0,True
32,[[148  23]],2,0.0,127.50000000000001,[[170  13]],170,13,1.2,0.0,0.0,True
33,[[170  13]],2,0.0,159.375,[[155  22]],155,22,1.2,0.0,0.0,True
34,[[155  22]],2,0.0,118.57500000000002,[[159  12]],159,12,1.2,0.0,0.0,True
35,[[159  12]],2,0.0,103.27499999999999,[[153   9]],153,9,1.2,0.0,0.0,True
36,[[153   9]],1,0.0,136.425,[[171  15]],171,15,1.2,0.0,0.0,True
37,[[171  15]],2,0.0,137.70000000000002,[[154  17]],154,17,1.2,0.0,0.0,True
38,[[154  17]],1,0.0,153.0,[[160  20]],160,20,1.2,0.0,0.0,True
39,[[160  20]],2,0.0,136.85,[[182  14]],182,14,1.2,0.0,0.0,True
40,[[182  14]],2,0.0,174.675,[[171  24]],171,24,1.2,0.0,0.0,True
41,[[171  24]],0,60.320899999999995,136.87732386363635,[[164  15]],164,15,1.2,0.05,0.0,True
42,[[164  15]],0,135.86004000000003,156.89432045454544,[[171  18]],171,18,1.2,0.1,0.0,True
43,[[171  18]],0,202.47606,180.22932159090908,[[177  22]],177,22,1.2,0.15,0.0,True
44,[[177  22]],1,108.0766,178.26571590909091,[[155  25]],155,25,1.2,0.1,0.0,True
45,[[155  25]],2,114.22656,169.26514545454546,[[153  23]],153,23,1.2,0.1,0.0,True
46,[[153  23]],1,64.77405999999999,154.55534431818182,[[175  18]],175,18,1.2,0.05,0.0,True
47,[[175  18]],0,118.7464,130.42195454545455,[[161  13]],161,13,1.2,0.1,0.0,True
48,[[161  13]],0,181.92167999999998,123.3864590909091,[[156  11]],156,11,1.2,0.15,0.0,True
49,[[156  11]],2,175.40105999999997,174.4409693181818,[[167  22]],167,22,1.2,0.15,0.0,True
50,[[167  22]],2,190.63085999999998,145.13129886363637,[[176  14]],176,14,1.2,0.15,0.0,True
51,[[176  14]],1,134.18008,203.9738681818182,[[182  28]],182,28,1.2,0.1,0.0,True
52,[[182  28]],1,66.24526,150.38893522727273,[[175  17]],175,17,1.2,0.05,0.0,True
53,[[175  17]],2,59.86654,137.70150795454546,[[166  15]],166,15,1.2,0.05,0.0,True
54,[[166  15]],1,0.0,159.8,[[176  20]],176,20,1.2,0.0,0.0,True
55,[[176  20]],2,0.0,153.85,[[162  20]],162,20,1.2,0.0,0.0,True
56,[[162  20]],0,58.94818,129.1493284090909,[[166  13]],166,13,1.2,0.05,0.0,True
57,[[166  13]],2,72.32068,174.95912954545457,[[202  20]],202,20,1.2,0.05,0.0,True
58,[[202  20]],1,0.0,171.70000000000002,[[164  24]],164,24,1.2,0.0,0.0,True
59,[[164  24]],2,0.0,135.575,[[189  13]],189,13,1.2,0.0,0.0,True
60,[[189  13]],0,66.9706,188.2551477272727,[[184  25]],184,25,1.2,0.05,0.0,True
61,[[184  25]],1,0.0,145.775,[[203  14]],203,14,1.2,0.0,0.0,True
62,[[203  14]],2,0.0,191.25,[[180  27]],180,27,1.2,0.0,0.0,True
63,[[180  27]],0,66.05776,133.37828181818182,[[175  13]],175,13,1.2,0.05,0.0,True
64,[[175  13]],1,0.0,147.89999999999998,[[168  18]],168,18,1.2,0.0,0.0,True
65,[[168  18]],0,59.18306,141.91267386363634,[[176  15]],176,15,1.2,0.05,0.0,True
66,[[176  15]],0,130.1802,176.9716022727273,[[189  21]],189,21,1.2,0.1,0.0,True
67,[[189  21]],0,195.46638,211.28104431818184,[[191  28]],191,28,1.2,0.15,0.0,True
68,[[191  28]],1,129.23356,172.66781590909093,[[179  21]],179,21,1.2,0.1,0.0,True
69,[[179  21]],1,68.56200000000001,187.4955681818182,[[192  24]],192,24,1.2,0.05,0.0,True
70,[[192  24]],1,0.0,184.45,[[204  23]],204,23,1.2,0.0,0.0,True
71,[[204  23]],2,0.0,166.6,[[202  19]],202,19,1.2,0.0,0.0,True
72,[[202  19]],2,0.0,178.50000000000003,[[200  22]],200,22,1.2,0.0,0.0,True
73,[[200  22]],1,0.0,227.375,[[215  32]],215,32,1.2,0.0,0.0,True
74,[[215  32]],2,0.0,223.125,[[205  32]],205,32,1.2,0.0,0.0,True
75,[[205  32]],0,62.67828,156.5612659090909,[[180  18]],180,18,1.2,0.05,0.0,True
76,[[180  18]],2,63.50602,143.85829659090908,[[190  14]],190,14,1.2,0.05,0.0,True
77,[[190  14]],0,152.33571999999998,188.00543863636364,[[212  21]],212,21,1.2,0.1,0.0,True
78,[[212  21]],0,213.41357999999997,176.6007715909091,[[207  18]],207,18,1.2,0.15,0.0,True
79,[[207  18]],0,274.6008,221.7273181818182,[[195  29]],195,29,1.2,0.2,0.0,True
80,[[195  29]],0,351.8989,189.5692556818182,[[209  19]],209,19,1.2,0.25,0.0,True
81,[[209  19]],1,297.27416,193.26557727272728,[[215  20]],215,20,1.2,0.2,0.0,True
82,[[215  20]],1,233.30939999999998,169.2312159090909,[[227  14]],227,14,1.2,0.15,0.0,True
83,[[227  14]],1,170.33892,202.2033477272727,[[243  21]],243,21,1.2,0.1,0.0,True
84,[[243  21]],0,224.84945999999997,188.7255375,[[214  20]],214,20,1.2,0.15,0.0,True
85,[[214  20]],0,298.09296000000006,192.46210000000002,[[213  20]],213,20,1.2,0.2,0.0,True
86,[[213  20]],1,249.74705999999998,219.89017386363636,[[244  24]],244,24,1.2,0.15,0.0,True
87,[[244  24]],1,146.99664,169.85208181818183,[[210  17]],210,17,1.2,0.1,0.0,True
88,[[210  17]],1,73.04406,213.6752306818182,[[213  28]],213,28,1.2,0.05,0.0,True
89,[[213  28]],0,171.2422,223.07967045454544,[[242  26]],242,26,1.2,0.1,0.0,True
90,[[242  26]],0,222.13571999999996,197.49634772727273,[[215  22]],215,22,1.2,0.15,0.0,True
91,[[215  22]],1,138.59724,138.7748431818182,[[198  11]],198,11,1.2,0.1,0.0,True
92,[[198  11]],0,253.61969999999997,201.83521022727274,[[251  19]],251,19,1.2,0.15,0.0,True
93,[[251  19]],0,340.02616,241.59466818181818,[[253  27]],253,27,1.2,0.2,0.0,True
94,[[253  27]],2,287.50807999999995,197.38568636363635,[[206  22]],206,22,1.2,0.2,0.0,True
95,[[206  22]],0,405.80809999999997,214.7322784090909,[[241  21]],241,21,1.2,0.25,0.0,True
96,[[241  21]],0,546.4708799999999,221.87448181818183,[[259  19]],259,19,1.2,0.3,0.0,True
97,[[259  19]],2,534.4878,231.818625,[[254  22]],254,22,1.2,0.3,0.0,True
98,[[254  22]],2,524.6125199999999,191.30752954545454,[[240  14]],240,14,1.2,0.3,0.0,True
99,[[240  14]],1,414.7581,203.34080113636364,[[243  18]],243,18,1.2,0.25,0.0,True
100,[[243  18]],0,510.2230799999999,215.5649477272727,[[239  20]],239,20,1.2,0.3,0.0,False
101,[[239  20]],2,498.42083999999994,186.41936590909089,[[242  13]],242,13,1.2,0.3,0.0,False
102,[[242  13]],0,575.4366799999999,255.8202659090909,[[245  28]],245,28,1.2,0.35,0.0,False
103,[[245  28]],2,593.52916,237.72324772727274,[[250  23]],250,23,1.2,0.35,0.0,False
104,[[250  23]],1,498.18179999999995,208.93078409090907,[[245  18]],245,18,1.2,0.3,0.0,False
105,[[245  18]],0,605.36126,225.64552613636363,[[260  19]],260,19,1.2,0.35,0.0,False
106,[[260  19]],0,651.21696,204.02596363636366,[[243  15]],243,15,1.2,0.4,0.0,False
107,[[243  15]],2,721.50016,222.0443272727273,[[266  16]],266,16,1.2,0.4,0.0,False
108,[[266  16]],2,809.84144,205.8137181818182,[[286   9]],286,9,1.2,0.4,0.0,False
109,[[286   9]],2,727.4252799999999,241.93098181818183,[[272  20]],272,20,1.2,0.4,0.0,False
110,[[272  20]],2,753.1686400000001,227.66867272727276,[[275  16]],275,16,1.2,0.4,0.0,False
111,[[275  16]],2,745.29152,222.97110909090912,[[265  16]],265,16,1.2,0.4,0.0,False
112,[[265  16]],0,719.01216,196.82796363636362,[[237  13]],237,13,1.2,0.45,0.0,False
113,[[237  13]],1,727.33824,205.80103636363634,[[267  12]],267,12,1.2,0.4,0.0,False
114,[[267  12]],0,639.0018,159.55692045454546,[[220   7]],220,7,1.2,0.45,0.0,False
115,[[220   7]],0,812.8362,221.28387500000002,[[252  16]],252,16,1.2,0.5,0.0,False
116,[[252  16]],0,899.10304,230.8604,[[233  19]],233,19,1.2,0.55,0.0,False
117,[[233  19]],1,879.1297999999999,234.4005568181818,[[254  18]],254,18,1.2,0.5,0.0,False
118,[[254  18]],2,902.3865999999999,208.0969659090909,[[259  11]],259,11,1.2,0.5,0.0,False
119,[[259  11]],2,887.7816,226.39213636363638,[[264  15]],264,15,1.2,0.5,0.0,False
120,[[264  15]],2,908.7502,240.75853409090908,[[265  18]],265,18,1.2,0.5,0.0,False
121,[[265  18]],1,823.99986,224.46817386363637,[[268  15]],268,15,1.2,0.45,0.0,False
122,[[268  15]],2,815.12604,226.08897954545455,[[253  17]],253,17,1.2,0.45,0.0,False
123,[[253  17]],1,658.6822400000001,204.8751272727273,[[244  15]],244,15,1.2,0.4,0.0,False
124,[[244  15]],2,739.33536,213.28269090909092,[[273  13]],273,13,1.2,0.4,0.0,False
125,[[273  13]],0,757.55088,201.14266363636364,[[252  12]],252,12,1.2,0.45,0.0,False
126,[[252  12]],0,889.1338,246.86896590909095,[[262  20]],262,20,1.2,0.5,0.0,False
127,[[262  20]],2,878.0945999999999,253.04173863636362,[[258  22]],258,22,1.2,0.5,0.0,False
128,[[258  22]],2,794.0896,204.49372727272726,[[235  14]],235,14,1.2,0.5,0.0,False
129,[[235  14]],2,852.858,202.73284090909092,[[243  12]],243,12,1.2,0.5,0.0,False
130,[[243  12]],1,846.68922,216.83234204545454,[[267  13]],267,13,1.2,0.45,0.0,False
131,[[267  13]],1,685.39408,220.84284545454545,[[248  18]],248,18,1.2,0.4,0.0,False
132,[[248  18]],1,615.23798,179.8817034090909,[[251   9]],251,9,1.2,0.35,0.0,False
133,[[251   9]],0,695.7108800000001,195.07902727272725,[[256  11]],256,11,1.2,0.4,0.0,False
134,[[256  11]],1,606.18432,246.0922909090909,[[258  24]],258,24,1.2,0.35,0.0,False
135,[[258  24]],0,653.96496,220.7571,[[252  18]],252,18,1.2,0.4,0.0,False
136,[[252  18]],0,819.2853,232.27530113636365,[[267  17]],267,17,1.2,0.45,0.0,False
137,[[267  17]],2,812.53602,244.21681931818182,[[266  20]],266,20,1.2,0.45,0.0,False
138,[[266  20]],2,758.1915,246.2290625,[[248  23]],248,23,1.2,0.45,0.0,False
139,[[248  23]],1,684.11104,217.79494545454546,[[251  17]],251,17,1.2,0.4,0.0,False
140,[[251  17]],2,723.0182400000001,249.33058181818183,[[270  22]],270,22,1.2,0.4,0.0,False
141,[[270  22]],2,716.2713600000001,234.92223636363636,[[267  19]],267,19,1.2,0.4,0.0,False
142,[[267  19]],1,654.6805999999999,199.97276136363638,[[263  12]],263,12,1.2,0.35,0.0,False
143,[[263  12]],1,559.7350799999999,244.72812954545455,[[271  23]],271,23,1.2,0.3,0.0,False
144,[[271  23]],1,447.2959,250.66453977272727,[[260  27]],260,27,1.2,0.25,0.0,False
145,[[260  27]],1,334.22344,203.43996818181816,[[244  19]],244,19,1.2,0.2,0.0,False
146,[[244  19]],1,300.23267999999996,216.808675,[[290  18]],290,18,1.2,0.15,0.0,False
147,[[290  18]],1,196.69728,213.0509818181818,[[285  19]],285,19,1.2,0.1,0.0,False
148,[[285  19]],1,96.71527999999999,200.57018636363637,[[269  19]],269,19,1.2,0.05,0.0,False
149,[[269  19]],2,89.5823,178.91490340909093,[[269  14]],269,14,1.2,0.05,0.0,False
150,[[269  14]],0,179.06512,182.72415454545455,[[266  14]],266,14,1.2,0.1,0.0,False
151,[[266  14]],1,91.96302,191.80017159090912,[[279  16]],279,16,1.2,0.05,0.0,False
152,[[279  16]],1,0.0,221.85,[[282  24]],282,24,1.2,0.0,0.0,False
153,[[282  24]],1,0.0,167.45000000000002,[[254  14]],254,14,1.2,0.0,0.0,False
154,[[254  14]],1,0.0,197.20000000000002,[[264  20]],264,20,1.2,0.0,0.0,False
155,[[264  20]],1,0.0,201.02499999999998,[[303  17]],303,17,1.2,0.0,0.0,False
156,[[303  17]],0,98.88684,187.51857045454545,[[288  14]],288,14,1.2,0.05,0.0,False
157,[[288  14]],1,0.0,181.9,[[248  18]],248,18,1.2,0.0,0.0,False
158,[[248  18]],0,92.41762,242.40100113636367,[[268  29]],268,29,1.2,0.05,0.0,False
159,[[268  29]],0,194.35096,209.51766818181818,[[287  18]],287,18,1.2,0.1,0.0,False
160,[[287  18]],2,193.43436,225.61558863636364,[[285  22]],285,22,1.2,0.1,0.0,False
161,[[285  22]],0,290.26374,251.94225795454548,[[284  27]],284,27,1.2,0.15,0.0,False
162,[[284  27]],0,402.31128,238.33359545454545,[[297  21]],297,21,1.2,0.2,0.0,False
163,[[297  21]],0,483.04609999999997,275.2208011363636,[[283  30]],283,30,1.2,0.25,0.0,False
164,[[283  30]],1,380.16464,274.05026363636364,[[284  31]],284,31,1.2,0.2,0.0,False
165,[[284  31]],2,404.0032,255.85472727272727,[[298  25]],298,25,1.2,0.2,0.0,False
