,state,action,reward,next_state,fare,comm_rate,discount,Marketing
0,[[0 0]],2,0.0,[[0 0]],1.2,0.1,0.0,True
1,[[0 0]],2,16.883000000000003,[[22  0]],1.2,0.1,0.0,True
2,[[22  0]],2,19.74064,[[29  4]],1.2,0.1,0.0,True
3,[[29  4]],1,16.37912,[[44  6]],1.2,0.05,0.0,True
4,[[44  6]],2,26.770740000000004,[[72  4]],1.2,0.05,0.0,True
5,[[72  4]],2,35.402280000000005,[[99  7]],1.2,0.05,0.0,True
6,[[99  7]],0,74.49456,[[105  16]],1.2,0.1,0.0,True
7,[[105  16]],1,46.71728,[[122  13]],1.2,0.05,0.0,True
8,[[122  13]],0,85.67976,[[117  17]],1.2,0.1,0.0,True
9,[[117  17]],2,107.9894,[[157  15]],1.2,0.1,0.0,True
10,[[157  15]],0,153.40326,[[143  16]],1.2,0.15,0.0,True
11,[[143  16]],0,186.69648,[[132  15]],1.2,0.2,0.0,True
12,[[132  15]],0,251.7224,[[133  19]],1.2,0.25,0.0,True
13,[[133  19]],1,229.52432000000002,[[155  11]],1.2,0.2,0.0,True
14,[[155  11]],1,186.23345999999998,[[167  11]],1.2,0.15,0.0,True
15,[[167  11]],1,126.62488,[[170  20]],1.2,0.1,0.0,True
16,[[170  20]],0,202.22994,[[172  15]],1.2,0.15,0.0,True
17,[[172  15]],0,241.99952000000002,[[164  19]],1.2,0.2,0.0,True
18,[[164  19]],1,168.21648,[[150  18]],1.2,0.15,0.0,True
19,[[150  18]],0,258.02704,[[172  12]],1.2,0.2,0.0,True
20,[[172  12]],2,221.72912000000002,[[155  19]],1.2,0.2,0.0,True
21,[[155  19]],1,164.18346000000003,[[149  14]],1.2,0.15,0.0,True
22,[[149  14]],0,263.70448,[[172  14]],1.2,0.2,0.0,True
23,[[172  14]],2,176.70816,[[132  17]],1.2,0.2,0.0,True
24,[[132  17]],2,215.7824,[[149  18]],1.2,0.2,0.0,True
25,[[149  18]],0,322.1984,[[172  17]],1.2,0.25,0.0,True
26,[[172  17]],0,387.72612,[[174  11]],1.2,0.3,0.0,True
27,[[174  11]],2,352.87271999999996,[[165  14]],1.2,0.3,0.0,True
28,[[165  14]],0,422.35802,[[158  15]],1.2,0.35,0.0,True
29,[[158  15]],0,495.74015999999995,[[165  15]],1.2,0.4,0.0,True
30,[[165  15]],1,400.98184,[[157  15]],1.2,0.35,0.0,True
31,[[157  15]],1,407.15675999999996,[[183  12]],1.2,0.3,0.0,True
32,[[183  12]],0,474.1430399999999,[[177  16]],1.2,0.35,0.0,True
33,[[177  16]],1,354.46644,[[156  16]],1.2,0.3,0.0,True
34,[[156  16]],2,315.93996,[[153  12]],1.2,0.3,0.0,True
35,[[153  12]],1,300.0381,[[159  14]],1.2,0.25,0.0,True
36,[[159  14]],2,301.9348,[[164   9]],1.2,0.25,0.0,True
37,[[164   9]],2,282.88210000000004,[[158  17]],1.2,0.25,0.0,True
38,[[158  17]],2,288.0422,[[166  10]],1.2,0.25,0.0,True
39,[[166  10]],1,247.02016,[[172  16]],1.2,0.2,0.0,True
40,[[172  16]],0,316.0657,[[167  17]],1.2,0.25,0.0,True
41,[[167  17]],1,221.41375999999997,[[158  18]],1.2,0.2,0.0,True
42,[[158  18]],1,181.56065999999998,[[161  13]],1.2,0.15,0.0,True
43,[[161  13]],0,213.68288,[[149  20]],1.2,0.2,0.0,True
44,[[149  20]],1,174.03426,[[156  20]],1.2,0.15,0.0,True
45,[[156  20]],0,247.09312,[[160  24]],1.2,0.2,0.0,True
46,[[160  24]],2,241.20528000000002,[[165  16]],1.2,0.2,0.0,True
47,[[165  16]],0,254.4993,[[141  11]],1.2,0.25,0.0,True
48,[[141  11]],2,308.9214,[[156  16]],1.2,0.25,0.0,True
49,[[156  16]],1,240.69528,[[162  17]],1.2,0.2,0.0,True
50,[[162  17]],2,213.11608,[[145  16]],1.2,0.2,0.0,True
51,[[145  16]],2,253.19728,[[172  10]],1.2,0.2,0.0,True
52,[[172  10]],0,319.5028,[[182  17]],1.2,0.25,0.0,True
53,[[182  17]],2,279.6558,[[150  15]],1.2,0.25,0.0,True
54,[[150  15]],2,278.76779999999997,[[165  17]],1.2,0.25,0.0,True
55,[[165  17]],0,409.6266,[[181  12]],1.2,0.3,0.0,True
56,[[181  12]],2,355.90763999999996,[[161  10]],1.2,0.3,0.0,True
57,[[161  10]],1,327.1825,[[185  15]],1.2,0.25,0.0,True
58,[[185  15]],1,292.47360000000003,[[189  19]],1.2,0.2,0.0,True
59,[[189  19]],2,226.28288,[[164  12]],1.2,0.2,0.0,True
60,[[164  12]],1,212.68248,[[194  17]],1.2,0.15,0.0,True
61,[[194  17]],2,181.89407999999997,[[169  16]],1.2,0.15,0.0,True
62,[[169  16]],0,285.37543999999997,[[203  12]],1.2,0.2,0.0,True
63,[[203  12]],1,201.80514,[[175  12]],1.2,0.15,0.0,True
64,[[175  12]],1,123.935,[[169  13]],1.2,0.1,0.0,True
65,[[169  13]],1,66.31475999999999,[[183  13]],1.2,0.05,0.0,True
66,[[183  13]],2,66.14954,[[188  19]],1.2,0.05,0.0,True
67,[[188  19]],1,0.0,[[185  12]],1.2,0.0,0.0,True
68,[[185  12]],0,71.2851,[[198  12]],1.2,0.05,0.0,True
69,[[198  12]],0,147.08972,[[202  11]],1.2,0.1,0.0,True
70,[[202  11]],0,210.68777999999998,[[184  17]],1.2,0.15,0.0,True
71,[[184  17]],2,190.31694,[[167  13]],1.2,0.15,0.0,True
72,[[167  13]],1,122.34548000000001,[[175  18]],1.2,0.1,0.0,True
73,[[175  18]],2,137.7074,[[190  24]],1.2,0.1,0.0,True
74,[[190  24]],0,173.96159999999998,[[155  18]],1.2,0.15,0.0,True
75,[[155  18]],1,130.20688,[[176  11]],1.2,0.1,0.0,True
76,[[176  11]],0,170.75777999999997,[[155  12]],1.2,0.15,0.0,True
77,[[155  12]],0,290.16872,[[197  20]],1.2,0.2,0.0,True
78,[[197  20]],1,205.09332,[[191  16]],1.2,0.15,0.0,True
79,[[191  16]],1,146.41748,[[205  17]],1.2,0.1,0.0,True
80,[[205  17]],0,215.10863999999998,[[198  17]],1.2,0.15,0.0,True
81,[[198  17]],1,121.56996,[[177  12]],1.2,0.1,0.0,True
82,[[177  12]],0,189.44765999999998,[[180  16]],1.2,0.15,0.0,True
83,[[180  16]],0,301.16776000000004,[[205  26]],1.2,0.2,0.0,True
84,[[205  26]],0,321.45449999999994,[[183  16]],1.2,0.25,0.0,True
85,[[183  16]],2,353.6681,[[202  17]],1.2,0.25,0.0,True
86,[[202  17]],0,439.34808,[[209  14]],1.2,0.3,0.0,True
87,[[209  14]],0,484.09326,[[198  19]],1.2,0.35,0.0,True
88,[[198  19]],2,483.5660199999999,[[199  13]],1.2,0.35,0.0,True
89,[[199  13]],0,551.13872,[[190  15]],1.2,0.4,0.0,True
90,[[190  15]],1,485.18624,[[200  13]],1.2,0.35,0.0,True
91,[[200  13]],0,541.67616,[[192  20]],1.2,0.4,0.0,True
92,[[192  20]],1,539.17038,[[219  22]],1.2,0.35,0.0,True
93,[[219  22]],1,441.24924,[[209  17]],1.2,0.3,0.0,True
