,state,action,reward,next_state,fare,comm_rate,discount,Marketing
0,[[0 0]],1,0.0,[[0 0]],1.2,0.05,0.0,True
1,[[0 0]],2,3.04878,[[9 5]],1.2,0.05,0.0,True
2,[[9 5]],1,0.0,[[40  4]],1.2,0.0,0.0,True
3,[[40  4]],0,22.985480000000003,[[56  5]],1.2,0.05,0.0,True
4,[[56  5]],2,24.27552,[[69 10]],1.2,0.05,0.0,True
5,[[69 10]],2,35.39698,[[91  7]],1.2,0.05,0.0,True
6,[[91  7]],0,84.15856,[[113  12]],1.2,0.1,0.0,True
7,[[113  12]],0,129.70889999999997,[[111  12]],1.2,0.15,0.0,True
8,[[111  12]],1,109.75148,[[145   9]],1.2,0.1,0.0,True
9,[[145   9]],0,134.9178,[[134   8]],1.2,0.15,0.0,True
10,[[134   8]],0,206.42656,[[145  13]],1.2,0.2,0.0,True
11,[[145  13]],1,156.11747999999997,[[146  11]],1.2,0.15,0.0,True
12,[[146  11]],0,241.51096,[[166  15]],1.2,0.2,0.0,True
13,[[166  15]],0,281.0386,[[152  14]],1.2,0.25,0.0,True
14,[[152  14]],0,395.75471999999996,[[181  19]],1.2,0.3,0.0,True
15,[[181  19]],0,425.50703999999996,[[159  17]],1.2,0.35,0.0,True
16,[[159  17]],2,402.5470399999999,[[158  18]],1.2,0.35,0.0,True
17,[[158  18]],0,438.9072,[[153  22]],1.2,0.4,0.0,True
18,[[153  22]],2,440.17888000000005,[[140  18]],1.2,0.4,0.0,True
19,[[140  18]],2,481.08192,[[159  17]],1.2,0.4,0.0,True
20,[[159  17]],2,431.16448,[[155  21]],1.2,0.4,0.0,True
21,[[155  21]],2,466.59968000000003,[[160  18]],1.2,0.4,0.0,True
22,[[160  18]],0,557.42796,[[168  14]],1.2,0.45,0.0,True
23,[[168  14]],1,432.99280000000005,[[143  14]],1.2,0.4,0.0,True
24,[[143  14]],0,607.1003999999999,[[165  17]],1.2,0.45,0.0,True
25,[[165  17]],2,456.50124,[[139  20]],1.2,0.45,0.0,True
26,[[139  20]],1,434.25936,[[156  14]],1.2,0.4,0.0,True
27,[[156  14]],2,487.1232,[[162  13]],1.2,0.4,0.0,True
28,[[162  13]],1,397.38159999999993,[[157   4]],1.2,0.35,0.0,True
29,[[157   4]],2,402.53878,[[154  20]],1.2,0.35,0.0,True
30,[[154  20]],1,341.49096,[[159   9]],1.2,0.3,0.0,True
31,[[159   9]],2,342.82331999999997,[[156  29]],1.2,0.3,0.0,True
32,[[156  29]],2,407.37396,[[176  17]],1.2,0.3,0.0,True
33,[[176  17]],2,318.0492,[[144  16]],1.2,0.3,0.0,True
34,[[144  16]],1,319.67409999999995,[[176  15]],1.2,0.25,0.0,True
35,[[176  15]],2,312.2183,[[175  14]],1.2,0.25,0.0,True
36,[[175  14]],0,332.89511999999996,[[160  15]],1.2,0.3,0.0,True
37,[[160  15]],1,293.6113,[[167  13]],1.2,0.25,0.0,True
38,[[167  13]],0,328.55184,[[153  11]],1.2,0.3,0.0,True
39,[[153  11]],2,326.39327999999995,[[156  25]],1.2,0.3,0.0,True
40,[[156  25]],1,329.1548,[[172  22]],1.2,0.25,0.0,True
41,[[172  22]],0,370.92815999999993,[[171  16]],1.2,0.3,0.0,True
42,[[171  16]],2,325.75056,[[157  18]],1.2,0.3,0.0,True
43,[[157  18]],1,324.09569999999997,[[171  24]],1.2,0.25,0.0,True
44,[[171  24]],1,260.5672,[[172  10]],1.2,0.2,0.0,True
45,[[172  10]],2,264.00936,[[183  14]],1.2,0.2,0.0,True
46,[[183  14]],2,255.5572,[[175  14]],1.2,0.2,0.0,True
47,[[175  14]],1,183.70788,[[164  12]],1.2,0.15,0.0,True
48,[[164  12]],1,102.377,[[145  17]],1.2,0.1,0.0,True
49,[[145  17]],0,210.89844,[[177  14]],1.2,0.15,0.0,True
50,[[177  14]],0,231.41304,[[168  15]],1.2,0.2,0.0,True
51,[[168  15]],2,262.4,[[179  16]],1.2,0.2,0.0,True
52,[[179  16]],2,217.99248,[[159  20]],1.2,0.2,0.0,True
53,[[159  20]],0,300.3896,[[160  19]],1.2,0.25,0.0,True
54,[[160  19]],2,326.77639999999997,[[172  13]],1.2,0.25,0.0,True
55,[[172  13]],0,390.9126,[[173  29]],1.2,0.3,0.0,True
56,[[173  29]],2,394.41852,[[183  20]],1.2,0.3,0.0,True
57,[[183  20]],0,460.26455999999996,[[174  12]],1.2,0.35,0.0,True
58,[[174  12]],1,380.36015999999995,[[174  11]],1.2,0.3,0.0,True
59,[[174  11]],2,370.17263999999994,[[167  18]],1.2,0.3,0.0,True
60,[[167  18]],0,416.5817599999999,[[167  15]],1.2,0.35,0.0,True
61,[[167  15]],0,516.77488,[[176  19]],1.2,0.4,0.0,True
62,[[176  19]],0,627.62526,[[198  10]],1.2,0.45,0.0,True
63,[[198  10]],1,487.61136,[[159  12]],1.2,0.4,0.0,True
64,[[159  12]],2,552.8216,[[184  18]],1.2,0.4,0.0,True
65,[[184  18]],2,487.94896,[[173  16]],1.2,0.4,0.0,True
66,[[173  16]],2,557.33008,[[191  15]],1.2,0.4,0.0,True
67,[[191  15]],1,409.71615999999995,[[160  13]],1.2,0.35,0.0,True
68,[[160  13]],2,447.15328,[[175  18]],1.2,0.35,0.0,True
69,[[175  18]],1,403.00332,[[175  19]],1.2,0.3,0.0,True
70,[[175  19]],1,341.3994,[[180  20]],1.2,0.25,0.0,True
71,[[180  20]],0,374.21052,[[169  14]],1.2,0.3,0.0,True
72,[[169  14]],0,446.55562,[[178  15]],1.2,0.35,0.0,True
73,[[178  15]],0,481.88112,[[165  18]],1.2,0.4,0.0,True
74,[[165  18]],1,476.49784,[[181  12]],1.2,0.35,0.0,True
75,[[181  12]],2,434.8302,[[165  17]],1.2,0.35,0.0,True
76,[[165  17]],1,416.44115999999997,[[195  19]],1.2,0.3,0.0,True
77,[[195  19]],1,331.0819,[[185  18]],1.2,0.25,0.0,True
78,[[185  18]],0,448.8428399999999,[[211  21]],1.2,0.3,0.0,True
79,[[211  21]],1,346.1155,[[188  18]],1.2,0.25,0.0,True
80,[[188  18]],0,395.03448000000003,[[192   7]],1.2,0.3,0.0,True
81,[[192   7]],0,447.30055999999996,[[176  20]],1.2,0.35,0.0,True
82,[[176  20]],1,434.9768399999999,[[201  20]],1.2,0.3,0.0,True
83,[[201  20]],1,363.3954,[[198  16]],1.2,0.25,0.0,True
84,[[198  16]],0,410.4936,[[195  16]],1.2,0.3,0.0,True
85,[[195  16]],2,400.36415999999997,[[187  19]],1.2,0.3,0.0,True
86,[[187  19]],0,534.6273799999999,[[215  11]],1.2,0.35,0.0,True
87,[[215  11]],1,424.81596,[[209  17]],1.2,0.3,0.0,True
88,[[209  17]],1,316.6678,[[182  17]],1.2,0.25,0.0,True
89,[[182  17]],1,277.31768,[[197  14]],1.2,0.2,0.0,True
90,[[197  14]],2,261.18552,[[186  16]],1.2,0.2,0.0,True
91,[[186  16]],2,270.58688,[[203   8]],1.2,0.2,0.0,True
92,[[203   8]],2,258.06544,[[193  18]],1.2,0.2,0.0,True
93,[[193  18]],0,380.75239999999997,[[214  17]],1.2,0.25,0.0,True
94,[[214  17]],1,303.80232,[[210  16]],1.2,0.2,0.0,True
95,[[210  16]],2,256.21088,[[185  12]],1.2,0.2,0.0,True
96,[[185  12]],1,209.96171999999999,[[192   8]],1.2,0.15,0.0,True
97,[[192   8]],1,128.83524,[[189  12]],1.2,0.1,0.0,True
98,[[189  12]],2,127.54984,[[197  15]],1.2,0.1,0.0,True
99,[[197  15]],1,68.49906,[[198  17]],1.2,0.05,0.0,True
100,[[198  17]],1,0.0,[[219  21]],1.2,0.0,0.0,False
101,[[219  21]],1,0.0,[[213  14]],1.2,0.0,0.0,False
102,[[213  14]],2,0.0,[[223  12]],1.2,0.0,0.0,False
103,[[223  12]],0,74.24368,[[214  13]],1.2,0.05,0.0,False
104,[[214  13]],0,155.16708,[[225  15]],1.2,0.1,0.0,False
105,[[225  15]],0,246.26489999999998,[[236  14]],1.2,0.15,0.0,False
106,[[236  14]],2,220.03434,[[213  16]],1.2,0.15,0.0,False
107,[[213  16]],0,306.28928,[[224  12]],1.2,0.2,0.0,False
108,[[224  12]],2,323.67112000000003,[[232   8]],1.2,0.2,0.0,False
109,[[232   8]],1,234.04067999999995,[[222  17]],1.2,0.15,0.0,False
110,[[222  17]],1,164.1654,[[234  20]],1.2,0.1,0.0,False
111,[[234  20]],0,217.82405999999997,[[217  15]],1.2,0.15,0.0,False
112,[[217  15]],1,170.78332,[[236  17]],1.2,0.1,0.0,False
113,[[236  17]],2,128.81512,[[191  21]],1.2,0.1,0.0,False
114,[[191  21]],2,170.42456,[[244  13]],1.2,0.1,0.0,False
115,[[244  13]],1,86.83068,[[252  23]],1.2,0.05,0.0,False
116,[[252  23]],1,0.0,[[222  18]],1.2,0.0,0.0,False
117,[[222  18]],1,0.0,[[225  14]],1.2,0.0,0.0,False
118,[[225  14]],1,0.0,[[240  20]],1.2,0.0,0.0,False
119,[[240  20]],2,0.0,[[249  28]],1.2,0.0,0.0,False
120,[[249  28]],2,0.0,[[230  20]],1.2,0.0,0.0,False
121,[[230  20]],0,83.82491999999999,[[240  20]],1.2,0.05,0.0,False
122,[[240  20]],0,132.37852,[[203  23]],1.2,0.1,0.0,False
123,[[203  23]],2,155.83116,[[237  27]],1.2,0.1,0.0,False
124,[[237  27]],0,253.34394,[[242  16]],1.2,0.15,0.0,False
125,[[242  16]],1,171.61208,[[253  28]],1.2,0.1,0.0,False
126,[[253  28]],1,82.834,[[235  22]],1.2,0.05,0.0,False
