,nP_share,nV_share,Platform_rev
0,0.0,0.0,0.0
1,0.004,0.005,6.215800000000001
2,0.007,0.01,10.659400000000002
3,0.0085,0.005,12.509680000000001
4,0.019,0.015,27.464080000000003
5,0.02,0.01,28.25588
6,0.019,0.025,26.913040000000002
7,0.026,0.015,38.620400000000004
8,0.025,0.03,37.74459999999999
9,0.0235,0.025,34.27336
10,0.029,0.03,42.71936
11,0.028,0.02,41.3608
12,0.0345,0.015,51.37344
13,0.029,0.035,42.71924
14,0.031,0.025,46.24804
15,0.0285,0.045,41.212199999999996
16,0.0345,0.015,47.015640000000005
17,0.0335,0.03,47.1326
18,0.0275,0.045,39.9896
19,0.032,0.04,48.8792
20,0.0335,0.05,52.606280000000005
21,0.026,0.025,38.266999999999996
22,0.039,0.02,58.54884
23,0.033,0.015,47.5608
24,0.0265,0.03,36.91984
25,0.031,0.025,43.802440000000004
26,0.0255,0.015,38.04264
27,0.037,0.025,54.14728
28,0.0295,0.03,38.75344
29,0.032,0.04,50.322919999999996
30,0.022,0.025,32.318079999999995
31,0.0315,0.06,40.85952
32,0.0315,0.035,48.45984
33,0.0395,0.015,55.510279999999995
34,0.0305,0.03,45.19748
35,0.031,0.02,45.364599999999996
36,0.0385,0.035,59.60152000000001
37,0.0355,0.05,49.61188
38,0.03,0.0,45.05988000000001
39,0.038,0.04,52.90184000000001
40,0.03,0.035,42.220560000000006
41,0.034,0.02,47.5834
42,0.0385,0.02,58.02532000000001
43,0.037,0.02,59.1376
44,0.0335,0.035,54.479240000000004
45,0.04,0.03,61.2538
46,0.0385,0.035,52.77040000000001
47,0.0405,0.04,63.608999999999995
48,0.0315,0.04,46.52040000000001
49,0.031,0.015,48.308679999999995
50,0.035,0.02,50.299279999999996
51,0.0325,0.025,51.619839999999996
52,0.033,0.06,50.76336
53,0.033,0.02,45.44484
54,0.034,0.055,55.11484
55,0.0335,0.055,50.33216
56,0.031,0.025,45.546279999999996
57,0.0405,0.02,61.581
58,0.0325,0.04,47.30464
59,0.031,0.04,47.34628
60,0.0345,0.03,51.10212
61,0.0365,0.035,55.955
62,0.04,0.05,55.10164
63,0.0335,0.01,52.634240000000005
64,0.032,0.065,42.911
65,0.0335,0.02,46.528999999999996
66,0.032,0.025,47.79092
67,0.0425,0.005,61.52792
68,0.0335,0.045,50.925920000000005
69,0.0375,0.025,50.654039999999995
70,0.029,0.015,43.77332
71,0.0365,0.015,52.55
72,0.0315,0.055,40.58172
73,0.031,0.035,44.22112
74,0.0345,0.03,50.13288000000001
75,0.0375,0.045,52.14396
76,0.035,0.02,47.820440000000005
77,0.034,0.03,48.03772
78,0.0365,0.01,49.39112
79,0.0385,0.045,57.390879999999996
80,0.044,0.035,61.864639999999994
