,nP_share,nV_share,Platform_rev
0,0.0,0.0,0.0
1,0.01,0.03,0.0
2,0.017,0.01,13.21864
3,0.0305,0.035,40.17452
4,0.038,0.045,26.861140000000002
5,0.0515,0.035,68.47136
6,0.0435,0.06,67.64388000000001
7,0.064,0.08,46.94876
8,0.062,0.045,47.440360000000005
9,0.071,0.07,109.19648000000001
10,0.0825,0.055,185.68385999999998
11,0.066,0.06,190.1376
12,0.0785,0.11,214.30288000000002
13,0.0705,0.065,160.4988
14,0.0705,0.07,201.03768000000002
15,0.0685,0.045,153.34691999999995
16,0.0825,0.095,118.87032
17,0.0725,0.095,158.73005999999998
18,0.076,0.06,225.05816
19,0.087,0.11,257.80848000000003
20,0.0775,0.05,165.52877999999998
21,0.0745,0.105,215.18048
22,0.0765,0.05,168.2874
23,0.0785,0.075,240.05488
24,0.0845,0.085,303.75379999999996
25,0.0735,0.055,280.0179
26,0.0875,0.085,315.78139999999996
27,0.088,0.065,324.883
28,0.08,0.085,303.3149
29,0.08,0.05,233.57752
30,0.0765,0.065,172.61801999999997
31,0.0675,0.085,99.8466
32,0.0705,0.09,158.20901999999998
33,0.072,0.09,111.36432
34,0.0835,0.085,192.31043999999997
35,0.079,0.055,119.20468
36,0.0895,0.085,136.69299999999998
37,0.075,0.1,112.88292
38,0.0815,0.05,61.01428000000001
39,0.0825,0.065,59.750099999999996
40,0.0765,0.075,0.0
41,0.086,0.07,0.0
42,0.0715,0.07,53.09066
43,0.081,0.055,60.823620000000005
44,0.079,0.125,0.0
45,0.077,0.05,0.0
46,0.0865,0.105,0.0
47,0.082,0.1,0.0
48,0.0755,0.075,0.0
49,0.082,0.095,0.0
50,0.083,0.08,59.442220000000006
51,0.0985,0.085,0.0
52,0.088,0.08,0.0
53,0.074,0.105,52.874680000000005
54,0.091,0.085,136.20844
55,0.081,0.095,53.93154
56,0.0915,0.075,129.3702
57,0.081,0.08,183.90168
58,0.0845,0.12,122.89064000000002
59,0.0895,0.08,62.52116
60,0.073,0.095,53.55332
61,0.0835,0.08,114.10312
62,0.095,0.085,208.95762
63,0.084,0.125,186.79464000000002
64,0.087,0.095,184.67622
65,0.085,0.105,185.89992
66,0.093,0.1,205.12745999999999
67,0.0915,0.08,128.71800000000002
68,0.082,0.07,58.172779999999996
69,0.101,0.1,71.63452000000001
70,0.088,0.08,60.533
71,0.0865,0.045,121.6816
72,0.1025,0.1,147.85496
