,nP_share,nV_share,Platform_rev
0,0.0,0.0,0.0
1,0.009,0.01,0.0
2,0.017,0.035,12.11104
3,0.025,0.035,18.287059999999997
4,0.039,0.04,53.46456
5,0.0405,0.035,99.37404
6,0.05,0.045,146.5936
7,0.0565,0.04,119.0184
8,0.0645,0.06,141.88392
9,0.067,0.045,155.7519
10,0.066,0.065,145.83186
11,0.072,0.095,160.49466
12,0.076,0.055,178.46609999999998
13,0.082,0.08,114.01660000000001
14,0.0815,0.085,181.24356
15,0.0755,0.08,110.21744000000001
16,0.074,0.09,53.919340000000005
17,0.0735,0.06,56.66484
18,0.0855,0.06,121.86792
19,0.087,0.09,122.38007999999999
20,0.083,0.085,63.03214
21,0.08,0.07,116.70703999999999
22,0.073,0.08,170.91834
23,0.074,0.06,158.00502
24,0.073,0.08,111.48124
25,0.08,0.04,56.8189
26,0.0815,0.09,118.9334
27,0.083,0.1,61.95202
28,0.0815,0.085,56.75032
29,0.083,0.075,61.15396
30,0.0775,0.095,0.0
31,0.08,0.07,0.0
32,0.0805,0.085,0.0
33,0.093,0.09,0.0
34,0.0805,0.1,0.0
35,0.075,0.09,0.0
36,0.0825,0.06,60.935460000000006
37,0.0775,0.075,109.44832
38,0.0865,0.065,121.02951999999999
39,0.072,0.065,51.69786
40,0.0865,0.1,128.59024
41,0.087,0.07,67.89276
42,0.084,0.085,57.48024
43,0.085,0.105,61.080619999999996
44,0.0805,0.1,0.0
45,0.0845,0.055,62.94028
46,0.088,0.135,0.0
47,0.094,0.08,71.68772000000001
48,0.0995,0.07,0.0
49,0.082,0.105,60.1301
50,0.095,0.085,0.0
51,0.0875,0.095,0.0
52,0.087,0.105,0.0
53,0.084,0.085,62.48442
54,0.0925,0.1,134.92012
55,0.0885,0.1,191.23199999999997
56,0.08,0.065,116.84863999999999
57,0.079,0.09,168.5382
58,0.089,0.135,188.65938
59,0.096,0.105,207.37619999999998
60,0.087,0.08,181.59174
61,0.0795,0.065,112.78428000000002
62,0.0915,0.09,201.14297999999997
63,0.0895,0.07,248.20808
64,0.102,0.075,220.42206
65,0.1005,0.095,280.37616
66,0.096,0.085,345.9447
67,0.0875,0.09,373.58016
68,0.0925,0.115,322.41159999999996
69,0.0915,0.075,400.41396000000003
70,0.0955,0.11,335.044
71,0.094,0.08,269.5868
72,0.101,0.085,289.24264000000005
73,0.098,0.1,347.5841
74,0.097,0.12,344.4289
75,0.115,0.11,490.1898
76,0.1005,0.065,480.9848399999999
77,0.09,0.09,362.48256
78,0.0855,0.07,424.04963999999995
79,0.098,0.065,476.90103999999997
80,0.1055,0.075,585.37616
81,0.1005,0.065,480.5245199999999
82,0.098,0.09,545.2616
83,0.1105,0.055,539.2444399999999
84,0.105,0.095,436.31927999999994
85,0.1085,0.08,379.3976
86,0.1045,0.085,298.544
87,0.1035,0.08,211.4631
88,0.11,0.065,309.9988
89,0.111,0.105,298.08216000000004
90,0.112,0.07,306.07399999999996
91,0.1045,0.085,209.91839999999996
92,0.1055,0.095,146.9654
93,0.0915,0.115,62.69214
94,0.108,0.1,74.63754
95,0.12,0.065,81.71952
96,0.11,0.11,74.527
97,0.1175,0.11,159.53312
98,0.1175,0.095,237.96839999999997
99,0.1095,0.1,148.64856
100,0.116,0.075,236.40941999999998
101,0.1175,0.075,159.08648
102,0.1055,0.125,73.89862
103,0.114,0.095,78.7611
104,0.109,0.095,152.14456
105,0.1135,0.115,77.4671
106,0.122,0.075,82.1992
107,0.1175,0.125,81.14668
108,0.127,0.11,0.0
109,0.1215,0.11,0.0
110,0.1245,0.08,0.0
111,0.1165,0.09,0.0
112,0.1215,0.105,0.0
113,0.119,0.11,0.0
114,0.114,0.125,0.0
115,0.1375,0.08,91.49636000000001
116,0.126,0.085,172.04208
117,0.122,0.1,83.97592
118,0.1175,0.16,0.0
119,0.132,0.14,87.8967
120,0.139,0.11,182.91028
121,0.118,0.105,82.02253999999999
122,0.1375,0.155,97.47488000000001
123,0.123,0.115,0.0
124,0.1375,0.125,0.0
125,0.1415,0.125,0.0
126,0.145,0.145,94.74440000000001
127,0.138,0.09,0.0
128,0.1425,0.13,92.73426
129,0.1385,0.115,189.32216
130,0.1415,0.175,297.3972
131,0.146,0.19,192.99259999999998
132,0.127,0.145,255.78888
133,0.1505,0.13,389.97256
134,0.156,0.14,420.7968
135,0.149,0.175,295.15836
136,0.1515,0.125,290.31551999999994
137,0.15,0.14,298.64106
138,0.164,0.14,325.20323999999994
139,0.169,0.12,227.84032000000002
140,0.1395,0.125,88.62564
141,0.1575,0.175,0.0
142,0.1705,0.125,115.81790000000001
143,0.1605,0.2,0.0
144,0.1605,0.15,0.0
145,0.176,0.17,0.0
146,0.1645,0.175,0.0
147,0.165,0.145,0.0
148,0.164,0.17,110.66962000000001
149,0.1755,0.19,238.38168000000002
150,0.1725,0.175,339.06023999999996
151,0.17,0.17,222.69284000000002
152,0.174,0.22,342.4194
153,0.1745,0.19,463.132
154,0.1825,0.16,486.89984000000004
155,0.176,0.17,591.7268
156,0.1745,0.16,580.556
157,0.1745,0.115,670.9531199999999
158,0.185,0.16,844.17634
159,0.1915,0.15,1029.39328
160,0.1885,0.135,1005.1115199999999
161,0.187,0.15,869.1015199999999
162,0.19,0.12,873.0558199999998
163,0.184,0.155,862.8766999999998
164,0.192,0.16,890.2109999999999
165,0.1855,0.08,976.9024000000001
166,0.19,0.1,992.02144
167,0.184,0.12,963.3419200000001
168,0.1715,0.115,874.29344
169,0.181,0.05,1079.3365199999998
170,0.1795,0.095,1175.345
171,0.182,0.1,1302.158
172,0.174,0.1,1149.4686000000002
173,0.184,0.085,1332.38842
174,0.185,0.07,1201.8112
175,0.1805,0.08,1168.5105999999998
176,0.1655,0.115,1013.9588999999999
177,0.189,0.11,1142.23284
178,0.188,0.085,995.27216
179,0.18,0.09,980.76432
180,0.1845,0.11,960.46656
181,0.1755,0.085,824.4793199999999
182,0.171,0.07,815.01546
183,0.163,0.115,899.47264
184,0.181,0.105,975.5977600000001
185,0.1585,0.08,736.0698799999999
186,0.18,0.075,737.2583999999999
187,0.167,0.07,563.4977
188,0.173,0.12,580.8827
189,0.1585,0.11,624.62424
190,0.1725,0.085,814.49928
191,0.1805,0.11,1007.91824
192,0.17,0.09,888.02336
193,0.166,0.085,783.0871999999999
194,0.169,0.07,791.3897599999999
195,0.1765,0.11,699.22632
196,0.1635,0.105,665.3221199999999
197,0.1725,0.075,585.5508
198,0.167,0.07,558.9815
199,0.1715,0.065,576.6707
200,0.1565,0.09,527.4674
201,0.1585,0.135,657.1484399999999
202,0.1515,0.125,708.84156
203,0.17,0.105,683.4843599999999
204,0.1685,0.09,671.6687999999999
205,0.1645,0.145,789.03986
206,0.172,0.07,921.83536
207,0.1685,0.105,1028.9433599999998
208,0.169,0.065,916.47424
209,0.18,0.08,851.81754
210,0.155,0.105,717.60472
211,0.1835,0.075,873.1290399999999
212,0.1675,0.075,885.18832
213,0.173,0.105,825.80134
214,0.1675,0.1,701.4144
215,0.176,0.07,716.6626799999999
216,0.177,0.085,848.5230599999998
217,0.1655,0.09,665.5927199999999
218,0.171,0.085,588.9456
