,nP_share,nV_share,Platform_rev
0,0.0,0.0,0.0
1,0.0025,0.0,4.36348
2,0.0075,0.005,12.10764
3,0.011,0.0,16.57364
4,0.0125,0.035,20.117
5,0.0205,0.015,29.498560000000005
6,0.017,0.015,27.43208
7,0.0225,0.04,34.17948
8,0.0275,0.04,42.75008
9,0.023,0.04,35.97872
10,0.0285,0.03,43.57776
11,0.0235,0.02,33.964600000000004
12,0.033,0.015,49.93068
13,0.0325,0.03,45.769239999999996
14,0.0295,0.03,41.96428
15,0.035,0.04,47.594120000000004
16,0.0285,0.03,45.315
17,0.027,0.05,39.2808
18,0.025,0.01,37.8628
19,0.0335,0.025,47.07788000000001
20,0.038,0.035,55.868840000000006
21,0.024,0.03,39.63696
22,0.0305,0.06,47.43428
23,0.0325,0.015,45.25431999999999
24,0.0295,0.02,42.8728
25,0.0305,0.02,39.85004
26,0.025,0.005,35.959
27,0.0275,0.03,39.405919999999995
28,0.039,0.03,57.799200000000006
29,0.034,0.045,51.91048
30,0.0345,0.03,49.989360000000005
31,0.034,0.055,50.34724
32,0.0315,0.02,46.97976
33,0.03,0.04,42.0048
34,0.0395,0.025,57.086
35,0.0345,0.025,48.08292
36,0.029,0.035,44.482400000000005
37,0.037,0.05,47.70472
38,0.0285,0.025,40.391639999999995
39,0.034,0.02,51.704800000000006
40,0.034,0.005,49.72456
41,0.029,0.045,39.390679999999996
42,0.038,0.025,55.12616
43,0.029,0.04,43.522279999999995
44,0.0375,0.025,51.25092
45,0.036,0.04,54.285120000000006
46,0.029,0.04,42.19868000000001
47,0.0315,0.025,45.438359999999996
48,0.03,0.06,40.85628
49,0.0415,0.02,64.13464
50,0.0355,0.03,54.92380000000001
51,0.0375,0.015,54.8796
52,0.0285,0.065,44.92848
53,0.0315,0.03,45.79584
54,0.0345,0.035,49.8732
55,0.0285,0.015,43.177800000000005
56,0.031,0.06,49.077160000000006
57,0.03,0.02,44.80656
58,0.0375,0.055,57.48935999999999
59,0.0335,0.035,46.509440000000005
60,0.028,0.035,38.60404
61,0.0415,0.06,59.760760000000005
62,0.033,0.025,48.029160000000005
63,0.035,0.02,50.9762
64,0.0325,0.04,44.67676
65,0.036,0.055,52.64508
66,0.041,0.03,58.47068
67,0.0375,0.04,53.58984
68,0.0315,0.03,45.7362
69,0.038,0.05,49.83704
70,0.041,0.05,60.22268
71,0.0415,0.05,63.20836
72,0.035,0.02,49.29128
73,0.0375,0.025,51.07104
74,0.0355,0.04,51.765640000000005
75,0.0455,0.03,62.84972
76,0.0315,0.025,42.35616
77,0.0245,0.03,31.51472
78,0.0325,0.025,44.107240000000004
79,0.0425,0.03,62.912600000000005
80,0.0335,0.03,44.814800000000005
81,0.036,0.04,55.20396
82,0.0375,0.035,55.2264
83,0.0375,0.04,53.044200000000004
84,0.037,0.04,47.069919999999996
85,0.044,0.02,56.57792
86,0.04,0.04,54.56248000000001
87,0.044,0.065,62.306000000000004
88,0.0395,0.035,52.677679999999995
89,0.035,0.06,49.28264
90,0.0405,0.025,62.86356
91,0.0405,0.035,54.49284
92,0.0385,0.035,56.04784
93,0.033,0.035,48.761880000000005
94,0.042,0.03,61.55196
95,0.044,0.015,60.2294
96,0.0415,0.045,56.27308000000001
97,0.051,0.03,71.66496
98,0.035,0.025,49.568960000000004
99,0.0395,0.03,50.38064
100,0.0435,0.03,60.42924000000001
101,0.0445,0.04,64.16032
102,0.047,0.04,68.11099999999999
103,0.047,0.015,67.24964
104,0.0415,0.05,56.040400000000005
105,0.039,0.03,57.40044
106,0.048,0.03,65.925
107,0.0415,0.04,57.163599999999995
108,0.037,0.03,54.75328
109,0.0405,0.08,56.466120000000004
110,0.0445,0.06,64.65484000000001
111,0.0455,0.04,68.63024000000001
112,0.0465,0.025,63.4794
113,0.0465,0.05,65.76648
114,0.044,0.02,61.8374
115,0.0395,0.035,51.69848
116,0.0405,0.04,53.19528
117,0.0455,0.035,61.47272
118,0.0375,0.055,53.242079999999994
119,0.048,0.02,65.61756
120,0.043,0.045,62.7616
121,0.047,0.035,61.82684
122,0.05,0.035,75.04376
123,0.042,0.045,57.29484
124,0.0465,0.035,61.38624
125,0.046,0.045,61.54071999999999
126,0.0515,0.035,73.52851999999999
127,0.052,0.065,74.73736
128,0.0545,0.04,76.03124
129,0.047,0.05,62.12132
130,0.051,0.03,69.0252
131,0.0505,0.07,67.98028
132,0.057,0.045,78.37595999999999
133,0.0455,0.07,63.77636
134,0.0595,0.035,81.16287999999999
135,0.0585,0.04,81.33924
136,0.0475,0.05,62.186080000000004
137,0.0455,0.06,61.67684
138,0.044,0.04,58.34528
139,0.0525,0.085,69.9918
140,0.054,0.04,78.0312
141,0.056,0.035,74.2226
142,0.0565,0.045,77.98516000000001
143,0.054,0.05,73.28352
144,0.054,0.06,68.32464
145,0.058,0.055,78.77344
146,0.0555,0.06,78.59183999999999
147,0.0595,0.05,75.49768
148,0.058,0.04,80.70867999999999
149,0.061,0.07,85.84996
150,0.06,0.03,78.95472000000001
151,0.0585,0.05,79.18488
152,0.06,0.06,79.8612
153,0.065,0.04,86.70788
154,0.0605,0.06,76.47764000000001
155,0.0635,0.04,85.64012
156,0.0665,0.055,87.08324
157,0.052,0.055,70.54336
158,0.0615,0.05,78.16764
159,0.061,0.035,77.03524
160,0.062,0.035,84.52688
161,0.059,0.07,80.37812
162,0.065,0.055,83.12588
163,0.072,0.05,94.74852000000001
164,0.067,0.06,87.05152
165,0.0575,0.045,78.19484
166,0.0625,0.08,79.5838
167,0.073,0.07,99.62428
168,0.0695,0.055,93.60488000000001
169,0.0755,0.07,99.452
170,0.073,0.06,93.78855999999999
171,0.0665,0.075,85.28612000000001
172,0.0705,0.045,91.72296
173,0.0735,0.085,94.92996
174,0.069,0.07,88.44792000000001
175,0.0615,0.045,77.175
176,0.07,0.075,85.94584
177,0.0755,0.05,99.80984000000001
178,0.073,0.075,91.13692
179,0.075,0.05,100.66619999999999
180,0.073,0.07,92.3734
181,0.079,0.045,101.95756
182,0.0665,0.045,81.08384000000001
183,0.0715,0.07,90.21315999999999
184,0.081,0.055,106.73964
185,0.071,0.075,90.92828
186,0.076,0.085,101.74648
187,0.0735,0.08,92.85432
188,0.0735,0.06,94.49652
189,0.0785,0.045,98.53832
190,0.077,0.08,97.70348000000001
191,0.084,0.08,113.63964
192,0.0755,0.07,96.06944000000001
193,0.0885,0.05,112.51212000000001
194,0.0805,0.095,99.48628
195,0.0785,0.05,102.79220000000001
196,0.0885,0.065,114.47088
197,0.094,0.075,125.08408
198,0.0845,0.065,112.04792
199,0.081,0.11,100.60056
200,0.0895,0.045,111.01264
201,0.083,0.08,104.45479999999999
202,0.0915,0.09,117.73752
203,0.095,0.085,127.2434
204,0.092,0.095,115.63892000000001
205,0.087,0.09,110.47752
206,0.0855,0.095,109.71996000000001
207,0.0945,0.115,122.57796
208,0.087,0.07,106.79136
209,0.097,0.09,122.92648000000001
210,0.094,0.09,122.74192000000001
211,0.0885,0.06,114.1458
212,0.0945,0.09,122.57723999999999
213,0.101,0.055,126.91256
214,0.0955,0.085,120.7846
215,0.0975,0.08,126.62376
216,0.099,0.1,129.08796
217,0.0985,0.1,122.365
218,0.103,0.075,129.23728
219,0.1015,0.06,131.29384
220,0.108,0.07,138.33468
221,0.1025,0.1,127.86980000000001
222,0.109,0.075,141.09951999999998
223,0.1065,0.105,135.93828
224,0.099,0.11,126.21264000000001
225,0.1055,0.07,132.54032
226,0.106,0.085,133.17292000000003
227,0.111,0.115,149.56080000000003
228,0.1125,0.11,141.39588
