,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],1,0.0,0.0,[[2000    7]],2000,7,1.2,0.05,0.0,True
1,[[2000    7]],0,39.63096,39.63096,[[2000    7]],2000,7,1.2,0.1,0.0,True
2,[[2000    7]],0,77.64497999999999,77.64497999999999,[[2000    3]],2000,3,1.2,0.15,0.0,True
3,[[2000    3]],0,60.164559999999994,60.164559999999994,[[2000    4]],2000,4,1.2,0.2,0.0,True
4,[[2000    4]],2,77.81088000000001,77.81088000000001,[[2000    5]],2000,5,1.2,0.2,0.0,True
5,[[2000    5]],1,68.99112,68.99112,[[2000   10]],2000,10,1.2,0.15,0.0,True
6,[[2000   10]],2,75.34121999999999,75.34121999999999,[[2000    3]],2000,3,1.2,0.15,0.0,True
7,[[2000    3]],1,29.494080000000004,29.494080000000004,[[2000    6]],2000,6,1.2,0.1,0.0,True
8,[[2000    6]],2,44.94368,44.94368,[[2000    6]],2000,6,1.2,0.1,0.0,True
9,[[2000    6]],0,66.15498,66.15498,[[2000    9]],2000,9,1.2,0.15,0.0,True
10,[[2000    9]],2,77.50254,77.50254,[[2000   10]],2000,10,1.2,0.15,0.0,True
11,[[2000   10]],1,59.14536,59.14536,[[2000    5]],2000,5,1.2,0.1,0.0,True
12,[[2000    5]],0,68.10557999999999,68.10557999999999,[[2000    4]],2000,4,1.2,0.15,0.0,True
13,[[2000    4]],1,42.40672000000001,42.40672000000001,[[2000    3]],2000,3,1.2,0.1,0.0,True
14,[[2000    3]],1,15.010860000000001,15.010860000000001,[[2000    6]],2000,6,1.2,0.05,0.0,True
15,[[2000    6]],1,0.0,0.0,[[2000    9]],2000,9,1.2,0.0,0.0,True
16,[[2000    9]],0,27.81698,27.81698,[[2000   10]],2000,10,1.2,0.05,0.0,True
17,[[2000   10]],2,24.715199999999996,24.715199999999996,[[2000    6]],2000,6,1.2,0.05,0.0,True
18,[[2000    6]],1,0.0,0.0,[[2000    2]],2000,2,1.2,0.0,0.0,True
19,[[2000    2]],1,0.0,0.0,[[2000   10]],2000,10,1.2,0.0,0.0,True
20,[[2000   10]],2,0.0,0.0,[[2000    9]],2000,9,1.2,0.0,0.0,True
21,[[2000    9]],1,0.0,0.0,[[2000   11]],2000,11,1.2,0.0,0.0,True
22,[[2000   11]],2,0.0,0.0,[[2000    7]],2000,7,1.2,0.0,0.0,True
23,[[2000    7]],2,0.0,0.0,[[2000   12]],2000,12,1.2,0.0,0.0,True
24,[[2000   12]],0,23.56904,23.56904,[[2000    5]],2000,5,1.2,0.05,0.0,True
25,[[2000    5]],0,45.255359999999996,45.255359999999996,[[2000    6]],2000,6,1.2,0.1,0.0,True
26,[[2000    6]],1,25.169240000000002,25.169240000000002,[[2000   13]],2000,13,1.2,0.05,0.0,True
27,[[2000   13]],0,52.35828,52.35828,[[2000    9]],2000,9,1.2,0.1,0.0,True
28,[[2000    9]],2,56.926320000000004,56.926320000000004,[[2000   10]],2000,10,1.2,0.1,0.0,True
29,[[2000   10]],2,57.62456,57.62456,[[2000    6]],2000,6,1.2,0.1,0.0,True
30,[[2000    6]],1,23.03466,23.03466,[[2000    7]],2000,7,1.2,0.05,0.0,True
31,[[2000    7]],1,0.0,0.0,[[2000    6]],2000,6,1.2,0.0,0.0,True
32,[[2000    6]],2,0.0,0.0,[[2000    6]],2000,6,1.2,0.0,0.0,True
33,[[2000    6]],1,0.0,0.0,[[2000   10]],2000,10,1.2,0.0,0.0,True
34,[[2000   10]],1,0.0,0.0,[[2000   11]],2000,11,1.2,0.0,0.0,True
35,[[2000   11]],1,0.0,0.0,[[2000    6]],2000,6,1.2,0.0,0.0,True
36,[[2000    6]],1,0.0,0.0,[[2000    8]],2000,8,1.2,0.0,0.0,True
37,[[2000    8]],1,0.0,0.0,[[2000    6]],2000,6,1.2,0.0,0.0,True
38,[[2000    6]],2,0.0,0.0,[[2000    6]],2000,6,1.2,0.0,0.0,True
39,[[2000    6]],0,26.463099999999997,26.463099999999997,[[2000    9]],2000,9,1.2,0.05,0.0,True
40,[[2000    9]],1,0.0,0.0,[[2000    9]],2000,9,1.2,0.0,0.0,True
41,[[2000    9]],2,0.0,0.0,[[2000    7]],2000,7,1.2,0.0,0.0,True
42,[[2000    7]],0,21.80566,21.80566,[[2000    3]],2000,3,1.2,0.05,0.0,True
43,[[2000    3]],2,14.691019999999998,14.691019999999998,[[2000    9]],2000,9,1.2,0.05,0.0,True
44,[[2000    9]],1,0.0,0.0,[[2000    4]],2000,4,1.2,0.0,0.0,True
45,[[2000    4]],2,0.0,0.0,[[2000   10]],2000,10,1.2,0.0,0.0,True
46,[[2000   10]],2,0.0,0.0,[[2000    7]],2000,7,1.2,0.0,0.0,True
47,[[2000    7]],1,0.0,0.0,[[2000    8]],2000,8,1.2,0.0,0.0,True
48,[[2000    8]],1,0.0,0.0,[[2000    6]],2000,6,1.2,0.0,0.0,True
49,[[2000    6]],0,24.8378,24.8378,[[2000    7]],2000,7,1.2,0.05,0.0,True
50,[[2000    7]],2,17.48114,17.48114,[[2000    6]],2000,6,1.2,0.05,0.0,True
51,[[2000    6]],0,50.72351999999999,50.72351999999999,[[2000    6]],2000,6,1.2,0.1,0.0,True
52,[[2000    6]],2,48.40012,48.40012,[[2000    7]],2000,7,1.2,0.1,0.0,True
53,[[2000    7]],2,44.35216,44.35216,[[2000    7]],2000,7,1.2,0.1,0.0,True
54,[[2000    7]],2,57.0714,57.0714,[[2000    5]],2000,5,1.2,0.1,0.0,True
55,[[2000    5]],0,66.00222,66.00222,[[2000   10]],2000,10,1.2,0.15,0.0,True
56,[[2000   10]],0,96.19544,96.19544,[[2000   11]],2000,11,1.2,0.2,0.0,True
57,[[2000   11]],0,141.7275,141.7275,[[2000    2]],2000,2,1.2,0.25,0.0,True
58,[[2000    2]],0,69.61055999999999,69.61055999999999,[[2000    7]],2000,7,1.2,0.3,0.0,True
59,[[2000    7]],0,200.54188,200.54188,[[2000    6]],2000,6,1.2,0.35,0.0,True
60,[[2000    6]],0,201.3824,201.3824,[[2000    7]],2000,7,1.2,0.4,0.0,True
61,[[2000    7]],2,220.14383999999998,220.14383999999998,[[2000    8]],2000,8,1.2,0.4,0.0,True
62,[[2000    8]],2,181.01328,181.01328,[[2000    7]],2000,7,1.2,0.4,0.0,True
63,[[2000    7]],0,266.94792,266.94792,[[2000    7]],2000,7,1.2,0.45,0.0,True
64,[[2000    7]],1,218.55007999999998,218.55007999999998,[[2000    9]],2000,9,1.2,0.4,0.0,True
65,[[2000    9]],1,194.92059999999998,194.92059999999998,[[2000    6]],2000,6,1.2,0.35,0.0,True
66,[[2000    6]],0,219.37472000000002,219.37472000000002,[[2000    9]],2000,9,1.2,0.4,0.0,True
67,[[2000    9]],0,198.41724,198.41724,[[2000    9]],2000,9,1.2,0.45,0.0,True
68,[[2000    9]],2,230.958,230.958,[[2000    5]],2000,5,1.2,0.45,0.0,True
69,[[2000    5]],0,236.5118,236.5118,[[2000    7]],2000,7,1.2,0.5,0.0,True
70,[[2000    7]],2,239.9744,239.9744,[[2000    6]],2000,6,1.2,0.5,0.0,True
