,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],0,0.0,0.0,[[0 0]],0,0,1.2,0.15,0.0,True
1,[[0 0]],2,12.158579999999999,17.69082840909091,[[10  3]],10,3,1.2,0.15,0.0,True
2,[[10  3]],2,55.15284,35.43368409090909,[[46  3]],46,3,1.2,0.15,0.0,True
3,[[46  3]],0,80.9996,65.37724999999999,[[53  9]],53,9,1.2,0.2,0.0,True
4,[[53  9]],2,116.68944,75.05508181818182,[[81  8]],81,8,1.2,0.2,0.0,True
5,[[81  8]],2,135.03712000000002,84.59756363636363,[[91  9]],91,9,1.2,0.2,0.0,True
6,[[91  9]],0,199.04229999999998,87.80922159090909,[[110   7]],110,7,1.2,0.25,0.0,True
7,[[110   7]],1,192.11088,105.69039090909092,[[123  10]],123,10,1.2,0.2,0.0,True
8,[[123  10]],1,152.58792,116.19476818181819,[[133  12]],133,12,1.2,0.15,0.0,True
9,[[133  12]],0,234.60240000000002,160.3796818181818,[[156  19]],156,19,1.2,0.2,0.0,True
10,[[156  19]],0,280.859,136.23289772727273,[[163  12]],163,12,1.2,0.25,0.0,True
11,[[163  12]],1,232.13096,158.53925909090907,[[152  19]],152,19,1.2,0.2,0.0,True
12,[[152  19]],1,173.95944,157.78405909090907,[[158  19]],158,19,1.2,0.15,0.0,True
13,[[158  19]],1,112.2642,125.37864772727274,[[150  13]],150,13,1.2,0.1,0.0,True
14,[[150  13]],0,146.38224,114.14217272727274,[[139  11]],139,11,1.2,0.15,0.0,True
15,[[139  11]],2,202.79184,137.32226363636363,[[176  12]],176,12,1.2,0.15,0.0,True
16,[[176  12]],2,163.79922,130.00677386363637,[[154  13]],154,13,1.2,0.15,0.0,True
17,[[154  13]],2,160.39926,133.63859431818184,[[153  14]],153,14,1.2,0.15,0.0,True
18,[[153  14]],1,129.58236,152.2876340909091,[[171  17]],171,17,1.2,0.1,0.0,True
19,[[171  17]],1,60.97162,154.76429659090908,[[166  19]],166,19,1.2,0.05,0.0,True
20,[[166  19]],1,0.0,122.82500000000002,[[159  13]],159,13,1.2,0.0,0.0,True
21,[[159  13]],1,0.0,136.0,[[180  14]],180,14,1.2,0.0,0.0,True
22,[[180  14]],2,0.0,139.4,[[168  16]],168,16,1.2,0.0,0.0,True
23,[[168  16]],1,0.0,134.3,[[176  14]],176,14,1.2,0.0,0.0,True
24,[[176  14]],2,0.0,133.875,[[145  17]],145,17,1.2,0.0,0.0,True
25,[[145  17]],0,68.29706,124.15551477272726,[[173  11]],173,11,1.2,0.05,0.0,True
