,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],2,0.0,4.999999999999999,[[20  1]],20,1,1.2,0.1,0.0,True
1,[[20  1]],1,7.57172,14.622691919191919,[[42  4]],42,4,1.2,0.05,0.0,True
2,[[42  4]],2,14.79954,26.868628787878784,[[50 10]],50,10,1.2,0.05,0.0,True
3,[[50 10]],2,16.7681,22.617184343434342,[[83  4]],83,4,1.2,0.05,0.0,True
4,[[83  4]],2,27.95792,28.696707070707074,[[91  6]],91,6,1.2,0.05,0.0,True
5,[[91  6]],0,64.45952,46.13882828282828,[[108  12]],108,12,1.2,0.1,0.0,True
6,[[108  12]],1,37.29084,36.54177272727273,[[111   8]],111,8,1.2,0.05,0.0,True
7,[[111   8]],0,78.11688000000001,44.69657575757576,[[129   8]],129,8,1.2,0.1,0.0,True
8,[[129   8]],1,48.32976,43.60224242424242,[[135   9]],135,9,1.2,0.05,0.0,True
9,[[135   9]],1,0.0,39.49999999999999,[[157   8]],157,8,1.2,0.0,0.0,True
10,[[157   8]],2,0.0,46.166666666666664,[[127  15]],127,15,1.2,0.0,0.0,True
11,[[127  15]],0,45.498760000000004,53.578126262626256,[[137  15]],137,15,1.2,0.05,0.0,True
12,[[137  15]],2,48.273740000000004,59.428502525252526,[[170  15]],170,15,1.2,0.05,0.0,True
13,[[170  15]],2,63.159380000000006,63.9746691919192,[[126  21]],126,21,1.2,0.05,0.0,True
14,[[126  21]],1,0.0,51.666666666666664,[[160  15]],160,15,1.2,0.0,0.0,True
15,[[160  15]],0,61.50838,71.93287626262627,[[145  24]],145,24,1.2,0.05,0.0,True
16,[[145  24]],1,0.0,61.166666666666664,[[147  22]],147,22,1.2,0.0,0.0,True
17,[[147  22]],1,0.0,58.166666666666664,[[179  17]],179,17,1.2,0.0,0.0,True
18,[[179  17]],0,63.82844000000001,52.55914646464646,[[137  13]],137,13,1.2,0.05,0.0,True
19,[[137  13]],2,48.32726,65.26859343434343,[[145  21]],145,21,1.2,0.05,0.0,True
20,[[145  21]],1,0.0,60.166666666666664,[[151  21]],151,21,1.2,0.0,0.0,True
21,[[151  21]],0,58.91668,57.10564141414142,[[168  13]],168,13,1.2,0.05,0.0,True
22,[[168  13]],2,62.56020000000001,56.565681818181815,[[152  14]],152,14,1.2,0.05,0.0,True
23,[[152  14]],0,113.17564,61.456520202020194,[[153  13]],153,13,1.2,0.1,0.0,True
24,[[153  13]],0,166.96133999999998,73.24764393939392,[[153  16]],153,16,1.2,0.15,0.0,True
25,[[153  16]],0,218.65584,80.6080606060606,[[158  16]],158,16,1.2,0.2,0.0,True
26,[[158  16]],0,300.97839999999997,80.33565656565656,[[134  12]],134,12,1.2,0.25,0.0,True
27,[[134  12]],1,187.54952,82.51382828282827,[[153  20]],153,20,1.2,0.2,0.0,True
28,[[153  20]],2,225.67872,80.16145454545453,[[160  15]],160,15,1.2,0.2,0.0,True
29,[[160  15]],1,172.48224,76.44472727272728,[[158  17]],158,17,1.2,0.15,0.0,True
30,[[158  17]],2,177.24552,59.046151515151514,[[150   7]],150,7,1.2,0.15,0.0,True
31,[[150   7]],2,162.41472,74.34024242424242,[[173  15]],173,15,1.2,0.15,0.0,True
32,[[173  15]],2,186.35712,64.52993939393939,[[146  10]],146,10,1.2,0.15,0.0,True
33,[[146  10]],1,103.31584000000001,65.37826262626261,[[154  16]],154,16,1.2,0.1,0.0,True
34,[[154  16]],2,107.63852,65.75738888888888,[[153  16]],153,16,1.2,0.1,0.0,True
35,[[153  16]],2,116.26692000000001,61.84683333333333,[[173  11]],173,11,1.2,0.1,0.0,True
36,[[173  11]],0,198.87161999999998,80.77671969696969,[[164  17]],164,17,1.2,0.15,0.0,True
37,[[164  17]],1,122.73436,76.99676262626262,[[149  22]],149,22,1.2,0.1,0.0,True
38,[[149  22]],2,110.24704000000001,57.75341414141415,[[163  10]],163,10,1.2,0.1,0.0,True
39,[[163  10]],0,181.82765999999998,73.45803787878788,[[163  14]],163,14,1.2,0.15,0.0,True
40,[[163  14]],2,189.25356,79.22898484848484,[[152  18]],152,18,1.2,0.15,0.0,True
41,[[152  18]],0,230.37104,91.42058585858587,[[174  20]],174,20,1.2,0.2,0.0,True
42,[[174  20]],1,185.79996,78.4595909090909,[[170  16]],170,16,1.2,0.15,0.0,True
43,[[170  16]],2,189.34368,77.24036363636364,[[160  16]],160,16,1.2,0.15,0.0,True
44,[[160  16]],1,114.28796,71.43029797979797,[[172  17]],172,17,1.2,0.1,0.0,True
45,[[172  17]],0,187.26816,76.47830303030304,[[147  17]],147,17,1.2,0.15,0.0,True
46,[[147  17]],1,108.31764,63.009803030303026,[[176  12]],176,12,1.2,0.1,0.0,True
47,[[176  12]],0,194.03106,84.16553787878789,[[158  20]],158,20,1.2,0.15,0.0,True
48,[[158  20]],1,114.30748,67.26609595959596,[[157  16]],157,16,1.2,0.1,0.0,True
49,[[157  16]],0,169.30811999999997,77.37728787878787,[[146  19]],146,19,1.2,0.15,0.0,True
50,[[146  19]],0,208.71152,81.68579797979797,[[152  18]],152,18,1.2,0.2,0.0,True
51,[[152  18]],2,221.17256,85.42582828282828,[[175  17]],175,17,1.2,0.2,0.0,True
52,[[175  17]],2,255.40168000000006,80.41435353535354,[[159  13]],159,13,1.2,0.2,0.0,True
53,[[159  13]],1,169.57781999999997,78.24467424242424,[[171  17]],171,17,1.2,0.15,0.0,True
54,[[171  17]],1,123.86856,71.80663636363634,[[157  18]],157,18,1.2,0.1,0.0,True
55,[[157  18]],0,171.04422,83.26315909090908,[[170  20]],170,20,1.2,0.15,0.0,True
56,[[170  20]],0,245.21768,71.62849494949494,[[164   8]],164,8,1.2,0.2,0.0,True
57,[[164   8]],1,185.84411999999998,76.13183333333333,[[186  13]],186,13,1.2,0.15,0.0,True
58,[[186  13]],1,135.885,84.9905303030303,[[187  22]],187,22,1.2,0.1,0.0,True
