,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],0,0.0,0.0,[[0 0]],0,0,1.2,0.15,0.0,True
1,[[0 0]],2,21.30954,12.5636925,[[20  1]],20,1,1.2,0.15,0.0,True
2,[[20  1]],1,32.80556,42.380695,[[46  7]],46,7,1.2,0.1,0.0,True
3,[[46  7]],0,68.59331999999999,39.264165000000006,[[63  3]],63,3,1.2,0.15,0.0,True
4,[[63  3]],0,96.57695999999999,50.35212,[[66  5]],66,5,1.2,0.2,0.0,True
5,[[66  5]],0,185.3919,84.5539875,[[96  9]],96,9,1.2,0.25,0.0,True
6,[[96  9]],1,143.73816,63.837270000000004,[[99  4]],99,4,1.2,0.2,0.0,True
7,[[99  4]],1,118.60121999999998,92.7051525,[[106  13]],106,13,1.2,0.15,0.0,True
8,[[106  13]],2,129.6693,97.71866250000001,[[117  13]],117,13,1.2,0.15,0.0,True
9,[[117  13]],2,154.20798,104.4159975,[[138  12]],138,12,1.2,0.15,0.0,True
10,[[138  12]],1,89.93416,92.09177,[[125  12]],125,12,1.2,0.1,0.0,True
11,[[125  12]],2,107.71304,99.59413,[[151  11]],151,11,1.2,0.1,0.0,True
12,[[151  11]],1,51.31202,97.49400250000001,[[146  13]],146,13,1.2,0.05,0.0,True
13,[[146  13]],2,56.776740000000004,99.16709250000001,[[159  12]],159,12,1.2,0.05,0.0,True
14,[[159  12]],1,0.0,113.85,[[145  20]],145,20,1.2,0.0,0.0,True
15,[[145  20]],0,65.29268,127.951585,[[173  19]],173,19,1.2,0.05,0.0,True
16,[[173  19]],1,0.0,90.75000000000001,[[155  12]],155,12,1.2,0.0,0.0,True
17,[[155  12]],1,0.0,122.76,[[152  22]],152,22,1.2,0.0,0.0,True
18,[[152  22]],0,60.45004,118.43625500000002,[[166  17]],166,17,1.2,0.05,0.0,True
19,[[166  17]],1,0.0,107.57999999999998,[[146  18]],146,18,1.2,0.0,0.0,True
20,[[146  18]],0,56.96858,134.1710725,[[155  23]],155,23,1.2,0.05,0.0,True
21,[[155  23]],0,105.97240000000001,105.31655,[[149  13]],149,13,1.2,0.1,0.0,True
22,[[149  13]],1,62.6747,123.33433749999999,[[170  18]],170,18,1.2,0.05,0.0,True
23,[[170  18]],0,126.80984,111.22123,[[169  12]],169,12,1.2,0.1,0.0,True
24,[[169  12]],0,171.44124,114.160155,[[161  12]],161,12,1.2,0.15,0.0,True
25,[[161  12]],2,191.48579999999998,155.275725,[[168  23]],168,23,1.2,0.15,0.0,True
26,[[168  23]],1,104.11372,126.204215,[[143  20]],143,20,1.2,0.1,0.0,True
27,[[143  20]],2,126.25623999999999,119.07203000000001,[[173  14]],173,14,1.2,0.1,0.0,True
28,[[173  14]],1,55.99354,119.5291925,[[151  19]],151,19,1.2,0.05,0.0,True
29,[[151  19]],0,112.93224000000001,117.40653,[[153  16]],153,16,1.2,0.1,0.0,True
30,[[153  16]],2,116.60548,103.01568500000002,[[158  11]],158,11,1.2,0.1,0.0,True
31,[[158  11]],0,183.34103999999996,103.43763,[[164   8]],164,8,1.2,0.15,0.0,True
32,[[164   8]],1,111.56176,114.59522,[[155  15]],155,15,1.2,0.1,0.0,True
33,[[155  15]],2,133.53576,130.21197,[[174  17]],174,17,1.2,0.1,0.0,True
34,[[174  17]],2,119.70519999999999,116.60315,[[158  15]],158,15,1.2,0.1,0.0,True
35,[[158  15]],0,179.26523999999998,163.97815500000002,[[159  27]],159,27,1.2,0.15,0.0,True
36,[[159  27]],0,217.78528,144.37315999999998,[[145  21]],145,21,1.2,0.2,0.0,True
37,[[145  21]],0,267.7974,124.88467500000002,[[147  13]],147,13,1.2,0.25,0.0,True
