,state,action,reward,next_state,fare,comm_rate,discount,Marketing
0,[[0 0]],2,0.0,[[0 0]],1.2,0.1,0.0,True
1,[[0 0]],2,7.202640000000001,[[9 2]],1.2,0.1,0.0,True
2,[[9 2]],0,42.98286,[[37  6]],1.2,0.15,0.0,True
3,[[37  6]],0,72.81576000000001,[[51  6]],1.2,0.2,0.0,True
4,[[51  6]],0,143.8078,[[80  4]],1.2,0.25,0.0,True
5,[[80  4]],2,154.121,[[88 10]],1.2,0.25,0.0,True
6,[[88 10]],1,145.17208,[[109   5]],1.2,0.2,0.0,True
7,[[109   5]],0,194.0606,[[100  10]],1.2,0.25,0.0,True
8,[[100  10]],1,179.45744,[[125  10]],1.2,0.2,0.0,True
9,[[125  10]],0,260.409,[[144  15]],1.2,0.25,0.0,True
10,[[144  15]],2,260.60720000000003,[[136  11]],1.2,0.25,0.0,True
11,[[136  11]],0,334.8485999999999,[[153  11]],1.2,0.3,0.0,True
12,[[153  11]],0,333.4212,[[132  14]],1.2,0.35,0.0,True
13,[[132  14]],1,352.77275999999995,[[161  15]],1.2,0.3,0.0,True
14,[[161  15]],2,304.90716,[[131  16]],1.2,0.3,0.0,True
15,[[131  16]],0,382.7382999999999,[[157  14]],1.2,0.35,0.0,True
16,[[157  14]],1,399.35532,[[182  24]],1.2,0.3,0.0,True
17,[[182  24]],1,317.9534,[[172  15]],1.2,0.25,0.0,True
18,[[172  15]],0,323.96916,[[143  17]],1.2,0.3,0.0,True
19,[[143  17]],0,411.53616,[[165  16]],1.2,0.35,0.0,True
20,[[165  16]],1,367.87188,[[158  16]],1.2,0.3,0.0,True
21,[[158  16]],0,458.34935999999993,[[177  13]],1.2,0.35,0.0,True
22,[[177  13]],0,464.76208,[[152  13]],1.2,0.4,0.0,True
23,[[152  13]],1,412.32646,[[157  22]],1.2,0.35,0.0,True
24,[[157  22]],2,369.42611999999997,[[144  19]],1.2,0.35,0.0,True
25,[[144  19]],1,361.44516,[[164  19]],1.2,0.3,0.0,True
26,[[164  19]],0,392.00447999999994,[[147  15]],1.2,0.35,0.0,True
27,[[147  15]],1,370.30091999999996,[[166  17]],1.2,0.3,0.0,True
28,[[166  17]],2,369.63347999999996,[[175  12]],1.2,0.3,0.0,True
29,[[175  12]],1,325.4276,[[175  17]],1.2,0.25,0.0,True
30,[[175  17]],2,295.4697,[[162  11]],1.2,0.25,0.0,True
31,[[162  11]],1,213.982,[[142  18]],1.2,0.2,0.0,True
32,[[142  18]],2,212.25592,[[148   7]],1.2,0.2,0.0,True
33,[[148   7]],2,223.70015999999998,[[156  16]],1.2,0.2,0.0,True
34,[[156  16]],2,187.18016,[[125  19]],1.2,0.2,0.0,True
35,[[125  19]],0,288.0777,[[162  13]],1.2,0.25,0.0,True
36,[[162  13]],0,352.59396,[[157  21]],1.2,0.3,0.0,True
37,[[157  21]],0,373.9855,[[145  18]],1.2,0.35,0.0,True
38,[[145  18]],1,367.51824,[[168  18]],1.2,0.3,0.0,True
39,[[168  18]],0,471.00746,[[179  17]],1.2,0.35,0.0,True
40,[[179  17]],1,339.39683999999994,[[156  21]],1.2,0.3,0.0,True
41,[[156  21]],2,353.88815999999997,[[163  18]],1.2,0.3,0.0,True
42,[[163  18]],0,415.69051999999994,[[170  15]],1.2,0.35,0.0,True
43,[[170  15]],2,431.41153999999995,[[161  15]],1.2,0.35,0.0,True
44,[[161  15]],0,553.96064,[[184  18]],1.2,0.4,0.0,True
45,[[184  18]],0,533.1547800000001,[[160  20]],1.2,0.45,0.0,True
46,[[160  20]],0,599.605,[[157  11]],1.2,0.5,0.0,True
47,[[157  11]],1,436.06476,[[134  13]],1.2,0.45,0.0,True
48,[[134  13]],0,549.3485999999999,[[147  19]],1.2,0.5,0.0,True
49,[[147  19]],1,491.31,[[146  13]],1.2,0.45,0.0,True
50,[[146  13]],2,670.1256,[[203  12]],1.2,0.45,0.0,True
51,[[203  12]],2,567.01062,[[163  21]],1.2,0.45,0.0,True
52,[[163  21]],2,602.62614,[[176  19]],1.2,0.45,0.0,True
53,[[176  19]],1,448.77904,[[167  20]],1.2,0.4,0.0,True
54,[[167  20]],1,407.01555999999994,[[157  10]],1.2,0.35,0.0,True
55,[[157  10]],1,395.2344,[[185  23]],1.2,0.3,0.0,True
