,state,action,reward,next_state,fare,comm_rate,discount,Marketing
0,[[0 0]],2,0.0,[[0 0]],1.2,0.1,0.0,True
1,[[0 0]],0,27.724439999999994,[[25  2]],1.2,0.15,0.0,True
2,[[25  2]],0,58.51968000000001,[[36  5]],1.2,0.2,0.0,True
3,[[36  5]],2,107.04839999999999,[[66  6]],1.2,0.2,0.0,True
4,[[66  6]],0,125.42179999999999,[[70  5]],1.2,0.25,0.0,True
5,[[70  5]],0,195.37716,[[92 10]],1.2,0.3,0.0,True
6,[[92 10]],0,254.47842,[[102   7]],1.2,0.35,0.0,True
7,[[102   7]],0,394.03855999999996,[[133  11]],1.2,0.4,0.0,True
8,[[133  11]],2,384.04576,[[131  10]],1.2,0.4,0.0,True
9,[[131  10]],0,435.47166000000004,[[132  10]],1.2,0.45,0.0,True
10,[[132  10]],0,536.2222,[[148   7]],1.2,0.5,0.0,True
11,[[148   7]],1,446.08572000000004,[[136  15]],1.2,0.45,0.0,True
12,[[136  15]],0,498.03459999999995,[[142  12]],1.2,0.5,0.0,True
13,[[142  12]],1,538.44282,[[179  16]],1.2,0.45,0.0,True
14,[[179  16]],0,468.28,[[124  18]],1.2,0.5,0.0,True
15,[[124  18]],1,498.80034,[[158  16]],1.2,0.45,0.0,True
16,[[158  16]],2,593.14716,[[172  15]],1.2,0.45,0.0,True
17,[[172  15]],2,503.96165999999994,[[152  15]],1.2,0.45,0.0,True
18,[[152  15]],1,457.05808,[[158  18]],1.2,0.4,0.0,True
19,[[158  18]],0,527.63022,[[162  11]],1.2,0.45,0.0,True
20,[[162  11]],2,534.36312,[[167  14]],1.2,0.45,0.0,True
21,[[167  14]],2,564.2251200000001,[[173  13]],1.2,0.45,0.0,True
22,[[173  13]],2,498.89358,[[156  13]],1.2,0.45,0.0,True
23,[[156  13]],0,700.789,[[187  16]],1.2,0.5,0.0,True
24,[[187  16]],0,591.74764,[[146  20]],1.2,0.55,0.0,True
25,[[146  20]],2,631.0579,[[155  17]],1.2,0.55,0.0,True
26,[[155  17]],1,597.1442,[[158  17]],1.2,0.5,0.0,True
27,[[158  17]],1,503.61822000000006,[[155  10]],1.2,0.45,0.0,True
28,[[155  10]],0,616.0224,[[165  18]],1.2,0.5,0.0,True
29,[[165  18]],0,616.36168,[[161  14]],1.2,0.55,0.0,True
30,[[161  14]],1,515.1615999999999,[[151  10]],1.2,0.5,0.0,True
31,[[151  10]],2,564.7076,[[155  21]],1.2,0.5,0.0,True
32,[[155  21]],2,594.973,[[160  10]],1.2,0.5,0.0,True
33,[[160  10]],0,675.32014,[[161  14]],1.2,0.55,0.0,True
34,[[161  14]],1,642.6272,[[170  16]],1.2,0.5,0.0,True
35,[[170  16]],2,540.5116,[[145  19]],1.2,0.5,0.0,True
36,[[145  19]],1,498.37878,[[151  21]],1.2,0.45,0.0,True
37,[[151  21]],0,574.3629999999999,[[151  13]],1.2,0.5,0.0,True
38,[[151  13]],1,585.8528399999999,[[172  20]],1.2,0.45,0.0,True
39,[[172  20]],2,564.2193599999999,[[163  10]],1.2,0.45,0.0,True
