,state,action,reward,next_state,fare,comm_rate,discount,Marketing
0,[[0 0]],1,0.0,[[0 0]],1.2,0.05,0.0,True
1,[[0 0]],1,0.0,[[18  2]],1.2,0.0,0.0,True
2,[[18  2]],0,12.11104,[[34  7]],1.2,0.05,0.0,True
3,[[34  7]],2,18.287059999999997,[[50  7]],1.2,0.05,0.0,True
4,[[50  7]],0,53.46456,[[78  8]],1.2,0.1,0.0,True
5,[[78  8]],0,99.37404,[[81  7]],1.2,0.15,0.0,True
6,[[81  7]],0,146.5936,[[100   9]],1.2,0.2,0.0,True
7,[[100   9]],1,119.0184,[[113   8]],1.2,0.15,0.0,True
8,[[113   8]],2,141.88392,[[129  12]],1.2,0.15,0.0,True
9,[[129  12]],2,155.7519,[[134   9]],1.2,0.15,0.0,True
10,[[134   9]],2,145.83186,[[132  13]],1.2,0.15,0.0,True
11,[[132  13]],2,160.49466,[[144  19]],1.2,0.15,0.0,True
12,[[144  19]],2,178.46609999999998,[[152  11]],1.2,0.15,0.0,True
13,[[152  11]],1,114.01660000000001,[[164  16]],1.2,0.1,0.0,True
14,[[164  16]],0,181.24356,[[163  17]],1.2,0.15,0.0,True
15,[[163  17]],1,110.21744000000001,[[151  16]],1.2,0.1,0.0,True
16,[[151  16]],1,53.919340000000005,[[148  18]],1.2,0.05,0.0,True
17,[[148  18]],2,56.66484,[[147  12]],1.2,0.05,0.0,True
18,[[147  12]],0,121.86792,[[171  12]],1.2,0.1,0.0,True
19,[[171  12]],2,122.38007999999999,[[174  18]],1.2,0.1,0.0,True
20,[[174  18]],1,63.03214,[[166  17]],1.2,0.05,0.0,True
21,[[166  17]],0,116.70703999999999,[[160  14]],1.2,0.1,0.0,True
22,[[160  14]],0,170.91834,[[146  16]],1.2,0.15,0.0,True
23,[[146  16]],2,158.00502,[[148  12]],1.2,0.15,0.0,True
24,[[148  12]],1,111.48124,[[146  16]],1.2,0.1,0.0,True
25,[[146  16]],1,56.8189,[[160   8]],1.2,0.05,0.0,True
26,[[160   8]],0,118.9334,[[163  18]],1.2,0.1,0.0,True
27,[[163  18]],1,61.95202,[[166  20]],1.2,0.05,0.0,True
