,state,action,reward,next_state,fare,comm_rate,discount,Marketing
0,[[0 0]],0,0.0,[[0 0]],1.2,0.15,0.0,True
1,[[0 0]],2,13.182719999999998,[[14  1]],1.2,0.15,0.0,True
2,[[14  1]],0,50.20096,[[31  5]],1.2,0.2,0.0,True
3,[[31  5]],0,98.29579999999999,[[52  4]],1.2,0.25,0.0,True
4,[[52  4]],1,95.87344,[[67  6]],1.2,0.2,0.0,True
5,[[67  6]],2,115.44112,[[82  2]],1.2,0.2,0.0,True
6,[[82  2]],2,157.04536,[[106  14]],1.2,0.2,0.0,True
7,[[106  14]],0,213.44639999999998,[[117   3]],1.2,0.25,0.0,True
8,[[117   3]],2,232.29260000000002,[[130  12]],1.2,0.25,0.0,True
9,[[130  12]],2,207.29679999999996,[[119  14]],1.2,0.25,0.0,True
10,[[119  14]],0,301.19088,[[134  12]],1.2,0.3,0.0,True
11,[[134  12]],1,261.1954,[[143  19]],1.2,0.25,0.0,True
12,[[143  19]],2,258.0716,[[139  15]],1.2,0.25,0.0,True
13,[[139  15]],2,274.7572,[[146   9]],1.2,0.25,0.0,True
14,[[146   9]],0,393.13968,[[175  17]],1.2,0.3,0.0,True
15,[[175  17]],2,327.36047999999994,[[151  11]],1.2,0.3,0.0,True
16,[[151  11]],1,256.2259,[[149  20]],1.2,0.25,0.0,True
17,[[149  20]],1,242.52784000000003,[[166  23]],1.2,0.2,0.0,True
18,[[166  23]],0,313.88649999999996,[[164   9]],1.2,0.25,0.0,True
19,[[164   9]],1,216.21416000000002,[[155  15]],1.2,0.2,0.0,True
20,[[155  15]],0,290.4588,[[153  14]],1.2,0.25,0.0,True
21,[[153  14]],1,229.98584,[[158  16]],1.2,0.2,0.0,True
22,[[158  16]],0,291.6065,[[160  21]],1.2,0.25,0.0,True
23,[[160  21]],1,247.39744000000002,[[169  13]],1.2,0.2,0.0,True
24,[[169  13]],0,337.44870000000003,[[171  22]],1.2,0.25,0.0,True
25,[[171  22]],2,272.1219,[[153  13]],1.2,0.25,0.0,True
26,[[153  13]],2,303.0643,[[167  15]],1.2,0.25,0.0,True
27,[[167  15]],1,222.61911999999998,[[157  18]],1.2,0.2,0.0,True
28,[[157  18]],1,186.82404,[[158  23]],1.2,0.15,0.0,True
29,[[158  23]],0,214.76976,[[150  12]],1.2,0.2,0.0,True
30,[[150  12]],1,176.23026,[[165  17]],1.2,0.15,0.0,True
31,[[165  17]],1,134.56416,[[171  22]],1.2,0.1,0.0,True
32,[[171  22]],0,163.59732000000002,[[159  14]],1.2,0.15,0.0,True
33,[[159  14]],1,141.24496,[[194  10]],1.2,0.1,0.0,True
34,[[194  10]],0,189.46938,[[169  12]],1.2,0.15,0.0,True
35,[[169  12]],2,165.66899999999998,[[149  26]],1.2,0.15,0.0,True
36,[[149  26]],1,132.24844000000002,[[182  21]],1.2,0.1,0.0,True
37,[[182  21]],0,187.23384,[[165  15]],1.2,0.15,0.0,True
38,[[165  15]],1,120.40868,[[166  15]],1.2,0.1,0.0,True
39,[[166  15]],0,188.32655999999997,[[172  16]],1.2,0.15,0.0,True
40,[[172  16]],0,262.9452,[[168  12]],1.2,0.2,0.0,True
41,[[168  12]],2,264.01232000000005,[[179  15]],1.2,0.2,0.0,True
42,[[179  15]],2,260.27432,[[173  11]],1.2,0.2,0.0,True
43,[[173  11]],0,320.6485,[[179  19]],1.2,0.25,0.0,True
44,[[179  19]],0,356.48364,[[167  14]],1.2,0.3,0.0,True
45,[[167  14]],0,476.05963999999994,[[182  18]],1.2,0.35,0.0,True
46,[[182  18]],0,453.48864000000003,[[159  15]],1.2,0.4,0.0,True
47,[[159  15]],1,441.29624,[[185  14]],1.2,0.35,0.0,True
48,[[185  14]],1,380.28036,[[167  16]],1.2,0.3,0.0,True
49,[[167  16]],2,360.5628,[[167  17]],1.2,0.3,0.0,True
50,[[167  17]],1,271.09489999999994,[[157  20]],1.2,0.25,0.0,True
51,[[157  20]],1,231.89256,[[180  15]],1.2,0.2,0.0,True
52,[[180  15]],2,250.95351999999997,[[175  16]],1.2,0.2,0.0,True
53,[[175  16]],2,237.74256,[[171  15]],1.2,0.2,0.0,True
54,[[171  15]],2,260.27656,[[175  12]],1.2,0.2,0.0,True
55,[[175  12]],2,274.43896,[[184  19]],1.2,0.2,0.0,True
56,[[184  19]],0,321.9781,[[185  15]],1.2,0.25,0.0,True
57,[[185  15]],2,304.2425,[[163  20]],1.2,0.25,0.0,True
58,[[163  20]],1,281.97936,[[192  15]],1.2,0.2,0.0,True
59,[[192  15]],0,320.96479999999997,[[178  13]],1.2,0.25,0.0,True
60,[[178  13]],0,385.24752,[[180  20]],1.2,0.3,0.0,True
61,[[180  20]],2,425.00795999999997,[[187  16]],1.2,0.3,0.0,True
62,[[187  16]],1,276.8653,[[161  15]],1.2,0.25,0.0,True
63,[[161  15]],1,235.06872,[[165  12]],1.2,0.2,0.0,True
64,[[165  12]],1,196.43225999999999,[[185   8]],1.2,0.15,0.0,True
65,[[185   8]],0,226.44328000000002,[[166  19]],1.2,0.2,0.0,True
66,[[166  19]],1,198.61782,[[188  13]],1.2,0.15,0.0,True
67,[[188  13]],0,275.74824,[[195  19]],1.2,0.2,0.0,True
68,[[195  19]],0,318.16499999999996,[[180  12]],1.2,0.25,0.0,True
69,[[180  12]],2,276.0952,[[152  11]],1.2,0.25,0.0,True
70,[[152  11]],2,297.7043,[[172  24]],1.2,0.25,0.0,True
71,[[172  24]],0,382.02083999999996,[[177  22]],1.2,0.3,0.0,True
72,[[177  22]],0,454.29509999999993,[[183  16]],1.2,0.35,0.0,True
73,[[183  16]],0,528.8784,[[183  18]],1.2,0.4,0.0,True
74,[[183  18]],0,540.86094,[[170  16]],1.2,0.45,0.0,True
75,[[170  16]],0,644.5013999999999,[[180  16]],1.2,0.5,0.0,True
76,[[180  16]],0,660.89342,[[172  18]],1.2,0.55,0.0,True
77,[[172  18]],2,763.67742,[[195   8]],1.2,0.55,0.0,True
78,[[195   8]],1,658.5999999999999,[[187  18]],1.2,0.5,0.0,True
79,[[187  18]],2,703.5873999999999,[[193  18]],1.2,0.5,0.0,True
80,[[193  18]],2,730.3232,[[197  23]],1.2,0.5,0.0,True
81,[[197  23]],0,820.81362,[[216  18]],1.2,0.55,0.0,True
82,[[216  18]],1,589.6536,[[180  17]],1.2,0.5,0.0,True
83,[[180  17]],0,880.46266,[[218  11]],1.2,0.55,0.0,True
84,[[218  11]],0,876.6902399999999,[[209  12]],1.2,0.6,0.0,True
85,[[209  12]],1,769.51688,[[193  16]],1.2,0.55,0.0,True
86,[[193  16]],2,865.04924,[[217  15]],1.2,0.55,0.0,True
87,[[217  15]],0,845.8778399999999,[[203  17]],1.2,0.6,0.0,True
88,[[203  17]],2,847.8170399999999,[[202  17]],1.2,0.6,0.0,True
89,[[202  17]],0,707.7952799999999,[[180  12]],1.2,0.6,0.0,True
90,[[180  12]],2,802.86576,[[194  21]],1.2,0.6,0.0,True
91,[[194  21]],0,835.3956,[[196  19]],1.2,0.6,0.0,True
92,[[196  19]],0,830.6915999999999,[[200  19]],1.2,0.6,0.0,True
93,[[200  19]],1,724.1797200000001,[[201  15]],1.2,0.55,0.0,True
94,[[201  15]],1,712.8616,[[205  15]],1.2,0.5,0.0,True
95,[[205  15]],1,675.2102399999999,[[221  22]],1.2,0.45,0.0,True
96,[[221  22]],1,621.10864,[[224  18]],1.2,0.4,0.0,True
97,[[224  18]],2,607.91936,[[217  19]],1.2,0.4,0.0,True
98,[[217  19]],0,680.00004,[[224  16]],1.2,0.45,0.0,True
99,[[224  16]],2,560.8035,[[189  14]],1.2,0.45,0.0,True
100,[[189  14]],2,717.20136,[[235  19]],1.2,0.45,0.0,False
101,[[235  19]],1,614.5311999999999,[[218  12]],1.2,0.4,0.0,False
102,[[218  12]],0,660.2418,[[222  14]],1.2,0.45,0.0,False
103,[[222  14]],0,784.4474,[[230  18]],1.2,0.5,0.0,False
104,[[230  18]],1,680.6547,[[211  15]],1.2,0.45,0.0,False
105,[[211  15]],2,672.98166,[[215  12]],1.2,0.45,0.0,False
106,[[215  12]],1,655.8563200000001,[[236  15]],1.2,0.4,0.0,False
107,[[236  15]],0,658.33506,[[219  20]],1.2,0.45,0.0,False
108,[[219  20]],2,682.88256,[[227  22]],1.2,0.45,0.0,False
109,[[227  22]],1,630.57344,[[238  19]],1.2,0.4,0.0,False
110,[[238  19]],0,746.05032,[[241  20]],1.2,0.45,0.0,False
111,[[241  20]],1,599.44,[[215  18]],1.2,0.4,0.0,False
112,[[215  18]],0,708.2490599999999,[[242  15]],1.2,0.45,0.0,False
113,[[242  15]],0,873.2134,[[253  23]],1.2,0.5,0.0,False
114,[[253  23]],0,1019.17002,[[264  15]],1.2,0.55,0.0,False
115,[[264  15]],0,981.4130399999999,[[241  11]],1.2,0.6,0.0,False
116,[[241  11]],0,1016.8704,[[246  15]],1.2,0.6,0.0,False
117,[[246  15]],0,899.64768,[[226  17]],1.2,0.6,0.0,False
118,[[226  17]],2,1001.14128,[[237  15]],1.2,0.6,0.0,False
119,[[237  15]],0,920.9152799999999,[[225  16]],1.2,0.6,0.0,False
