,nP_share,nV_share,Platform_rev
0,0.0,0.0,0.0
1,0.012,0.005,21.474600000000002
2,0.022,0.015,34.04332
3,0.03,0.025,42.0612
4,0.0325,0.015,49.05952
5,0.046,0.045,66.33448
6,0.048,0.065,68.85264000000001
7,0.0515,0.07,74.63
8,0.069,0.05,101.98872
9,0.0645,0.075,90.162
10,0.072,0.05,104.87004000000002
11,0.0755,0.075,110.8166
12,0.0685,0.09,95.89035999999999
13,0.062,0.08,90.81092
14,0.069,0.09,111.11736000000002
15,0.068,0.05,105.03812
16,0.0755,0.075,112.8176
17,0.085,0.1,125.63896000000001
18,0.089,0.085,127.31876
19,0.077,0.105,115.10708
20,0.076,0.045,112.54996
21,0.0805,0.075,115.61428
22,0.079,0.05,112.52116000000001
23,0.066,0.09,98.46588
24,0.078,0.07,110.04419999999999
25,0.0775,0.09,111.76996
26,0.0765,0.095,110.13384
27,0.0705,0.08,100.33992
28,0.086,0.07,134.50027999999998
29,0.0835,0.08,126.51436000000001
30,0.083,0.08,116.57552000000001
31,0.0785,0.085,124.14644
32,0.085,0.06,129.2056
33,0.0745,0.11,112.77736
34,0.078,0.06,116.65451999999999
35,0.074,0.06,106.44068
36,0.077,0.085,108.44612000000001
37,0.084,0.055,122.70455999999999
38,0.0825,0.095,125.75196
39,0.0875,0.12,129.9266
40,0.0885,0.085,137.12832
41,0.091,0.11,133.21504
42,0.0805,0.07,116.52496
43,0.0725,0.08,104.86028000000002
44,0.0855,0.09,126.02844000000002
45,0.0865,0.07,126.64456000000001
46,0.087,0.09,124.79879999999999
47,0.08,0.085,115.26344
48,0.0865,0.065,128.30248
49,0.0925,0.09,133.78312
50,0.0985,0.04,144.66808
51,0.094,0.07,135.3868
52,0.0905,0.09,124.91911999999999
53,0.09,0.1,130.67136
54,0.0925,0.09,131.19604
55,0.0825,0.09,120.26088000000001
56,0.076,0.075,113.98552000000001
57,0.0865,0.08,136.57012
58,0.0775,0.1,110.50504
59,0.0885,0.1,127.2852
60,0.092,0.1,130.72808
61,0.091,0.065,124.0054
62,0.1005,0.1,142.35012
63,0.096,0.095,141.55968000000001
64,0.0845,0.08,119.62508
65,0.0945,0.075,136.7262
66,0.093,0.08,134.16324
67,0.105,0.08,156.67908
68,0.09,0.09,131.34576
