,nP_share,nV_share,Platform_rev
0,0.0,0.0,0.0
1,0.008,0.0,13.69388
2,0.022,0.02,31.09252
3,0.031,0.035,45.3868
4,0.041,0.04,59.7524
5,0.0475,0.06,70.70931999999999
6,0.0545,0.025,83.94536000000001
7,0.056,0.06,79.97252
8,0.0615,0.065,96.46164
9,0.07,0.065,102.78388
10,0.068,0.05,92.7242
11,0.071,0.075,104.55044
12,0.073,0.095,107.82904000000002
13,0.065,0.105,98.159
14,0.076,0.065,116.44636000000001
15,0.081,0.07,117.70080000000002
16,0.0805,0.09,113.56888000000001
17,0.0725,0.055,104.31620000000001
18,0.08,0.045,115.46012
19,0.0735,0.07,108.14892
20,0.079,0.115,117.77848
21,0.0865,0.05,132.20296
22,0.088,0.06,128.07928
23,0.0845,0.125,125.92928
24,0.082,0.065,116.57368
25,0.0725,0.09,102.83431999999999
26,0.0755,0.075,121.30532
27,0.069,0.105,106.33908000000001
28,0.0775,0.105,114.56140000000002
29,0.082,0.065,116.39284
30,0.078,0.095,109.94724000000001
31,0.0965,0.085,146.4578
32,0.0695,0.08,106.98236
33,0.08,0.07,107.87371999999999
34,0.0895,0.105,138.13108
35,0.083,0.08,122.58872
36,0.0895,0.055,121.6948
37,0.089,0.07,133.92728
38,0.0815,0.085,121.80644
39,0.0775,0.08,114.1042
40,0.079,0.06,117.49132
41,0.0855,0.065,127.2456
42,0.0865,0.08,126.17488
43,0.074,0.06,111.52447999999998
44,0.0835,0.05,118.53904
45,0.087,0.06,122.24172000000002
46,0.071,0.065,98.67212
47,0.0795,0.09,122.99676
48,0.0955,0.105,143.65564
49,0.0915,0.095,133.54068
50,0.0695,0.13,106.48304000000002
51,0.0795,0.07,120.01716000000002
52,0.089,0.08,135.36212
53,0.088,0.115,127.48936
54,0.0945,0.09,138.98844
55,0.0885,0.06,131.25036
56,0.0885,0.095,122.74440000000001
57,0.082,0.105,118.15672
58,0.084,0.09,121.17887999999999
59,0.087,0.07,123.66552
60,0.082,0.095,111.37588
61,0.0895,0.09,132.34372000000002
62,0.0895,0.115,131.71072
63,0.0865,0.09,130.76656000000003
64,0.0905,0.095,137.99624
65,0.0835,0.08,113.62204
66,0.075,0.125,110.55648
67,0.0955,0.085,139.63156
68,0.0985,0.085,150.98284
69,0.0885,0.095,126.81936000000002
70,0.09,0.065,136.50528
71,0.092,0.11,132.08756
72,0.0825,0.1,113.74620000000002
73,0.0915,0.11,129.24564
74,0.094,0.105,129.94564
75,0.101,0.08,146.92004
76,0.099,0.095,139.94184
77,0.1025,0.105,155.63144
78,0.096,0.085,130.84944000000002
79,0.1075,0.105,146.62864000000002
80,0.09,0.085,131.12904
81,0.095,0.125,132.19748
82,0.093,0.06,132.6072
83,0.1,0.075,141.7576
84,0.104,0.145,150.1418
85,0.092,0.115,124.4072
86,0.11,0.08,149.00912
87,0.095,0.095,138.39236
