,nP_share,nV_share,Platform_rev
0,0.0,0.0,0.0
1,0.007,0.005,15.295919999999999
2,0.0155,0.01,23.63168
3,0.025,0.01,20.009240000000002
4,0.04,0.035,59.927200000000006
5,0.049,0.05,74.03416
6,0.045,0.08,66.27468
7,0.065,0.055,47.59102
8,0.0625,0.055,93.72136
9,0.067,0.06,106.91535999999999
10,0.0715,0.095,105.07552
11,0.0715,0.045,51.03818
12,0.0775,0.065,0.0
13,0.086,0.08,66.63604000000001
14,0.0765,0.075,0.0
15,0.076,0.07,0.0
16,0.0785,0.07,0.0
17,0.082,0.07,0.0
18,0.082,0.08,0.0
19,0.0825,0.095,0.0
20,0.081,0.125,0.0
21,0.08,0.07,0.0
22,0.08,0.065,0.0
23,0.0765,0.095,56.47536
24,0.077,0.07,0.0
25,0.0835,0.065,61.81382
26,0.082,0.065,0.0
27,0.0785,0.065,0.0
28,0.0835,0.1,0.0
29,0.076,0.115,57.58184
30,0.0805,0.1,122.78200000000001
31,0.075,0.085,161.1891
32,0.0795,0.09,163.73555999999996
33,0.0775,0.07,174.41249999999997
34,0.075,0.065,231.12624
35,0.0765,0.075,272.7153
36,0.0765,0.065,336.41064
37,0.08,0.08,393.72256
38,0.072,0.06,417.87216
39,0.0755,0.085,485.03700000000003
40,0.0885,0.11,524.24064
41,0.0865,0.07,467.71466
42,0.0885,0.07,531.98112
43,0.083,0.065,591.45804
44,0.0865,0.075,553.16862
45,0.0825,0.065,601.9644000000001
46,0.0905,0.09,724.23362
47,0.0805,0.12,605.1266
48,0.084,0.06,538.82712
49,0.068,0.065,390.596
50,0.0735,0.095,358.1151
51,0.084,0.08,421.71191999999996
52,0.0805,0.09,474.52383999999995
53,0.0845,0.105,578.75184
54,0.0825,0.07,601.2270000000001
55,0.084,0.07,612.9786
56,0.0895,0.095,676.5722
57,0.0855,0.075,647.7857999999999
58,0.0825,0.075,669.15354
59,0.0895,0.07,645.8911999999999
60,0.081,0.08,620.22312
61,0.0835,0.065,657.9126400000001
62,0.0935,0.085,647.6733999999999
63,0.094,0.045,616.70988
64,0.085,0.06,553.32954
65,0.0945,0.085,621.9331199999999
66,0.098,0.06,689.5648
67,0.0865,0.05,647.816
68,0.0875,0.055,697.25018
69,0.0865,0.1,696.45136
70,0.0925,0.075,825.9453599999999
71,0.0895,0.035,757.9456799999999
72,0.091,0.065,701.2403200000001
73,0.092,0.075,636.7006
74,0.0895,0.075,578.96658
75,0.1005,0.085,673.3503000000001
76,0.0825,0.05,623.814
77,0.0905,0.06,608.9184
78,0.099,0.105,553.1323199999999
79,0.0915,0.105,486.97236
80,0.0875,0.095,496.50032
81,0.0945,0.09,446.02739999999994
82,0.1015,0.065,564.77296
83,0.089,0.07,531.29826
84,0.1,0.11,614.2139999999999
85,0.1085,0.08,681.94422
86,0.0955,0.065,544.52368
87,0.1055,0.085,666.53424
88,0.095,0.06,528.8931200000001
89,0.095,0.045,536.61104
90,0.0975,0.07,489.03162
91,0.1035,0.07,606.6652799999999
92,0.1025,0.135,642.11436
93,0.0975,0.11,635.1658199999999
94,0.0965,0.085,684.8638
95,0.1075,0.065,858.0246400000001
96,0.1055,0.07,848.55432
97,0.1135,0.09,975.3179999999998
98,0.099,0.08,830.7842399999998
99,0.102,0.065,855.4104
100,0.105,0.095,861.09336
101,0.12,0.1,931.0752
102,0.1195,0.06,842.8273999999999
103,0.1015,0.08,789.5740600000001
104,0.1055,0.08,914.14848
105,0.0975,0.1,723.50322
106,0.1185,0.1,831.4523999999999
107,0.1165,0.09,813.4208
108,0.113,0.085,712.35918
109,0.1185,0.105,639.11376
110,0.1195,0.085,596.9675599999999
111,0.1195,0.09,571.29464
112,0.1145,0.085,465.0953999999999
113,0.113,0.1,381.8369
114,0.115,0.085,380.2228
115,0.12,0.09,323.6856
116,0.115,0.105,318.2984
117,0.1175,0.075,407.1644
118,0.1375,0.065,575.9367599999999
119,0.1205,0.055,416.48720000000003
120,0.1145,0.055,455.8811999999999
121,0.1205,0.09,563.28202
122,0.113,0.085,609.86432
123,0.1245,0.105,573.8711999999999
124,0.127,0.05,659.79184
125,0.1165,0.055,639.3995199999999
126,0.1345,0.11,729.8728
127,0.132,0.125,643.43706
128,0.1155,0.11,616.08624
129,0.1215,0.08,577.65834
130,0.128,0.055,697.31168
131,0.1325,0.095,745.50272
132,0.133,0.085,828.9379799999999
133,0.141,0.065,871.30134
134,0.124,0.075,841.0328
135,0.128,0.055,994.3313600000001
136,0.1215,0.06,940.7815199999999
137,0.1205,0.05,876.51674
138,0.1245,0.04,843.4026
139,0.119,0.05,735.1455599999999
140,0.1335,0.065,889.2126
141,0.1205,0.095,804.6274000000001
142,0.122,0.095,714.8906999999999
143,0.1175,0.08,736.9086599999999
144,0.123,0.065,649.9425600000001
145,0.1155,0.095,555.0883799999999
146,0.129,0.09,638.64402
147,0.1315,0.07,617.8613
148,0.124,0.105,586.3571
149,0.1345,0.065,625.5892999999999
150,0.1285,0.085,617.8991
151,0.123,0.08,585.8575799999999
152,0.1225,0.045,668.8873600000001
153,0.118,0.08,655.69168
154,0.1225,0.04,672.70336
155,0.1255,0.11,686.00272
156,0.117,0.12,616.59504
157,0.119,0.085,537.5335
158,0.121,0.065,547.4575399999999
159,0.1215,0.07,638.1350399999999
160,0.1435,0.11,804.2944
161,0.123,0.095,667.34064
162,0.1325,0.065,713.0532800000001
163,0.123,0.1,569.20542
164,0.1345,0.065,546.8606399999999
165,0.129,0.05,431.1114
166,0.127,0.1,416.93019999999996
167,0.1255,0.025,349.55
168,0.1245,0.07,257.02433999999994
169,0.119,0.07,337.21312
170,0.122,0.095,332.64880000000005
171,0.1295,0.075,350.34712
172,0.124,0.075,332.00024
173,0.122,0.085,323.04232
174,0.1245,0.12,345.32664
175,0.127,0.07,259.37681999999995
176,0.1255,0.08,169.28871999999998
177,0.1305,0.09,173.22647999999998
178,0.1245,0.095,250.22016
179,0.1335,0.115,180.38616000000002
180,0.13,0.09,86.52062000000001
181,0.1275,0.06,0.0
182,0.1305,0.075,0.0
183,0.1315,0.075,0.0
184,0.135,0.105,0.0
185,0.124,0.09,83.63785999999999
186,0.127,0.09,176.72164
187,0.1385,0.13,183.26479999999998
188,0.131,0.09,88.01164
189,0.1325,0.11,91.3312
190,0.127,0.12,83.74334
191,0.1435,0.125,94.76552
192,0.147,0.125,98.2329
193,0.136,0.105,182.13004
194,0.1305,0.11,83.71842
195,0.146,0.09,100.00654
196,0.1335,0.125,89.4285
197,0.1415,0.125,192.29948000000002
198,0.1485,0.14,195.075
199,0.1335,0.16,173.622
200,0.142,0.1,96.96404
201,0.1475,0.19,0.0
202,0.1445,0.14,0.0
203,0.155,0.13,103.94973999999999
204,0.156,0.155,0.0
205,0.149,0.135,0.0
206,0.1655,0.135,0.0
207,0.1545,0.14,0.0
208,0.1605,0.18,0.0
209,0.1485,0.155,94.65972000000001
