,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],1,0.0,4.999999999999999,[[20  1]],20,1,1.2,0.05,0.0,True
1,[[20  1]],1,0.0,10.666666666666666,[[44  2]],44,2,1.2,0.0,0.0,True
2,[[44  2]],1,0.0,17.0,[[72  3]],72,3,1.2,0.0,0.0,True
3,[[72  3]],1,0.0,23.833333333333332,[[63  8]],63,8,1.2,0.0,0.0,True
4,[[63  8]],0,22.0845,32.1217803030303,[[96  8]],96,8,1.2,0.05,0.0,True
5,[[96  8]],1,0.0,32.33333333333333,[[114   8]],114,8,1.2,0.0,0.0,True
6,[[114   8]],1,0.0,35.83333333333333,[[115  10]],115,10,1.2,0.0,0.0,True
7,[[115  10]],0,43.87798,43.373482323232324,[[137   9]],137,9,1.2,0.05,0.0,True
8,[[137   9]],2,49.54610000000001,58.42248737373737,[[143  17]],143,17,1.2,0.05,0.0,True
9,[[143  17]],2,54.155480000000004,55.5044797979798,[[152  14]],152,14,1.2,0.05,0.0,True
10,[[152  14]],1,0.0,39.99999999999999,[[140  10]],140,10,1.2,0.0,0.0,True
11,[[140  10]],0,52.870940000000004,46.342290404040405,[[128  11]],128,11,1.2,0.05,0.0,True
12,[[128  11]],1,0.0,50.33333333333333,[[172  13]],172,13,1.2,0.0,0.0,True
13,[[172  13]],2,0.0,48.49999999999999,[[161  13]],161,13,1.2,0.0,0.0,True
14,[[161  13]],0,58.1702,59.844722222222224,[[155  16]],155,16,1.2,0.05,0.0,True
15,[[155  16]],2,56.66780000000001,57.32169191919191,[[161  14]],161,14,1.2,0.05,0.0,True
16,[[161  14]],2,60.4349,58.464002525252525,[[165  14]],165,14,1.2,0.05,0.0,True
17,[[165  14]],1,0.0,46.83333333333333,[[141  14]],141,14,1.2,0.0,0.0,True
18,[[141  14]],2,0.0,48.666666666666664,[[162  13]],162,13,1.2,0.0,0.0,True
19,[[162  13]],2,0.0,49.99999999999999,[[140  16]],140,16,1.2,0.0,0.0,True
20,[[140  16]],1,0.0,62.333333333333336,[[164  21]],164,21,1.2,0.0,0.0,True
21,[[164  21]],2,0.0,55.166666666666664,[[161  17]],161,17,1.2,0.0,0.0,True
22,[[161  17]],0,60.67862,50.32810858585859,[[146  11]],146,11,1.2,0.05,0.0,True
23,[[146  11]],2,50.73998,62.23989646464646,[[165  17]],165,17,1.2,0.05,0.0,True
24,[[165  17]],0,124.60560000000001,68.56636363636363,[[157  16]],157,16,1.2,0.1,0.0,True
25,[[157  16]],2,114.13124,65.74384343434342,[[148  16]],148,16,1.2,0.1,0.0,True
26,[[148  16]],2,105.239,51.95441919191919,[[142   9]],142,9,1.2,0.1,0.0,True
27,[[142   9]],2,109.69399999999999,67.68358585858586,[[183  14]],183,14,1.2,0.1,0.0,True
28,[[183  14]],2,133.9044,77.40712121212121,[[153  21]],153,21,1.2,0.1,0.0,True
29,[[153  21]],2,107.24484000000001,67.04101515151514,[[161  16]],161,16,1.2,0.1,0.0,True
30,[[161  16]],1,59.865260000000006,53.058744949494944,[[163  11]],163,11,1.2,0.05,0.0,True
31,[[163  11]],2,60.99004000000001,64.53409595959596,[[161  18]],161,18,1.2,0.05,0.0,True
32,[[161  18]],2,58.81328,49.59258585858585,[[173   8]],173,8,1.2,0.05,0.0,True
33,[[173   8]],0,128.65804,63.74470202020202,[[135  15]],135,15,1.2,0.1,0.0,True
34,[[135  15]],0,151.39242,82.11520454545455,[[178  20]],178,20,1.2,0.15,0.0,True
35,[[178  20]],0,247.92856,81.47077777777778,[[151  15]],151,15,1.2,0.2,0.0,True
36,[[151  15]],0,264.94820000000004,104.11972222222221,[[164  26]],164,26,1.2,0.25,0.0,True
37,[[164  26]],1,245.21744,84.96179797979798,[[174  15]],174,15,1.2,0.2,0.0,True
38,[[174  15]],0,326.21669999999995,102.35564393939391,[[157  21]],157,21,1.2,0.25,0.0,True
39,[[157  21]],0,353.31647999999996,94.94399999999999,[[162  14]],162,14,1.2,0.3,0.0,True
40,[[162  14]],0,388.14005999999995,90.67424999999999,[[150  10]],150,10,1.2,0.35,0.0,True
41,[[150  10]],2,390.92339999999996,110.69234848484848,[[178  19]],178,19,1.2,0.35,0.0,True
42,[[178  19]],0,535.30304,119.422101010101,[[171  14]],171,14,1.2,0.4,0.0,True
43,[[171  14]],1,412.56726,110.42515909090908,[[170  18]],170,18,1.2,0.35,0.0,True
44,[[170  18]],0,472.44928000000004,111.65268686868687,[[182  13]],182,13,1.2,0.4,0.0,True
45,[[182  13]],2,559.38112,116.79559595959596,[[177  10]],177,10,1.2,0.4,0.0,True
46,[[177  10]],2,495.62543999999997,118.0789696969697,[[163  17]],163,17,1.2,0.4,0.0,True
47,[[163  17]],0,535.42332,122.10395454545453,[[177  15]],177,15,1.2,0.45,0.0,True
48,[[177  15]],0,628.4916000000001,129.52166666666668,[[151  15]],151,15,1.2,0.5,0.0,True
49,[[151  15]],2,570.7108,121.7261111111111,[[198  10]],198,10,1.2,0.5,0.0,True
50,[[198  10]],0,813.1160400000001,158.16616666666667,[[153  18]],153,18,1.2,0.55,0.0,True
51,[[153  18]],0,666.6962399999999,145.8454848484848,[[150  22]],150,22,1.2,0.6,0.0,True
52,[[150  22]],1,632.75784,142.227,[[184  19]],184,19,1.2,0.55,0.0,True
53,[[184  19]],2,786.0835400000001,151.75297222222224,[[175  14]],175,14,1.2,0.55,0.0,True
54,[[175  14]],0,775.4815199999999,150.74766666666667,[[157  16]],157,16,1.2,0.6,0.0,True
55,[[157  16]],2,712.2828,145.43469696969697,[[183  15]],183,15,1.2,0.6,0.0,True
56,[[183  15]],2,834.4879199999999,158.531303030303,[[179  14]],179,14,1.2,0.6,0.0,True
57,[[179  14]],2,753.11016,158.58966666666666,[[161  22]],161,22,1.2,0.6,0.0,True
58,[[161  22]],0,754.66196,146.78560101010103,[[179  13]],179,13,1.2,0.65,0.0,True
59,[[179  13]],0,856.9976799999998,160.70677777777775,[[175  14]],175,14,1.2,0.7,0.0,True
60,[[175  14]],0,945.6098999999999,176.22852272727272,[[191  15]],191,15,1.2,0.75,0.0,True
61,[[191  15]],1,960.1950399999998,190.5700808080808,[[196  22]],196,22,1.2,0.7,0.0,True
62,[[196  22]],0,1062.798,192.35833333333332,[[199  15]],199,15,1.2,0.75,0.0,True
63,[[199  15]],2,1085.6327999999999,200.57484848484847,[[181  20]],181,20,1.2,0.75,0.0,True
64,[[181  20]],2,938.229,171.12992424242424,[[166  15]],166,15,1.2,0.75,0.0,True
65,[[166  15]],2,884.5251,174.84912878787875,[[179  20]],179,20,1.2,0.75,0.0,True
66,[[179  20]],0,973.21184,180.21361616161616,[[194  15]],194,15,1.2,0.8,0.0,True
67,[[194  15]],1,1027.3512,178.2160606060606,[[191  10]],191,10,1.2,0.75,0.0,True
68,[[191  10]],1,949.0809999999999,184.50012626262628,[[178  21]],178,21,1.2,0.7,0.0,True
69,[[178  21]],0,955.5054,169.81128787878788,[[185  11]],185,11,1.2,0.75,0.0,True
70,[[185  11]],2,1017.6222,183.32098484848484,[[159  17]],159,17,1.2,0.75,0.0,True
71,[[159  17]],1,772.8940799999999,156.42096969696968,[[183  17]],183,17,1.2,0.7,0.0,True
72,[[183  17]],2,914.3962799999999,179.78740909090908,[[196  19]],196,19,1.2,0.7,0.0,True
73,[[196  19]],2,1014.6096799999999,196.44061616161616,[[180  23]],180,23,1.2,0.7,0.0,True
74,[[180  23]],1,833.38242,167.05838636363634,[[181  19]],181,19,1.2,0.65,0.0,True
75,[[181  19]],2,851.9640999999999,169.7378914141414,[[173  20]],173,20,1.2,0.65,0.0,True
76,[[173  20]],2,833.2805000000001,167.21218434343436,[[192  18]],192,18,1.2,0.65,0.0,True
77,[[192  18]],2,862.0131,163.00670454545454,[[175  15]],175,15,1.2,0.65,0.0,True
78,[[175  15]],0,912.2808799999999,164.5203131313131,[[196  10]],196,10,1.2,0.7,0.0,True
79,[[196  10]],1,902.22262,173.41699747474746,[[187  17]],187,17,1.2,0.65,0.0,True
80,[[187  17]],2,877.67524,169.48424747474746,[[172  18]],172,18,1.2,0.65,0.0,True
81,[[172  18]],0,880.0660399999999,167.9527828282828,[[201  14]],201,14,1.2,0.7,0.0,True
82,[[201  14]],2,990.3389999999999,186.87613636363633,[[201  17]],201,17,1.2,0.7,0.0,True
83,[[201  17]],2,973.56504,174.5915454545454,[[180  13]],180,13,1.2,0.7,0.0,True
84,[[180  13]],0,962.0450999999998,173.63700757575754,[[213  10]],213,10,1.2,0.75,0.0,True
85,[[213  10]],2,1160.1864,208.4881818181818,[[182  19]],182,19,1.2,0.75,0.0,True
86,[[182  19]],2,960.3453,185.42238636363635,[[185  20]],185,20,1.2,0.75,0.0,True
87,[[185  20]],2,975.7686,181.70310606060605,[[201  15]],201,15,1.2,0.75,0.0,True
88,[[201  15]],2,1062.4553999999998,206.14840909090907,[[192  24]],192,24,1.2,0.75,0.0,True
89,[[192  24]],0,1062.63264,188.67078787878788,[[237   9]],237,9,1.2,0.8,0.0,True
90,[[237   9]],0,1400.3641199999997,238.98031818181818,[[193  18]],193,18,1.2,0.85,0.0,True
91,[[193  18]],0,1183.8114,202.3044696969697,[[177  14]],177,14,1.2,0.9,0.0,True
92,[[177  14]],1,1063.67028,200.30180303030303,[[216  18]],216,18,1.2,0.85,0.0,True
93,[[216  18]],1,1217.8799999999999,223.6060606060606,[[199  22]],199,22,1.2,0.8,0.0,True
94,[[199  22]],2,1151.1280000000002,214.17777777777778,[[203  21]],203,21,1.2,0.8,0.0,True
95,[[203  21]],0,1266.09472,223.69377777777777,[[213  17]],213,17,1.2,0.85,0.0,True
96,[[213  17]],0,1418.2419599999998,252.9042878787878,[[203  24]],203,24,1.2,0.9,0.0,True
97,[[203  24]],1,1203.9777399999998,213.18405808080806,[[217  15]],217,15,1.2,0.85,0.0,True
98,[[217  15]],1,1156.8121600000002,202.72880808080808,[[220  12]],220,12,1.2,0.8,0.0,True
99,[[220  12]],0,1313.8137199999999,213.21890404040403,[[204   8]],204,8,1.2,0.85,0.0,True
100,[[204   8]],2,1141.24944,203.0971515151515,[[214  14]],214,14,1.2,0.85,0.0,False
101,[[214  14]],0,1331.10396,243.40201515151514,[[222  23]],222,23,1.2,0.9,0.0,False
102,[[222  23]],1,1319.1813,209.22996212121208,[[186   7]],186,7,1.2,0.85,0.0,False
103,[[186   7]],2,1147.5897599999998,199.39769696969694,[[207  12]],207,12,1.2,0.85,0.0,False
104,[[207  12]],0,1265.33988,221.76513636363634,[[222  15]],222,15,1.2,0.9,0.0,False
105,[[222  15]],0,1515.35298,263.33244696969695,[[212  22]],212,22,1.2,0.95,0.0,False
106,[[212  22]],2,1332.57602,223.25454797979796,[[180  15]],180,15,1.2,0.95,0.0,False
107,[[180  15]],0,1225.26,216.53787878787878,[[231  14]],231,14,1.2,1.0,0.0,False
108,[[231  14]],2,1558.2612,253.08348484848486,[[208  13]],208,13,1.2,1.0,0.0,False
109,[[208  13]],2,1420.8164000000002,241.06267676767678,[[210  16]],210,16,1.2,1.0,0.0,False
110,[[210  16]],2,1464.1476,251.03378787878782,[[217  18]],217,18,1.2,1.0,0.0,False
111,[[217  18]],0,1524.4268,255.64479797979794,[[209  17]],209,17,1.2,1.0,0.0,False
112,[[209  17]],2,1425.9124000000002,252.53944444444443,[[225  21]],225,21,1.2,1.0,0.0,False
113,[[225  21]],1,1441.98828,251.73589393939395,[[228  19]],228,19,1.2,0.95,0.0,False
114,[[228  19]],0,1538.8608,263.9672727272727,[[238  18]],238,18,1.2,1.0,0.0,False
115,[[238  18]],0,1631.4092,268.9860101010101,[[228  15]],228,15,1.2,1.0,0.0,False
116,[[228  15]],2,1529.1576,249.74212121212122,[[230  11]],230,11,1.2,1.0,0.0,False
117,[[230  11]],0,1650.4168,267.55262626262623,[[235  12]],235,12,1.2,1.0,0.0,False
118,[[235  12]],0,1637.0371999999998,269.3632828282828,[[206  17]],206,17,1.2,1.0,0.0,False
119,[[206  17]],2,1403.5384,240.3811111111111,[[239  14]],239,14,1.2,1.0,0.0,False
120,[[239  14]],0,1547.188,260.3520202020202,[[230  16]],230,16,1.2,1.0,0.0,False
121,[[230  16]],0,1622.1976,265.98959595959593,[[237  13]],237,13,1.2,1.0,0.0,False
122,[[237  13]],0,1664.9111999999998,280.2160606060606,[[230  19]],230,19,1.2,1.0,0.0,False
123,[[230  19]],2,1591.5232,274.28323232323237,[[210  23]],210,23,1.2,1.0,0.0,False
124,[[210  23]],0,1462.9488000000001,248.21575757575758,[[241  14]],241,14,1.2,1.0,0.0,False
125,[[241  14]],1,1567.70482,263.7758611111111,[[255  14]],255,14,1.2,0.95,0.0,False
126,[[255  14]],0,1750.2215999999999,291.48757575757566,[[243  18]],243,18,1.2,1.0,0.0,False
127,[[243  18]],2,1662.9864,288.30636363636364,[[260  21]],260,21,1.2,1.0,0.0,False
128,[[260  21]],1,1632.56702,272.96553282828285,[[211  19]],211,19,1.2,0.95,0.0,False
129,[[211  19]],1,1262.90088,226.62384848484848,[[243  16]],243,16,1.2,0.9,0.0,False
130,[[243  16]],2,1457.9892,255.42287878787877,[[258  17]],258,17,1.2,0.9,0.0,False
131,[[258  17]],1,1464.95256,241.96875757575756,[[232  11]],232,11,1.2,0.85,0.0,False
132,[[232  11]],2,1390.0729999999999,241.84760101010096,[[248  15]],248,15,1.2,0.85,0.0,False
133,[[248  15]],1,1408.24928,238.14258585858587,[[222  14]],222,14,1.2,0.8,0.0,False
134,[[222  14]],2,1225.1683200000002,219.02630303030304,[[236  15]],236,15,1.2,0.8,0.0,False
135,[[236  15]],1,1183.1997000000001,209.5605681818182,[[231  13]],231,13,1.2,0.75,0.0,False
136,[[231  13]],2,1154.2383,208.40382575757573,[[246  13]],246,13,1.2,0.75,0.0,False
137,[[246  13]],1,1173.1557599999999,213.6257272727272,[[223  17]],223,17,1.2,0.7,0.0,False
138,[[223  17]],1,996.56284,194.99530808080806,[[235  18]],235,18,1.2,0.65,0.0,False
139,[[235  18]],2,1022.17102,184.56199747474744,[[243   9]],243,9,1.2,0.65,0.0,False
140,[[243   9]],2,1068.6569399999998,202.59809848484844,[[256  15]],256,15,1.2,0.65,0.0,False
141,[[256  15]],0,1170.84044,211.16672222222218,[[250  13]],250,13,1.2,0.7,0.0,False
142,[[250  13]],1,1147.93354,210.27443686868685,[[252  14]],252,14,1.2,0.65,0.0,False
143,[[252  14]],2,1080.5535,218.76685606060602,[[244  25]],244,25,1.2,0.65,0.0,False
144,[[244  25]],1,977.9563199999999,202.47933333333333,[[234  24]],234,24,1.2,0.6,0.0,False
145,[[234  24]],0,1020.7017600000001,194.5431515151515,[[244  15]],244,15,1.2,0.65,0.0,False
146,[[244  15]],2,1065.8455600000002,198.0764595959596,[[241  14]],241,14,1.2,0.65,0.0,False
147,[[241  14]],0,1123.7172799999998,212.55016161616157,[[254  17]],254,17,1.2,0.7,0.0,False
148,[[254  17]],0,1307.5293000000001,234.9254166666667,[[269  15]],269,15,1.2,0.75,0.0,False
149,[[269  15]],0,1466.9897600000002,255.05931313131313,[[249  17]],249,17,1.2,0.8,0.0,False
150,[[249  17]],2,1363.3785599999999,245.31042424242423,[[249  19]],249,19,1.2,0.8,0.0,False
151,[[249  19]],0,1434.42192,248.44721212121206,[[264  14]],264,14,1.2,0.85,0.0,False
