,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],2,0.0,0.0,[[0 0]],0,0,1.2,0.1,0.0,True
1,[[0 0]],0,27.325139999999998,27.325139999999998,[[26  1]],26,1,1.2,0.15,0.0,True
2,[[26  1]],1,28.29596,28.29596,[[37  2]],37,2,1.2,0.1,0.0,True
3,[[37  2]],0,56.24046,56.24046,[[57  7]],57,7,1.2,0.15,0.0,True
4,[[57  7]],1,54.82996,54.82996,[[71  5]],71,5,1.2,0.1,0.0,True
5,[[71  5]],1,31.205400000000004,31.205400000000004,[[87  6]],87,6,1.2,0.05,0.0,True
6,[[87  6]],0,77.02744,77.02744,[[104  11]],104,11,1.2,0.1,0.0,True
7,[[104  11]],1,33.05326,33.05326,[[91 12]],91,12,1.2,0.05,0.0,True
8,[[91 12]],0,78.2504,78.2504,[[103  16]],103,16,1.2,0.1,0.0,True
9,[[103  16]],0,133.43525999999997,133.43525999999997,[[120  15]],120,15,1.2,0.15,0.0,True
10,[[120  15]],1,94.775,94.775,[[127  17]],127,17,1.2,0.1,0.0,True
11,[[127  17]],2,113.64704,113.64704,[[145  16]],145,16,1.2,0.1,0.0,True
12,[[145  16]],1,55.72398,55.72398,[[150  20]],150,20,1.2,0.05,0.0,True
13,[[150  20]],0,96.81936,96.81936,[[132   9]],132,9,1.2,0.1,0.0,True
14,[[132   9]],2,112.74572,112.74572,[[142  19]],142,19,1.2,0.1,0.0,True
15,[[142  19]],1,56.47062,56.47062,[[162  14]],162,14,1.2,0.05,0.0,True
16,[[162  14]],0,107.51096000000001,107.51096000000001,[[148  19]],148,19,1.2,0.1,0.0,True
17,[[148  19]],2,106.86108,106.86108,[[144  14]],144,14,1.2,0.1,0.0,True
18,[[144  14]],2,120.43860000000001,120.43860000000001,[[156  16]],156,16,1.2,0.1,0.0,True
19,[[156  16]],2,110.11264,110.11264,[[149  12]],149,12,1.2,0.1,0.0,True
20,[[149  12]],0,179.82768,179.82768,[[160  15]],160,15,1.2,0.15,0.0,True
21,[[160  15]],1,103.10968000000001,103.10968000000001,[[143  13]],143,13,1.2,0.1,0.0,True
22,[[143  13]],1,56.54562,56.54562,[[150  23]],150,23,1.2,0.05,0.0,True
23,[[150  23]],0,118.93804,118.93804,[[158  15]],158,15,1.2,0.1,0.0,True
24,[[158  15]],1,57.935900000000004,57.935900000000004,[[170  14]],170,14,1.2,0.05,0.0,True
25,[[170  14]],0,121.86836,121.86836,[[166  18]],166,18,1.2,0.1,0.0,True
26,[[166  18]],0,181.09866,181.09866,[[169  12]],169,12,1.2,0.15,0.0,True
27,[[169  12]],2,160.60985999999997,160.60985999999997,[[138   9]],138,9,1.2,0.15,0.0,True
28,[[138   9]],0,241.70616,241.70616,[[168  15]],168,15,1.2,0.2,0.0,True
29,[[168  15]],1,179.54484,179.54484,[[164  12]],164,12,1.2,0.15,0.0,True
30,[[164  12]],0,238.67856,238.67856,[[159  16]],159,16,1.2,0.2,0.0,True
31,[[159  16]],0,286.7183,286.7183,[[157  10]],157,10,1.2,0.25,0.0,True
32,[[157  10]],0,364.89275999999995,364.89275999999995,[[165  12]],165,12,1.2,0.3,0.0,True
33,[[165  12]],0,472.55907999999994,472.55907999999994,[[184  13]],184,13,1.2,0.35,0.0,True
34,[[184  13]],1,351.49595999999997,351.49595999999997,[[157  19]],157,19,1.2,0.3,0.0,True
35,[[157  19]],0,418.38482,418.38482,[[164  11]],164,11,1.2,0.35,0.0,True
36,[[164  11]],2,415.84689999999995,415.84689999999995,[[163  10]],163,10,1.2,0.35,0.0,True
37,[[163  10]],1,343.65995999999996,343.65995999999996,[[150  12]],150,12,1.2,0.3,0.0,True
38,[[150  12]],0,341.7134,341.7134,[[134  17]],134,17,1.2,0.35,0.0,True
39,[[134  17]],0,450.79232,450.79232,[[157  14]],157,14,1.2,0.4,0.0,True
40,[[157  14]],0,534.1816799999999,534.1816799999999,[[164  13]],164,13,1.2,0.45,0.0,True
41,[[164  13]],0,623.9960000000001,623.9960000000001,[[170  20]],170,20,1.2,0.5,0.0,True
42,[[170  20]],2,562.7968,562.7968,[[157  13]],157,13,1.2,0.5,0.0,True
43,[[157  13]],2,616.2044,616.2044,[[167  19]],167,19,1.2,0.5,0.0,True
