,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],2,0.0,9.000000000000002,[[16  2]],16,2,1.2,0.1,0.0,True
1,[[16  2]],2,11.917040000000002,15.5,[[32  3]],32,3,1.2,0.1,0.0,True
2,[[32  3]],2,24.360280000000003,26.500000000000004,[[56  5]],56,5,1.2,0.1,0.0,True
3,[[56  5]],1,19.0619,33.5,[[74  6]],74,6,1.2,0.05,0.0,True
4,[[74  6]],2,27.51092,51.00000000000001,[[74 13]],74,13,1.2,0.05,0.0,True
5,[[74 13]],2,25.121540000000003,43.25,[[103   7]],103,7,1.2,0.05,0.0,True
6,[[103   7]],2,40.8613,63.75,[[95 16]],95,16,1.2,0.05,0.0,True
7,[[95 16]],0,70.34692,58.24999999999999,[[123  11]],123,11,1.2,0.1,0.0,True
8,[[123  11]],2,88.91628,67.75,[[141  13]],141,13,1.2,0.1,0.0,True
9,[[141  13]],0,149.90327999999997,72.75000000000001,[[131  16]],131,16,1.2,0.15,0.0,True
10,[[131  16]],0,207.99992,92.25,[[159  21]],159,21,1.2,0.2,0.0,True
11,[[159  21]],1,169.01981999999998,72.75000000000001,[[161  13]],161,13,1.2,0.15,0.0,True
12,[[161  13]],2,168.12743999999998,77.50000000000001,[[170  14]],170,14,1.2,0.15,0.0,True
13,[[170  14]],0,245.85176,75.25,[[141  16]],141,16,1.2,0.2,0.0,True
14,[[141  16]],1,149.81634,56.75,[[137   9]],137,9,1.2,0.15,0.0,True
15,[[137   9]],1,101.02036000000001,90.0,[[170  19]],170,19,1.2,0.1,0.0,True
16,[[170  19]],2,122.5162,74.00000000000001,[[156  14]],156,14,1.2,0.1,0.0,True
17,[[156  14]],2,117.01284000000001,82.5,[[130  20]],130,20,1.2,0.1,0.0,True
18,[[130  20]],1,46.13626000000001,74.25000000000001,[[157  14]],157,14,1.2,0.05,0.0,True
19,[[157  14]],1,0.0,66.5,[[166  10]],166,10,1.2,0.0,0.0,True
20,[[166  10]],1,0.0,72.50000000000001,[[170  12]],170,12,1.2,0.0,0.0,True
21,[[170  12]],0,60.833780000000004,70.75000000000001,[[143  14]],143,14,1.2,0.05,0.0,True
22,[[143  14]],1,0.0,60.25,[[151   9]],151,9,1.2,0.0,0.0,True
23,[[151   9]],2,0.0,78.0,[[152  16]],152,16,1.2,0.0,0.0,True
24,[[152  16]],2,0.0,81.49999999999999,[[176  15]],176,15,1.2,0.0,0.0,True
25,[[176  15]],2,0.0,76.25000000000001,[[165  14]],165,14,1.2,0.0,0.0,True
26,[[165  14]],1,0.0,73.50000000000001,[[154  14]],154,14,1.2,0.0,0.0,True
27,[[154  14]],0,57.27328,74.25,[[147  15]],147,15,1.2,0.05,0.0,True
28,[[147  15]],1,0.0,79.0,[[156  16]],156,16,1.2,0.0,0.0,True
29,[[156  16]],0,57.827580000000005,97.25,[[169  22]],169,22,1.2,0.05,0.0,True
30,[[169  22]],2,65.23858,72.50000000000001,[[170  12]],170,12,1.2,0.05,0.0,True
31,[[170  12]],1,0.0,81.0,[[164  16]],164,16,1.2,0.0,0.0,True
32,[[164  16]],2,0.0,82.25,[[159  17]],159,17,1.2,0.0,0.0,True
33,[[159  17]],0,58.90746,84.74999999999999,[[189  15]],189,15,1.2,0.05,0.0,True
34,[[189  15]],2,71.20272,92.5,[[170  20]],170,20,1.2,0.05,0.0,True
35,[[170  20]],0,125.263,84.75,[[169  17]],169,17,1.2,0.1,0.0,True
36,[[169  17]],2,128.50112000000001,88.0,[[152  20]],152,20,1.2,0.1,0.0,True
37,[[152  20]],2,109.74028000000001,79.25,[[167  15]],167,15,1.2,0.1,0.0,True
38,[[167  15]],1,60.0119,76.25000000000001,[[165  14]],165,14,1.2,0.05,0.0,True
39,[[165  14]],0,121.77936,77.75000000000001,[[171  14]],171,14,1.2,0.1,0.0,True
