,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],0,0.0,0.01125,[[25  2]],25,2,1.2,0.15,0.0,True
1,[[25  2]],2,25.632299999999997,0.0125,[[40  1]],40,1,1.2,0.15,0.0,True
2,[[40  1]],0,57.4924,0.02325,[[53  4]],53,4,1.2,0.2,0.0,True
3,[[53  4]],0,94.7416,0.035750000000000004,[[83  6]],83,6,1.2,0.25,0.0,True
4,[[83  6]],1,124.73432000000003,0.036500000000000005,[[76  7]],76,7,1.2,0.2,0.0,True
5,[[76  7]],0,132.97789999999998,0.0555,[[112  11]],112,11,1.2,0.25,0.0,True
6,[[112  11]],2,206.5829,0.06125,[[115  13]],115,13,1.2,0.25,0.0,True
7,[[115  13]],2,216.0215,0.05825,[[93 14]],93,14,1.2,0.25,0.0,True
8,[[93 14]],2,160.0956,0.06625,[[135  13]],135,13,1.2,0.25,0.0,True
9,[[135  13]],1,194.79888,0.07350000000000001,[[124  17]],124,17,1.2,0.2,0.0,True
10,[[124  17]],2,171.52840000000003,0.07325000000000001,[[133  16]],133,16,1.2,0.2,0.0,True
11,[[133  16]],2,202.40056,0.07925,[[137  18]],137,18,1.2,0.2,0.0,True
12,[[137  18]],1,148.52562,0.0695,[[158  12]],158,12,1.2,0.15,0.0,True
13,[[158  12]],2,175.02324,0.0785,[[154  16]],154,16,1.2,0.15,0.0,True
14,[[154  16]],2,161.74901999999997,0.066,[[174   9]],174,9,1.2,0.15,0.0,True
15,[[174   9]],1,128.57184,0.09175,[[147  22]],147,22,1.2,0.1,0.0,True
16,[[147  22]],0,161.67672,0.08725,[[159  19]],159,19,1.2,0.15,0.0,True
17,[[159  19]],2,168.85997999999998,0.07500000000000001,[[160  14]],160,14,1.2,0.15,0.0,True
18,[[160  14]],2,171.77195999999998,0.06625,[[155  11]],155,11,1.2,0.15,0.0,True
19,[[155  11]],2,175.76268,0.08475,[[169  17]],169,17,1.2,0.15,0.0,True
20,[[169  17]],0,255.30448,0.07925,[[157  16]],157,16,1.2,0.2,0.0,True
21,[[157  16]],0,286.9121,0.07100000000000001,[[154  13]],154,13,1.2,0.25,0.0,True
22,[[154  13]],2,270.85609999999997,0.07500000000000001,[[140  16]],140,16,1.2,0.25,0.0,True
23,[[140  16]],0,309.67787999999996,0.09475,[[159  22]],159,22,1.2,0.3,0.0,True
24,[[159  22]],1,300.11039999999997,0.06025,[[141  10]],141,10,1.2,0.25,0.0,True
25,[[141  10]],1,220.05144,0.07725000000000001,[[169  14]],169,14,1.2,0.2,0.0,True
26,[[169  14]],1,187.61321999999998,0.07225000000000001,[[139  15]],139,15,1.2,0.15,0.0,True
27,[[139  15]],2,149.92824000000002,0.0785,[[154  16]],154,16,1.2,0.15,0.0,True
28,[[154  16]],2,179.68908,0.08625,[[175  17]],175,17,1.2,0.15,0.0,True
29,[[175  17]],0,251.54271999999997,0.07225000000000001,[[169  12]],169,12,1.2,0.2,0.0,True
30,[[169  12]],0,310.24069999999995,0.08,[[150  17]],150,17,1.2,0.25,0.0,True
31,[[150  17]],0,334.19844,0.11175,[[177  27]],177,27,1.2,0.3,0.0,True
32,[[177  27]],1,333.4212,0.08,[[160  16]],160,16,1.2,0.25,0.0,True
33,[[160  16]],2,296.8718,0.07025,[[141  14]],141,14,1.2,0.25,0.0,True
34,[[141  14]],2,258.11519999999996,0.081,[[164  16]],164,16,1.2,0.25,0.0,True
