hex_address,sim1,sim2,sim3,sim4,sim5,ave_max
871968240ffffff,2.0,0.0,1.0,1.0,0.0,0.8
871968241ffffff,2.0,3.0,3.0,3.0,3.0,2.8
871968244ffffff,2.0,4.0,2.0,1.0,2.0,2.2
871968245ffffff,1.0,1.0,1.0,2.0,1.0,1.2
871968248ffffff,2.0,2.0,3.0,3.0,1.0,2.2
871968249ffffff,6.0,5.0,5.0,7.0,5.0,5.6
87196824cffffff,3.0,4.0,3.0,4.0,3.0,3.4
87196824dffffff,7.0,7.0,9.0,11.0,7.0,8.2
871968263ffffff,0.0,0.0,0.0,0.0,0.0,0.0
871968268ffffff,4.0,2.0,4.0,3.0,2.0,3.0
871968269ffffff,12.0,11.0,12.0,11.0,11.0,11.4
87196826affffff,3.0,2.0,2.0,3.0,2.0,2.4
87196826bffffff,13.0,10.0,11.0,11.0,12.0,11.4
87196826cffffff,2.0,2.0,0.0,1.0,2.0,1.4
87196826dffffff,5.0,5.0,4.0,5.0,4.0,4.6
87196826effffff,1.0,1.0,0.0,1.0,0.0,0.6
871969504ffffff,8.0,9.0,12.0,6.0,7.0,8.4
871969506ffffff,4.0,3.0,4.0,3.0,6.0,4.0
871969514ffffff,2.0,3.0,2.0,2.0,2.0,2.2
871969520ffffff,11.0,11.0,10.0,14.0,9.0,11.0
871969521ffffff,9.0,8.0,9.0,9.0,8.0,8.6
871969522ffffff,16.0,17.0,20.0,17.0,18.0,17.6
871969523ffffff,5.0,4.0,4.0,5.0,4.0,4.4
871969524ffffff,17.0,14.0,14.0,15.0,24.0,16.8
871969525ffffff,8.0,8.0,6.0,8.0,7.0,7.4
871969526ffffff,25.0,16.0,17.0,16.0,17.0,18.2
871969530ffffff,19.0,16.0,16.0,18.0,19.0,17.6
871969531ffffff,9.0,10.0,9.0,10.0,9.0,9.4
871969532ffffff,13.0,12.0,16.0,15.0,14.0,14.0
871969533ffffff,5.0,2.0,3.0,4.0,4.0,3.6
871969534ffffff,26.0,24.0,24.0,23.0,22.0,23.8
871969535ffffff,19.0,21.0,18.0,19.0,19.0,19.2
871969536ffffff,14.0,16.0,15.0,12.0,15.0,14.4
871969c81ffffff,0.0,1.0,1.0,0.0,1.0,0.6
871969c83ffffff,4.0,4.0,3.0,2.0,2.0,3.0
871969c88ffffff,2.0,2.0,2.0,2.0,1.0,1.8
871969c89ffffff,2.0,1.0,1.0,1.0,1.0,1.2
871969c8affffff,7.0,8.0,7.0,7.0,6.0,7.0
871969c8bffffff,2.0,2.0,4.0,3.0,2.0,2.6
871969c8cffffff,0.0,1.0,1.0,1.0,0.0,0.6
871969c8dffffff,0.0,1.0,0.0,1.0,0.0,0.4
871969c8effffff,2.0,1.0,1.0,1.0,1.0,1.2
871969c91ffffff,5.0,5.0,6.0,4.0,5.0,5.0
871969c93ffffff,2.0,3.0,4.0,2.0,5.0,3.2
871969c98ffffff,13.0,8.0,10.0,6.0,10.0,9.4
871969c99ffffff,8.0,9.0,9.0,9.0,10.0,9.0
871969c9affffff,12.0,11.0,9.0,11.0,10.0,10.6
871969c9bffffff,21.0,17.0,18.0,24.0,20.0,20.0
871969c9cffffff,8.0,10.0,10.0,8.0,10.0,9.2
871969c9dffffff,11.0,11.0,13.0,11.0,12.0,11.6
871969c9effffff,6.0,6.0,6.0,7.0,10.0,7.0
871969cabffffff,1.0,1.0,1.0,2.0,1.0,1.2
871969cd0ffffff,0.0,0.0,0.0,0.0,0.0,0.0
871969cd2ffffff,0.0,0.0,0.0,0.0,0.0,0.0
871969cd6ffffff,0.0,0.0,0.0,0.0,0.0,0.0
