,hex_address,value
0,871969534ffffff,370.6939
1,871969c8bffffff,344.3595
2,871969c9bffffff,360.08945
3,871969526ffffff,359.48812499999997
4,871969522ffffff,367.10335000000003
5,871969531ffffff,360.3637
6,871969535ffffff,365.43771666666663
7,871969c9effffff,344.334
8,871969536ffffff,359.30375999999995
9,871968269ffffff,372.75975
10,871969c8affffff,377.1888
11,871969504ffffff,358.2366
12,871969533ffffff,380.7855
13,871968249ffffff,406.50780000000003
14,871969524ffffff,372.64750000000004
15,871969532ffffff,361.7953
16,871969c9affffff,366.12359999999995
17,87196826bffffff,365.57280000000003
18,87196824dffffff,343.8165
19,871969c9dffffff,355.5532
20,871969520ffffff,398.5947
21,871969c98ffffff,341.78445
22,871969530ffffff,402.7641
23,871968268ffffff,0.0
24,87196826affffff,0.0
25,871969525ffffff,0.0
26,871968244ffffff,0.0
27,871969506ffffff,0.0
28,871968263ffffff,0.0
29,871968240ffffff,0.0
30,871969c8cffffff,0.0
31,871969c83ffffff,0.0
32,87196824cffffff,0.0
33,871969cabffffff,0.0
34,871969c88ffffff,0.0
35,871969c89ffffff,0.0
36,871968248ffffff,0.0
37,871969cd6ffffff,0.0
38,871968245ffffff,0.0
39,87196826cffffff,0.0
40,871969c8dffffff,0.0
41,87196826effffff,0.0
42,871968241ffffff,0.0
43,871969514ffffff,0.0
44,871969c93ffffff,0.0
45,871969cd0ffffff,0.0
46,871969521ffffff,0.0
47,871969cd2ffffff,0.0
48,871969c81ffffff,0.0
49,871969c8effffff,0.0
50,871969523ffffff,0.0
51,871969c9cffffff,0.0
52,87196826dffffff,0.0
53,871969c91ffffff,0.0
54,871969c99ffffff,0.0
