,days,profit,profit_alt,revenue,cost
0,0,0.0,0.0,0.0,0
1,1,0.0,0.0,0.0,0
2,2,0.0,0.0,0.0,0
3,3,0.0,0.0,0.0,0
4,4,0.0,0.0,0.0,0
5,5,0.0,0.0,0.0,0
6,6,0.0,0.0,0.0,0
7,7,0.0,0.0,0.0,0
8,8,0.0,0.0,0.0,0
9,9,0.0,0.0,0.0,0
10,10,0.0,0.0,0.0,0
11,11,0.0,0.0,0.0,0
12,12,0.0,0.0,0.0,0
13,13,0.0,0.0,0.0,0
14,14,0.0,0.0,0.0,0
15,15,0.0,0.0,0.0,0
16,16,0.0,0.0,0.0,0
17,17,0.0,0.0,0.0,0
18,18,0.0,0.0,0.0,0
19,19,0.0,0.0,0.0,0
20,20,0.0,0.0,0.0,0
21,21,0.0,0.0,0.0,0
22,22,0.0,0.0,0.0,0
23,23,0.0,0.0,0.0,0
24,24,0.0,0.0,0.0,0
25,25,0.0,0.0,0.0,0
26,26,0.0,0.0,0.0,0
27,27,0.0,0.0,0.0,0
28,28,0.0,0.0,0.0,0
29,29,0.0,0.0,0.0,0
30,30,0.0,0.0,0.0,0
31,31,0.0,0.0,0.0,0
32,32,0.0,0.0,0.0,0
33,33,0.0,0.0,0.0,0
34,34,0.0,0.0,0.0,0
35,35,0.0,0.0,0.0,0
36,36,0.0,0.0,0.0,0
37,37,0.0,0.0,0.0,0
38,38,0.0,0.0,0.0,0
39,39,0.0,0.0,0.0,0
40,40,0.0,0.0,0.0,0
41,41,0.0,0.0,0.0,0
42,42,0.0,0.0,0.0,0
43,43,0.0,0.0,0.0,0
44,44,0.0,0.0,0.0,0
45,45,0.0,0.0,0.0,0
46,46,0.0,0.0,0.0,0
47,47,0.0,0.0,0.0,0
48,48,0.0,0.0,0.0,0
49,49,0.0,0.0,0.0,0
50,50,0.0,0.0,0.0,0
51,51,-1161.92468,-1100.0,-61.92468000000001,-1100
52,52,-2398.1098,-2200.0,-198.1098,-2200
53,53,-3693.4237200000002,-3300.0,-393.42372,-3300
54,54,-5050.2212,-4400.0,-650.2212000000001,-4400
55,55,-6497.36944,-5500.0,-997.3694400000002,-5500
56,56,-7978.720200000001,-6600.0,-1378.7202000000002,-6600
57,57,-9492.314,-7700.0,-1792.3140000000003,-7700
58,58,-10987.76332,-8800.0,-2187.7633200000005,-8800
59,59,-12491.09928,-9900.0,-2591.0992800000004,-9900
60,60,-14108.093,-11000.0,-3108.0930000000003,-11000
61,61,-15679.69116,-12100.0,-3579.6911600000003,-12100
62,62,-17285.354,-13200.0,-4085.3540000000003,-13200
63,63,-18851.08316,-14300.0,-4551.08316,-14300
64,64,-20401.295,-15400.0,-5001.295,-15400
65,65,-22011.01124,-16500.0,-5511.01124,-16500
66,66,-23643.88232,-17600.0,-6043.88232,-17600
67,67,-25264.0322,-18700.0,-6564.0322,-18700
68,68,-26864.80156,-19800.0,-7064.80156,-19800
69,69,-28504.19608,-20900.0,-7604.19608,-20900
70,70,-30130.64616,-22000.0,-8130.64616,-22000
71,71,-31701.96412,-23100.0,-8601.96412,-23100
72,72,-33291.1284,-24200.0,-9091.128400000001,-24200
73,73,-34859.31384,-25300.0,-9559.31384,-25300
74,74,-36505.171800000004,-26400.0,-10105.1718,-26400
75,75,-38081.008440000005,-27500.0,-10581.00844,-27500
76,76,-39765.40944,-28600.0,-11165.40944,-28600
77,77,-41367.897520000006,-29700.0,-11667.897519999999,-29700
78,78,-42991.76196,-30800.0,-12191.761959999998,-30800
79,79,-44591.988520000006,-31900.0,-12691.988519999999,-31900
80,80,-46249.78192000001,-33000.0,-13249.78192,-33000
81,81,-47814.16460000001,-34100.0,-13714.1646,-34100
82,82,-49404.12324000001,-35200.0,-14204.12324,-35200
83,83,-50957.40944000001,-36300.0,-14657.409440000001,-36300
84,84,-52537.25964000001,-37400.0,-15137.259640000002,-37400
85,85,-54149.86556000001,-38500.0,-15649.865560000002,-38500
86,86,-55769.46036000001,-39600.0,-16169.460360000003,-39600
87,87,-57327.419640000015,-40700.0,-16627.419640000004,-40700
88,88,-58862.293520000014,-41800.0,-17062.293520000003,-41800
89,89,-60354.02368000001,-42900.0,-17454.023680000002,-42900
90,90,-61852.101600000016,-44000.0,-17852.1016,-44000
91,91,-63348.90828000002,-45100.0,-18248.908280000003,-45100
92,92,-64879.89644000002,-46200.0,-18679.896440000004,-46200
93,93,-66367.47004000001,-47300.0,-19067.470040000004,-47300
94,94,-67865.79220000001,-48400.0,-19465.792200000004,-48400
95,95,-69338.31952,-49500.0,-19838.319520000005,-49500
96,96,-70814.56644000001,-50600.0,-20214.566440000006,-50600
