hex_address,sim1,sim2,sim3,sim4,sim5,ave_max
871968240ffffff,2.0,0.0,1.0,1.0,0.0,0.8
871968241ffffff,4.0,3.0,4.0,3.0,4.0,3.6
871968244ffffff,2.0,4.0,2.0,2.0,2.0,2.4
871968245ffffff,1.0,1.0,2.0,2.0,1.0,1.4
871968248ffffff,2.0,4.0,3.0,3.0,2.0,2.8
871968249ffffff,6.0,8.0,8.0,9.0,9.0,8.0
87196824cffffff,3.0,4.0,3.0,4.0,4.0,3.6
87196824dffffff,11.0,14.0,11.0,10.0,11.0,11.4
871968263ffffff,0.0,0.0,0.0,0.0,0.0,0.0
871968268ffffff,4.0,3.0,3.0,3.0,3.0,3.2
871968269ffffff,14.0,14.0,21.0,22.0,15.0,17.2
87196826affffff,2.0,2.0,2.0,3.0,2.0,2.2
87196826bffffff,22.0,17.0,17.0,17.0,22.0,19.0
87196826cffffff,2.0,2.0,0.0,2.0,2.0,1.6
87196826dffffff,7.0,6.0,6.0,8.0,9.0,7.2
87196826effffff,1.0,1.0,0.0,1.0,0.0,0.6
871969504ffffff,12.0,13.0,9.0,8.0,11.0,10.6
871969506ffffff,8.0,6.0,7.0,4.0,10.0,7.0
871969514ffffff,2.0,3.0,2.0,2.0,3.0,2.4
871969520ffffff,16.0,14.0,14.0,19.0,12.0,15.0
871969521ffffff,9.0,13.0,13.0,11.0,11.0,11.4
871969522ffffff,28.0,29.0,25.0,37.0,21.0,28.0
871969523ffffff,6.0,5.0,7.0,5.0,5.0,5.6
871969524ffffff,24.0,28.0,35.0,31.0,40.0,31.6
871969525ffffff,12.0,12.0,9.0,12.0,11.0,11.2
871969526ffffff,34.0,24.0,30.0,39.0,32.0,31.8
871969530ffffff,29.0,26.0,29.0,26.0,25.0,27.0
871969531ffffff,13.0,14.0,13.0,12.0,12.0,12.8
871969532ffffff,21.0,16.0,19.0,16.0,19.0,18.2
871969533ffffff,6.0,4.0,4.0,4.0,7.0,5.0
871969534ffffff,46.0,37.0,44.0,37.0,38.0,40.4
871969535ffffff,24.0,25.0,38.0,38.0,34.0,31.8
871969536ffffff,26.0,19.0,26.0,22.0,25.0,23.6
871969c81ffffff,0.0,1.0,1.0,0.0,1.0,0.6
871969c83ffffff,4.0,4.0,4.0,3.0,3.0,3.6
871969c88ffffff,2.0,2.0,2.0,2.0,2.0,2.0
871969c89ffffff,2.0,1.0,1.0,1.0,2.0,1.4
871969c8affffff,13.0,7.0,10.0,12.0,8.0,10.0
871969c8bffffff,3.0,4.0,4.0,4.0,3.0,3.6
871969c8cffffff,0.0,1.0,1.0,1.0,0.0,0.6
871969c8dffffff,0.0,1.0,0.0,1.0,0.0,0.4
871969c8effffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c91ffffff,5.0,8.0,7.0,5.0,5.0,6.0
871969c93ffffff,4.0,4.0,5.0,3.0,5.0,4.2
871969c98ffffff,13.0,16.0,13.0,9.0,11.0,12.4
871969c99ffffff,12.0,13.0,14.0,9.0,14.0,12.4
871969c9affffff,21.0,17.0,18.0,21.0,19.0,19.2
871969c9bffffff,33.0,34.0,28.0,32.0,35.0,32.4
871969c9cffffff,11.0,12.0,15.0,14.0,12.0,12.8
871969c9dffffff,15.0,13.0,18.0,15.0,16.0,15.4
871969c9effffff,7.0,9.0,10.0,10.0,15.0,10.2
871969cabffffff,2.0,2.0,1.0,2.0,1.0,1.6
871969cd0ffffff,0.0,0.0,0.0,0.0,0.0,0.0
871969cd2ffffff,0.0,0.0,0.0,0.0,0.0,0.0
871969cd6ffffff,0.0,0.0,0.0,0.0,0.0,0.0
