hex_address,sim1,sim2,sim3,sim4,sim5,ave_max
861968247ffffff,2.0,4.0,2.0,2.0,2.0,2.4
86196824fffffff,12.0,11.0,13.0,11.0,11.0,11.6
861968267ffffff,1.0,0.0,0.0,0.0,0.0,0.2
86196826fffffff,25.0,20.0,17.0,17.0,18.0,19.4
861969507ffffff,11.0,11.0,12.0,6.0,9.0,9.8
861969517ffffff,1.0,2.0,2.0,2.0,2.0,1.8
861969527ffffff,56.0,47.0,56.0,45.0,61.0,53.0
861969537ffffff,64.0,59.0,58.0,62.0,58.0,60.2
861969c87ffffff,4.0,4.0,2.0,2.0,2.0,2.8
861969c8fffffff,9.0,8.0,7.0,8.0,7.0,7.8
861969c97ffffff,4.0,6.0,5.0,7.0,5.0,5.4
861969c9fffffff,49.0,44.0,43.0,43.0,44.0,44.6
861969cafffffff,1.0,0.0,1.0,2.0,0.0,0.8
861969cd7ffffff,0.0,0.0,0.0,0.0,0.0,0.0
