,id,h3_address,D/S,time
0,3611,871969c9bffffff,1.0,1900-01-01 08:01:00
1,8408,871969524ffffff,5.0,1900-01-01 08:01:00
2,8804,871969535ffffff,3.0,1900-01-01 08:01:00
3,929,871969524ffffff,4.0,1900-01-01 08:01:00
4,622,871969522ffffff,2.0,1900-01-01 08:01:00
5,4462,871969535ffffff,2.0,1900-01-01 08:01:00
6,4325,871969522ffffff,1.0,1900-01-01 08:01:00
7,8257,871969524ffffff,3.0,1900-01-01 08:01:00
8,394,871969536ffffff,1.0,1900-01-01 08:01:00
9,1490,871969534ffffff,1.0,1900-01-01 08:01:00
10,9401,871968269ffffff,1.0,1900-01-01 08:01:00
11,7705,871969535ffffff,1.0,1900-01-01 08:01:00
12,5933,871969520ffffff,1.0,1900-01-01 08:01:00
13,9287,871969524ffffff,2.0,1900-01-01 08:01:00
14,5214,871969521ffffff,1.0,1900-01-01 08:01:00
15,6208,871969c98ffffff,2.0,1900-01-01 08:01:00
16,1188,87196824cffffff,1.0,1900-01-01 08:01:00
17,777,87196826dffffff,1.0,1900-01-01 08:01:00
18,3196,87196824dffffff,1.0,1900-01-01 08:01:00
19,9873,871969524ffffff,1.0,1900-01-01 08:01:00
20,7811,871969c98ffffff,1.0,1900-01-01 08:01:00
21,7247,871969c9dffffff,2.0,1900-01-01 08:01:00
22,2527,871969c9dffffff,1.0,1900-01-01 08:01:00
23,622,871969522ffffff,0.2,1900-01-01 08:01:00
24,1490,871969534ffffff,0.2,1900-01-01 08:01:00
25,1188,87196824cffffff,1.0,1900-01-01 08:01:00
26,3196,87196824dffffff,1.0,1900-01-01 08:01:00
27,196,871969520ffffff,0.5,1900-01-01 08:02:00
28,551,871969524ffffff,0.3333333333333333,1900-01-01 08:02:00
29,799,87196824dffffff,1.0,1900-01-01 08:02:00
30,1062,871969526ffffff,0.16666666666666666,1900-01-01 08:02:00
31,1219,871969534ffffff,0.2,1900-01-01 08:02:00
32,1992,871969c98ffffff,0.5,1900-01-01 08:02:00
33,2348,871969522ffffff,0.2,1900-01-01 08:02:00
34,3043,871969c91ffffff,1.0,1900-01-01 08:02:00
35,3181,871969c91ffffff,1.0,1900-01-01 08:02:00
36,3842,87196824dffffff,1.0,1900-01-01 08:02:00
37,3881,871969c9cffffff,1.0,1900-01-01 08:02:00
38,3901,871969532ffffff,0.5,1900-01-01 08:02:00
39,4039,871969c98ffffff,1.0,1900-01-01 08:02:00
40,4872,871969522ffffff,0.25,1900-01-01 08:02:00
41,4971,871969534ffffff,0.2,1900-01-01 08:02:00
42,5740,871969526ffffff,0.2,1900-01-01 08:02:00
43,6067,871969536ffffff,0.3333333333333333,1900-01-01 08:02:00
44,6884,871969c9bffffff,0.1,1900-01-01 08:02:00
45,7778,87196826bffffff,0.5,1900-01-01 08:02:00
46,8018,871969524ffffff,0.5,1900-01-01 08:02:00
47,9535,871969c9cffffff,1.0,1900-01-01 08:02:00
48,1219,871969534ffffff,0.2,1900-01-01 08:02:00
49,4039,871969c98ffffff,1.0,1900-01-01 08:02:00
50,4971,871969534ffffff,0.25,1900-01-01 08:02:00
51,280,871969530ffffff,1.0,1900-01-01 08:03:00
52,611,871969534ffffff,0.25,1900-01-01 08:03:00
53,695,871969526ffffff,0.25,1900-01-01 08:03:00
54,1003,871969526ffffff,0.3333333333333333,1900-01-01 08:03:00
55,2687,871968269ffffff,1.0,1900-01-01 08:03:00
56,2805,871969534ffffff,0.3333333333333333,1900-01-01 08:03:00
57,3551,871969c9affffff,1.0,1900-01-01 08:03:00
58,3858,871969526ffffff,0.3333333333333333,1900-01-01 08:03:00
59,4538,871969532ffffff,1.0,1900-01-01 08:03:00
60,4669,871969534ffffff,0.3333333333333333,1900-01-01 08:03:00
61,5161,871969522ffffff,0.5,1900-01-01 08:03:00
62,5201,871969536ffffff,0.5,1900-01-01 08:03:00
63,5928,871969536ffffff,1.0,1900-01-01 08:03:00
64,6864,871969522ffffff,1.0,1900-01-01 08:03:00
65,7999,871969522ffffff,1.0,1900-01-01 08:03:00
66,9494,87196824dffffff,1.0,1900-01-01 08:03:00
67,4039,871969c98ffffff,1.0,1900-01-01 08:02:00
68,5928,871969536ffffff,1.0,1900-01-01 08:03:00
69,1003,871969526ffffff,1.0,1900-01-01 08:03:00
70,2687,871968269ffffff,1.0,1900-01-01 08:03:00
71,107,871969535ffffff,0.07692307692307693,1900-01-01 08:04:00
72,788,871969530ffffff,1.0,1900-01-01 08:04:00
73,1687,871969530ffffff,1.0,1900-01-01 08:04:00
74,1979,871969504ffffff,0.5,1900-01-01 08:04:00
75,2498,871969c9affffff,1.0,1900-01-01 08:04:00
76,2809,871969524ffffff,1.0,1900-01-01 08:04:00
77,3325,871969520ffffff,1.0,1900-01-01 08:04:00
78,3380,871969c9affffff,1.0,1900-01-01 08:04:00
79,3600,87196826bffffff,1.0,1900-01-01 08:04:00
80,3831,871969524ffffff,1.0,1900-01-01 08:04:00
81,4042,871969534ffffff,1.0,1900-01-01 08:04:00
82,4498,871969520ffffff,1.0,1900-01-01 08:04:00
83,4618,871969522ffffff,1.0,1900-01-01 08:04:00
84,5060,871969534ffffff,1.0,1900-01-01 08:04:00
85,5302,871969530ffffff,1.0,1900-01-01 08:04:00
86,5386,871969534ffffff,1.0,1900-01-01 08:04:00
87,5461,871969522ffffff,1.0,1900-01-01 08:04:00
88,5776,871969520ffffff,1.0,1900-01-01 08:04:00
89,6024,871969535ffffff,0.14285714285714285,1900-01-01 08:04:00
90,6077,871969c98ffffff,1.0,1900-01-01 08:04:00
91,6102,871969c9bffffff,0.25,1900-01-01 08:04:00
92,7181,871969c9affffff,1.0,1900-01-01 08:04:00
93,7421,871969524ffffff,1.0,1900-01-01 08:04:00
94,7941,871969c9bffffff,1.0,1900-01-01 08:04:00
95,8037,871969521ffffff,1.0,1900-01-01 08:04:00
96,8291,871969504ffffff,1.0,1900-01-01 08:04:00
97,8737,871969526ffffff,1.0,1900-01-01 08:04:00
98,9161,871969534ffffff,1.0,1900-01-01 08:04:00
99,9303,87196824dffffff,1.0,1900-01-01 08:04:00
100,9335,871969532ffffff,1.0,1900-01-01 08:04:00
101,3600,87196826bffffff,1.0,1900-01-01 08:04:00
102,5302,871969530ffffff,1.0,1900-01-01 08:04:00
103,5386,871969534ffffff,1.0,1900-01-01 08:04:00
104,5776,871969520ffffff,1.0,1900-01-01 08:04:00
105,7941,871969c9bffffff,1.0,1900-01-01 08:04:00
106,767,871969c9bffffff,1.0,1900-01-01 08:05:00
107,1913,871969531ffffff,0.16666666666666666,1900-01-01 08:05:00
108,2481,87196824dffffff,1.0,1900-01-01 08:05:00
109,2545,871968269ffffff,1.0,1900-01-01 08:05:00
110,3040,871969530ffffff,1.0,1900-01-01 08:05:00
111,3861,871969c9bffffff,1.0,1900-01-01 08:05:00
112,4233,871969521ffffff,1.0,1900-01-01 08:05:00
113,4344,871969530ffffff,1.0,1900-01-01 08:05:00
114,4586,871969c98ffffff,1.0,1900-01-01 08:05:00
115,4740,871969c9bffffff,1.0,1900-01-01 08:05:00
116,8022,871969c9bffffff,3.0,1900-01-01 08:05:00
117,5567,871969504ffffff,1.0,1900-01-01 08:05:00
118,7500,871969531ffffff,1.0,1900-01-01 08:05:00
119,7438,871969c9affffff,5.0,1900-01-01 08:09:00
120,7745,871969520ffffff,2.0,1900-01-01 08:05:00
121,6667,871969526ffffff,12.0,1900-01-01 08:08:00
122,1004,871969c9affffff,5.0,1900-01-01 08:06:00
123,9563,871968269ffffff,7.0,1900-01-01 08:07:00
124,3955,871969522ffffff,5.0,1900-01-01 08:09:00
125,3804,871969c9bffffff,13.0,1900-01-01 08:10:00
126,6882,871969526ffffff,18.0,1900-01-01 08:06:00
127,767,871969c9bffffff,12.0,1900-01-01 08:05:00
128,6658,871969524ffffff,16.0,1900-01-01 08:11:00
129,834,871969531ffffff,9.0,1900-01-01 08:11:00
130,3963,871969522ffffff,5.0,1900-01-01 08:07:00
131,5136,871969522ffffff,4.0,1900-01-01 08:10:00
132,1384,871969531ffffff,9.0,1900-01-01 08:06:00
133,5054,871969526ffffff,17.0,1900-01-01 08:07:00
134,5548,871969526ffffff,16.0,1900-01-01 08:08:00
135,1860,871969521ffffff,7.0,1900-01-01 08:10:00
136,2117,871969531ffffff,11.0,1900-01-01 08:08:00
137,7438,871969c9affffff,4.0,1900-01-01 08:09:00
138,8080,871969c9bffffff,12.0,1900-01-01 08:09:00
139,8987,871969521ffffff,6.0,1900-01-01 08:10:00
140,4740,871969c9bffffff,13.0,1900-01-01 08:05:00
141,8877,871969520ffffff,5.0,1900-01-01 08:05:00
142,7101,871969522ffffff,6.0,1900-01-01 08:13:00
143,5902,871969522ffffff,5.0,1900-01-01 08:11:00
144,2684,871969c9bffffff,13.0,1900-01-01 08:13:00
145,6526,871969522ffffff,8.0,1900-01-01 08:14:00
146,3690,871969531ffffff,10.0,1900-01-01 08:11:00
147,3663,871969522ffffff,7.0,1900-01-01 08:14:00
148,5256,871969531ffffff,10.0,1900-01-01 08:12:00
149,6580,871969526ffffff,25.0,1900-01-01 08:10:00
150,5759,871969c9bffffff,11.0,1900-01-01 08:15:00
151,5457,87196826bffffff,11.0,1900-01-01 08:08:00
152,1234,871969535ffffff,25.0,1900-01-01 08:10:00
153,3980,871969530ffffff,20.0,1900-01-01 08:11:00
154,422,871969c9bffffff,11.0,1900-01-01 08:10:00
155,5857,871969531ffffff,9.0,1900-01-01 08:12:00
156,1783,871969534ffffff,33.0,1900-01-01 08:16:00
157,6016,871969536ffffff,16.0,1900-01-01 08:07:00
158,6588,871969531ffffff,8.0,1900-01-01 08:10:00
159,2375,871969531ffffff,7.0,1900-01-01 08:10:00
160,5048,871969535ffffff,28.0,1900-01-01 08:14:00
161,3963,871969522ffffff,6.0,1900-01-01 08:07:00
162,6356,871969530ffffff,18.0,1900-01-01 08:08:00
163,6170,871969530ffffff,17.0,1900-01-01 08:14:00
164,4404,871969534ffffff,31.0,1900-01-01 08:11:00
165,1118,871969536ffffff,15.0,1900-01-01 08:14:00
166,7196,871969535ffffff,27.0,1900-01-01 08:10:00
167,4551,871969522ffffff,8.0,1900-01-01 08:12:00
168,159,871969526ffffff,31.0,1900-01-01 08:15:00
169,9570,871969c9affffff,4.0,1900-01-01 08:13:00
170,785,871969536ffffff,15.0,1900-01-01 08:17:00
171,4018,871969530ffffff,21.0,1900-01-01 08:13:00
172,4356,871969c9bffffff,15.0,1900-01-01 08:08:00
173,4806,87196826dffffff,2.0,1900-01-01 08:13:00
174,1643,871969535ffffff,27.0,1900-01-01 08:08:00
175,7517,871969535ffffff,26.0,1900-01-01 08:11:00
176,834,871969531ffffff,5.0,1900-01-01 08:11:00
177,666,871969521ffffff,8.0,1900-01-01 08:17:00
178,4372,871969532ffffff,21.0,1900-01-01 08:08:00
179,7137,871969524ffffff,15.0,1900-01-01 08:11:00
180,6160,871969534ffffff,31.0,1900-01-01 08:09:00
181,5766,871969531ffffff,4.0,1900-01-01 08:08:00
182,6103,871969534ffffff,30.0,1900-01-01 08:18:00
183,5504,871969535ffffff,24.0,1900-01-01 08:17:00
184,8678,871969c9affffff,4.0,1900-01-01 08:16:00
185,6669,871969526ffffff,32.0,1900-01-01 08:11:00
186,7182,871969c9affffff,3.0,1900-01-01 08:18:00
187,4197,87196826bffffff,13.0,1900-01-01 08:12:00
188,5666,871969534ffffff,32.0,1900-01-01 08:14:00
189,801,871969526ffffff,32.0,1900-01-01 08:13:00
190,6937,871969526ffffff,27.0,1900-01-01 08:17:00
191,8139,871969534ffffff,28.0,1900-01-01 08:13:00
192,7607,871969530ffffff,23.0,1900-01-01 08:14:00
193,9218,871969530ffffff,19.0,1900-01-01 08:12:00
194,8512,871969535ffffff,19.0,1900-01-01 08:15:00
195,9406,871969535ffffff,18.0,1900-01-01 08:20:00
196,392,871969520ffffff,14.0,1900-01-01 08:16:00
197,6727,871969534ffffff,32.0,1900-01-01 08:21:00
198,8855,871969c8affffff,2.0,1900-01-01 08:13:00
199,9433,871969520ffffff,13.0,1900-01-01 08:21:00
200,8252,871969c9affffff,4.0,1900-01-01 08:16:00
201,5188,871969524ffffff,14.0,1900-01-01 08:17:00
202,4854,871969536ffffff,8.0,1900-01-01 08:20:00
203,8157,871969534ffffff,29.0,1900-01-01 08:15:00
204,7503,871969522ffffff,11.0,1900-01-01 08:20:00
205,3336,871969526ffffff,27.0,1900-01-01 08:17:00
206,2845,871969526ffffff,26.0,1900-01-01 08:20:00
207,6879,871969c9dffffff,6.0,1900-01-01 08:18:00
208,1501,871969525ffffff,5.0,1900-01-01 08:12:00
209,9104,871969524ffffff,16.0,1900-01-01 08:22:00
210,1848,871969534ffffff,30.0,1900-01-01 08:22:00
211,9732,871969521ffffff,5.0,1900-01-01 08:17:00
212,6470,871969c9bffffff,21.0,1900-01-01 08:20:00
213,2369,871969c9cffffff,4.0,1900-01-01 08:18:00
214,8135,871969534ffffff,29.0,1900-01-01 08:19:00
215,8042,871969534ffffff,28.0,1900-01-01 08:19:00
216,1564,871969535ffffff,23.0,1900-01-01 08:20:00
217,2198,871969521ffffff,5.0,1900-01-01 08:20:00
