,request_id,origin,bucket,zone,time
0,6514,46342070,rej_upto1,871969530ffffff,1900-01-01 11:01:00
1,1755,46413004,rej_upto1,871969534ffffff,1900-01-01 11:02:00
2,7263,46318948,rej_upto1,871969532ffffff,1900-01-01 11:04:00
3,6768,46344791,rej_upto1,871969535ffffff,1900-01-01 11:05:00
4,624,46414075,rej_upto1,871969c9bffffff,1900-01-01 11:06:00
5,1241,46441338,rej_upto1,871969534ffffff,1900-01-01 11:06:00
6,2163,46432573,rej_upto1,871969534ffffff,1900-01-01 11:06:00
7,5073,46400478,rej_upto1,871969536ffffff,1900-01-01 11:06:00
8,5351,7997475204,rej_upto1,87196826dffffff,1900-01-01 11:06:00
9,5996,46402592,rej_upto1,871969534ffffff,1900-01-01 11:06:00
10,6482,46372409,rej_upto1,871969535ffffff,1900-01-01 11:06:00
11,7227,46312977,rej_upto1,87196824dffffff,1900-01-01 11:06:00
12,7372,46235165,rej_upto1,871969523ffffff,1900-01-01 11:06:00
13,7447,46284136,rej_upto1,871969535ffffff,1900-01-01 11:06:00
14,7530,46340139,rej_upto1,87196824dffffff,1900-01-01 11:06:00
15,7545,46282866,rej_upto1,871969522ffffff,1900-01-01 11:06:00
16,7608,46417893,rej_upto1,871968269ffffff,1900-01-01 11:06:00
17,7751,46529327,rej_upto1,871969c9cffffff,1900-01-01 11:06:00
18,7774,46427037,rej_upto1,87196826bffffff,1900-01-01 11:06:00
19,7808,46344601,rej_upto1,87196824dffffff,1900-01-01 11:06:00
20,8449,46419192,rej_upto1,87196826bffffff,1900-01-01 11:06:00
21,8804,46397697,rej_upto1,871969536ffffff,1900-01-01 11:06:00
22,8994,46412434,rej_upto1,87196826bffffff,1900-01-01 11:06:00
23,9466,46331282,rej_upto1,871969520ffffff,1900-01-01 11:06:00
24,5351,7997475204,rej_upto1,87196826dffffff,1900-01-01 11:06:00
25,6482,46372409,rej_upto1,871969535ffffff,1900-01-01 11:06:00
26,7774,46427037,rej_upto1,87196826bffffff,1900-01-01 11:06:00
27,8804,46397697,rej_upto1,871969536ffffff,1900-01-01 11:06:00
28,313,46444862,rej_upto1,871969c99ffffff,1900-01-01 11:07:00
29,2405,46417604,rej_upto1,871969c9bffffff,1900-01-01 11:07:00
30,3292,413562329,rej_upto1,871968241ffffff,1900-01-01 11:07:00
31,5161,7223158294,rej_upto1,871969526ffffff,1900-01-01 11:07:00
32,6600,46444862,rej_upto1,871969c99ffffff,1900-01-01 11:07:00
33,3292,413562329,rej_upto1,871968241ffffff,1900-01-01 11:07:00
34,9325,7230055451,rej_upto1,871969530ffffff,1900-01-01 11:09:00
35,100,46280248,rej_upto1,871969522ffffff,1900-01-01 11:12:00
36,1766,1724634077,rej_upto1,871969532ffffff,1900-01-01 11:12:00
37,2522,46329461,rej_upto1,871969520ffffff,1900-01-01 11:12:00
38,1766,1724634077,rej_upto1,871969532ffffff,1900-01-01 11:12:00
39,2182,46347260,rej_upto1,871969534ffffff,1900-01-01 11:13:00
40,3179,3625741133,rej_upto1,87196824dffffff,1900-01-01 11:13:00
41,1766,1724634077,rej_upto1,871969532ffffff,1900-01-01 11:12:00
42,3667,46445601,rej_upto1,871969c9bffffff,1900-01-01 11:14:00
43,7582,46472993,rej_upto1,871969c9affffff,1900-01-01 11:15:00
44,7702,1069320476,rej_upto1,871969535ffffff,1900-01-01 11:16:00
45,8387,1421115811,rej_upto1,871969c9dffffff,1900-01-01 11:16:00
46,7702,1069320476,rej_upto1,871969535ffffff,1900-01-01 11:16:00
47,8387,1421115811,rej_upto1,871969c9dffffff,1900-01-01 11:16:00
48,3541,46278428,rej_upto1,871969525ffffff,1900-01-01 11:18:00
49,5116,344904554,rej_upto1,871969535ffffff,1900-01-01 11:18:00
50,5994,2298641921,rej_upto1,871969534ffffff,1900-01-01 11:18:00
51,5116,344904554,rej_upto1,871969535ffffff,1900-01-01 11:18:00
52,3897,46275510,rej_upto1,871969520ffffff,1900-01-01 11:19:00
53,4888,6103940691,rej_upto1,871969c9affffff,1900-01-01 11:19:00
54,5177,46423905,rej_upto1,871969c9bffffff,1900-01-01 11:19:00
55,5437,46503095,rej_upto1,871969c98ffffff,1900-01-01 11:19:00
56,5177,46423905,rej_upto1,871969c9bffffff,1900-01-01 11:19:00
57,3352,46410773,rej_upto1,871969c9bffffff,1900-01-01 11:20:00
58,7166,1421115840,rej_upto1,871969c9dffffff,1900-01-01 11:20:00
59,9877,46521052,rej_upto1,87196826dffffff,1900-01-01 11:20:00
60,3194,5899631539,rej_upto1,871969536ffffff,1900-01-01 11:21:00
61,4047,5024599410,rej_upto1,87196826dffffff,1900-01-01 11:21:00
62,6105,46208353,rej_upto1,871969504ffffff,1900-01-01 11:21:00
63,9104,46413804,rej_upto1,871969536ffffff,1900-01-01 11:21:00
64,4614,46317711,rej_upto1,871969532ffffff,1900-01-01 11:22:00
65,9840,46329521,rej_upto1,871969526ffffff,1900-01-01 11:22:00
66,5300,46422533,rej_upto1,871969c9bffffff,1900-01-01 11:23:00
67,6845,46380375,rej_upto1,871969c9bffffff,1900-01-01 11:23:00
68,2558,1546531955,rej_upto1,871969530ffffff,1900-01-01 11:24:00
69,3311,46267384,rej_upto1,871969533ffffff,1900-01-01 11:24:00
70,2531,46495379,rej_upto1,871969c98ffffff,1900-01-01 11:26:00
71,5366,46395233,rej_upto1,871969c9bffffff,1900-01-01 11:26:00
72,5366,46395233,rej_upto1,871969c9bffffff,1900-01-01 11:26:00
73,2255,46248533,rej_upto1,871969521ffffff,1900-01-01 11:27:00
74,4032,5139580894,rej_upto1,871969c9affffff,1900-01-01 11:28:00
75,4119,46315402,rej_upto1,871969535ffffff,1900-01-01 11:28:00
76,4851,3694043159,rej_upto1,871969535ffffff,1900-01-01 11:28:00
77,7332,6721680607,rej_upto1,871969c83ffffff,1900-01-01 11:29:00
78,2193,1278624626,rej_upto1,871969524ffffff,1900-01-01 11:30:00
79,5247,46312590,rej_upto1,871969520ffffff,1900-01-01 11:30:00
80,4315,46412002,rej_upto1,87196826bffffff,1900-01-01 11:31:00
81,6583,46277212,rej_upto1,871969532ffffff,1900-01-01 11:31:00
82,3066,2311101884,rej_upto1,871969534ffffff,1900-01-01 11:32:00
83,5476,46399374,rej_upto1,871969534ffffff,1900-01-01 11:32:00
84,7470,46276804,rej_upto1,871969531ffffff,1900-01-01 11:32:00
85,8378,46355863,rej_upto1,871969524ffffff,1900-01-01 11:32:00
86,8378,46355863,rej_upto1,871969524ffffff,1900-01-01 11:32:00
87,2632,46401293,rej_upto1,87196826bffffff,1900-01-01 11:33:00
88,6640,5002844220,rej_upto1,871969530ffffff,1900-01-01 11:33:00
89,9060,46281206,rej_upto1,871969522ffffff,1900-01-01 11:33:00
90,2632,46401293,rej_upto1,87196826bffffff,1900-01-01 11:33:00
91,511,46288230,rej_upto1,871969532ffffff,1900-01-01 11:34:00
92,1100,46553058,rej_upto1,871969c9effffff,1900-01-01 11:34:00
93,4767,6960846018,rej_upto1,871969534ffffff,1900-01-01 11:34:00
94,5155,2020614369,rej_upto1,871969c9affffff,1900-01-01 11:34:00
95,2632,46401293,rej_upto1,87196826bffffff,1900-01-01 11:33:00
96,7520,46202644,rej_upto1,871969531ffffff,1900-01-01 11:34:00
97,5155,2020614369,rej_upto1,871969c9affffff,1900-01-01 11:34:00
98,511,46288230,rej_upto1,871969532ffffff,1900-01-01 11:34:00
99,8399,46346392,rej_upto1,871969524ffffff,1900-01-01 11:34:00
100,2938,46324554,rej_upto1,871969535ffffff,1900-01-01 11:35:00
101,6115,6721680607,rej_upto1,871969c83ffffff,1900-01-01 11:35:00
102,7520,46202644,rej_upto1,871969531ffffff,1900-01-01 11:34:00
103,605,46444862,rej_upto1,871969c99ffffff,1900-01-01 11:36:00
104,8545,3773661686,rej_upto1,871969c9cffffff,1900-01-01 11:36:00
105,4871,46473413,rej_upto1,871969c9affffff,1900-01-01 11:36:00
106,4871,46473413,rej_upto1,871969c9affffff,1900-01-01 11:36:00
107,1615,46503142,rej_upto1,871969c9dffffff,1900-01-01 11:38:00
108,4530,1360212313,rej_upto1,871969526ffffff,1900-01-01 11:36:00
109,6743,46371575,rej_upto1,871969536ffffff,1900-01-01 11:38:00
110,2493,46461166,rej_upto1,871969c99ffffff,1900-01-01 11:38:00
111,976,46248529,rej_upto1,871969521ffffff,1900-01-01 11:40:00
112,186,46270368,rej_upto1,871969522ffffff,1900-01-01 11:42:00
113,485,1976785552,rej_upto1,871969531ffffff,1900-01-01 11:41:00
114,186,46270368,rej_upto1,871969522ffffff,1900-01-01 11:42:00
115,8833,46566235,rej_upto1,871969c91ffffff,1900-01-01 11:51:00
