veh,ACCEPTANCE_RATE,PROFIT,PROFIT/hour,IDLE_TIME,nREQUESTS,nRIDES,nREJECTS,DRIVING_DIST,AVE_DRIVING_DIST,DRIVING_TIME,AVE_PICKUP_DIST,AVE_TRIP_DIST,REVENUE,surge_fee,REVENUE/hour,COST,IMPOSED_DELAY,AR
1,82.5,262.512,32.814,835.0,40,33,7.0,263.04,7.970909090909092,26304.0,2.181212121212121,5.78969696969697,328.272,33,41.034,65.76,314,80-90
2,78.57142857142857,260.7265,32.5908125,697.0,42,33,9.0,260.39,7.890606060606061,26039.0,2.162727272727273,5.727878787878788,325.824,33,40.728,65.0975,633,70-80
3,86.48648648648648,240.09799999999998,30.012249999999998,512.0,37,32,5.0,262.84000000000003,8.213750000000001,26284.0,2.671875,5.541875,305.808,29,38.226,65.71000000000001,159,80-90
4,97.2972972972973,279.3365,34.9170625,799.0,37,36,1.0,260.59000000000003,7.238611111111112,26059.0,1.6255555555555554,5.6130555555555555,344.484,30,43.0605,65.14750000000001,15,90-100
5,94.11764705882352,261.736,32.717,371.0,34,32,2.0,265.84000000000003,8.307500000000001,26584.0,2.3128125,5.9946875,328.19599999999997,34,41.024499999999996,66.46000000000001,173,90-100
6,85.0,262.98199999999997,32.872749999999996,532.0,40,34,6.0,267.4,7.864705882352941,26740.0,2.4276470588235295,5.437058823529412,329.832,40,41.229,66.85,162,80-90
7,73.33333333333333,266.2325,33.2790625,538.0,45,33,12.0,261.47,7.923333333333334,26147.0,2.226363636363636,5.696969696969697,331.6,40,41.45,65.3675,758,70-80
8,85.71428571428571,253.361,31.670125,1152.0,35,30,5.0,261.42,8.714,26142.0,2.333,6.381,318.716,29,39.8395,65.355,90,80-90
9,82.05128205128204,248.14450000000002,31.018062500000003,1006.0,39,32,7.0,259.15,8.0984375,25915.0,2.423125,5.6753125,312.932,31,39.1165,64.7875,376,80-90
10,86.11111111111111,250.34500000000003,31.293125000000003,528.0,36,31,5.0,272.3,8.783870967741937,27230.0,2.724193548387097,6.0596774193548395,318.42,31,39.8025,68.075,221,80-90
11,97.05882352941177,253.502,31.68775,568.0,34,33,1.0,265.32,8.04,26532.0,2.438181818181818,5.601818181818182,319.832,32,39.979,66.33,64,90-100
12,88.37209302325581,290.52750000000003,36.315937500000004,441.0,43,38,5.0,260.61,6.858157894736842,26061.0,1.6239473684210526,5.23421052631579,355.68,41,44.46,65.1525,264,80-90
13,92.3076923076923,278.513,34.814125,730.0,39,36,3.0,262.22,7.28388888888889,26222.0,1.8425,5.4413888888888895,344.068,37,43.0085,65.555,70,90-100
14,82.05128205128204,248.565,31.070625,535.0,39,32,7.0,265.82,8.306875,26582.0,2.6553125,5.6515625,315.02,34,39.3775,66.455,183,80-90
15,85.71428571428571,239.1305,29.8913125,360.0,35,30,5.0,264.87,8.829,26487.0,2.6526666666666667,6.176333333333333,305.348,23,38.1685,66.2175,202,80-90
16,84.21052631578947,251.60249999999996,31.450312499999995,607.0,38,32,6.0,260.95,8.1546875,26095.0,2.4296875,5.7250000000000005,316.84,33,39.605,65.2375,266,80-90
17,79.06976744186046,251.81799999999998,31.477249999999998,724.0,43,34,9.0,260.04,7.648235294117647,26004.0,2.407352941176471,5.240882352941177,316.828,35,39.6035,65.01,721,70-80
18,90.2439024390244,263.12,32.89,964.0,41,37,4.0,265.52,7.176216216216216,26552.0,2.21,4.966216216216217,329.5,35,41.1875,66.38,161,90-100
19,86.48648648648648,250.014,31.25175,695.0,37,32,5.0,261.0,8.15625,26100.0,2.6025,5.55375,315.264,38,39.408,65.25,430,80-90
20,85.0,264.948,33.1185,669.0,40,34,6.0,267.04,7.854117647058824,26704.0,2.1750000000000003,5.679117647058823,331.70799999999997,32,41.463499999999996,66.76,397,80-90
21,88.57142857142857,251.5675,31.4459375,648.0,35,31,4.0,264.45,8.530645161290321,26445.0,2.5177419354838713,6.012903225806451,317.68,32,39.71,66.1125,146,80-90
22,88.88888888888889,252.071,31.508875,405.0,36,32,4.0,265.38,8.293125,26538.0,2.475,5.818125,318.416,31,39.802,66.345,116,80-90
23,88.88888888888889,261.5025,32.6878125,696.0,36,32,4.0,264.47,8.2646875,26447.0,2.285,5.9796875,327.62,34,40.9525,66.1175,114,80-90
24,85.71428571428571,253.66299999999998,31.707874999999998,520.0,35,30,5.0,265.62,8.854000000000001,26562.0,2.3243333333333336,6.529666666666667,320.068,25,40.0085,66.405,190,80-90
25,90.69767441860465,287.86049999999994,35.98256249999999,885.0,43,39,4.0,255.39000000000001,6.548461538461539,25539.0,1.5333333333333334,5.015128205128205,351.70799999999997,39,43.963499999999996,63.847500000000004,283,90-100
