====================================================================
====================================================================
New simulation started at:    2023-02-27 02:28:13.090139
Baseline: 
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost
0,0,0,-,0.1,1.2,0,True,0.0,0,0,0.0,0.0,1100.0
1,0,0,-,0.1,1.2,0,True,8.72,11,1,8.72,8.72,1100.0
2,11,1,-,0.1,1.2,0,True,7.11,11,0,7.11,7.11,1100.0
3,11,0,-,0.1,1.2,0,True,14.06,18,3,14.06,14.06,1100.0
4,18,3,-,0.1,1.2,0,True,18.04,25,4,18.04,18.04,1100.0
5,25,4,-,0.1,1.2,0,True,24.43,35,3,24.43,24.43,1100.0
6,35,3,-,0.1,1.2,0,True,29.85,37,8,29.85,29.85,1100.0
7,37,8,-,0.1,1.2,0,True,38.55,49,6,38.55,38.55,1100.0
8,49,6,-,0.1,1.2,0,True,42.02,52,3,42.02,42.02,1100.0
9,52,3,-,0.1,1.2,0,True,34.91,50,2,34.91,34.91,1100.0
10,50,2,-,0.1,1.2,0,True,38.08,52,4,38.08,38.08,1100.0
11,52,4,-,0.1,1.2,0,True,51.78,70,7,51.78,51.78,1100.0
12,70,7,-,0.1,1.2,0,True,37.36,56,1,37.36,37.36,1100.0
13,56,1,-,0.1,1.2,0,True,43.82,58,8,43.82,43.82,1100.0
14,58,8,-,0.1,1.2,0,True,44.82,58,6,44.82,44.82,1100.0
15,58,6,-,0.1,1.2,0,True,59.79,84,5,59.79,59.79,1100.0
16,84,5,-,0.1,1.2,0,True,41.18,60,5,41.18,41.18,1100.0
17,60,5,-,0.1,1.2,0,True,66.33,89,4,66.33,66.33,1100.0
18,89,4,-,0.1,1.2,0,True,44.36,57,5,44.36,44.36,1100.0
19,57,5,-,0.1,1.2,0,True,39.49,56,8,39.49,39.49,1100.0
20,56,8,-,0.1,1.2,0,True,48.6,67,6,48.6,48.6,1100.0
21,67,6,-,0.1,1.2,0,True,56.91,77,3,56.91,56.91,1100.0
22,77,3,-,0.1,1.2,0,True,48.68,66,0,48.68,48.68,1100.0
23,66,0,-,0.1,1.2,0,True,39.35,56,7,39.35,39.35,1100.0
24,56,7,-,0.1,1.2,0,True,41.76,57,6,41.76,41.76,1100.0
25,57,6,-,0.1,1.2,0,True,44.71,60,8,44.71,44.71,1100.0
26,60,8,-,0.1,1.2,0,True,48.71,65,6,48.71,48.71,1100.0
27,65,6,-,0.1,1.2,0,True,61.58,87,8,61.58,61.58,1100.0
28,87,8,-,0.1,1.2,0,True,39.35,54,4,39.35,39.35,1100.0
29,54,4,-,0.1,1.2,0,True,44.73,66,6,44.73,44.73,1100.0
30,66,6,-,0.1,1.2,0,True,33.69,50,5,33.69,33.69,1100.0
31,50,5,-,0.1,1.2,0,True,58.47,81,7,58.47,58.47,1100.0
32,81,7,-,0.1,1.2,0,True,54.61,66,12,54.61,54.61,1100.0
33,66,12,-,0.1,1.2,0,True,44.39,62,6,44.39,44.39,1100.0
34,62,6,-,0.1,1.2,0,True,47.54,65,5,47.54,47.54,1100.0
35,65,5,-,0.1,1.2,0,True,47.6,66,9,47.6,47.6,1100.0
36,66,9,-,0.1,1.2,0,True,31.17,48,9,31.17,31.17,1100.0
37,48,9,-,0.1,1.2,0,True,48.33,69,5,48.33,48.33,1100.0
38,69,5,-,0.1,1.2,0,True,50.14,70,9,50.14,50.14,1100.0
39,70,9,-,0.1,1.2,0,True,39.75,56,3,39.75,39.75,1100.0
40,56,3,-,0.1,1.2,0,True,43.88,62,8,43.88,43.88,1100.0
41,62,8,-,0.1,1.2,0,True,55.34,69,7,55.34,55.34,1100.0
42,69,7,-,0.1,1.2,0,True,38.76,56,4,38.76,38.76,1100.0
43,56,4,-,0.1,1.2,0,True,47.67,64,10,47.67,47.67,1100.0
44,64,10,-,0.1,1.2,0,True,41.64,56,7,41.64,41.64,1100.0
45,56,7,-,0.1,1.2,0,True,43.42,62,6,43.42,43.42,1100.0
46,62,6,-,0.1,1.2,0,True,55.65,77,6,55.65,55.65,1100.0
47,77,6,-,0.1,1.2,0,True,42.13,57,5,42.13,42.13,1100.0
48,57,5,-,0.1,1.2,0,True,40.99,62,3,40.99,40.99,1100.0
49,62,3,-,0.1,1.2,0,True,41.95,62,7,41.95,41.95,1100.0
50,62,7,-,0.1,1.2,0,True,49.82,68,9,49.82,49.82,1100.0
51,68,9,-,0.1,1.2,0,True,59.98,80,6,59.98,59.98,1100.0
52,80,6,-,0.1,1.2,0,True,47.49,66,3,47.49,47.49,1100.0
53,66,3,-,0.1,1.2,0,True,41.61,54,6,41.61,41.61,1100.0
54,54,6,-,0.1,1.2,0,True,45.9,64,9,45.9,45.9,1100.0
55,64,9,-,0.1,1.2,0,True,54.25,71,5,54.25,54.25,1100.0
56,71,5,-,0.1,1.2,0,True,41.25,55,2,41.25,41.25,1100.0
57,55,2,-,0.1,1.2,0,True,44.55,60,5,44.55,44.55,1100.0
58,60,5,-,0.1,1.2,0,True,51.51,70,7,51.51,51.51,1100.0
59,70,7,-,0.1,1.2,0,True,44.78,62,4,44.78,44.78,1100.0
60,62,4,-,0.1,1.2,0,True,49.38,67,5,49.38,49.38,1100.0
