====================================================================
====================================================================
New simulation started at:    2023-02-27 05:54:10.739498
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost
0,0,0,1,0.15,2.0,0,True,0.0,0,0,0.0,0.0,1100.0
1,0,0,1,0.1,2.0,0,True,9.06,9,1,9.06,9.06,1100.0
2,9,1,1,0.05,2.0,0,True,11.58,18,2,11.58,11.58,1100.0
3,18,2,2,0.05,2.0,0,True,13.85,21,1,13.85,13.85,1100.0
4,21,1,0,0.1,2.0,0,True,47.27,38,4,47.27,47.27,1100.0
5,38,4,1,0.05,2.0,0,True,25.9,41,4,25.9,25.9,1100.0
6,41,4,0,0.1,2.0,0,True,41.96,41,4,41.96,41.96,1100.0
7,41,4,0,0.15,2.0,0,True,81.5,44,6,81.5,81.5,1100.0
8,44,6,1,0.1,2.0,0,True,50.62,48,9,50.62,50.62,1100.0
9,48,9,2,0.1,2.0,0,True,42.03,40,7,42.03,42.03,1100.0
10,40,7,1,0.05,2.0,0,True,34.38,60,7,34.38,34.38,1100.0
11,60,7,1,0.0,2.0,0,True,0.0,51,13,0.0,0.0,1100.0
12,51,13,0,0.05,2.0,0,True,31.22,54,13,31.22,31.22,1100.0
13,54,13,1,0.0,2.0,0,True,0.0,60,12,0.0,0.0,1100.0
14,60,12,2,0.0,2.0,0,True,0.0,60,8,0.0,0.0,1100.0
15,60,8,0,0.05,2.0,0,True,33.81,62,11,33.81,33.81,1100.0
16,62,11,0,0.1,2.0,0,True,81.11,69,10,81.11,81.11,1100.0
17,69,10,2,0.1,2.0,0,True,92.47,72,11,92.47,92.47,1100.0
18,72,11,0,0.15,2.0,0,True,90.25,53,14,90.25,90.25,1100.0
19,53,14,2,0.15,2.0,0,True,101.5,59,12,101.5,101.5,1100.0
20,59,12,1,0.1,2.0,0,True,62.47,55,11,62.47,62.47,1100.0
21,55,11,2,0.1,2.0,0,True,64.27,55,15,64.27,64.27,1100.0
22,55,15,0,0.15,2.0,0,True,110.29,66,11,110.29,110.29,1100.0
23,66,11,2,0.15,2.0,0,True,104.02,55,9,104.02,104.02,1100.0
24,55,9,2,0.15,2.0,0,True,108.22,62,14,108.22,108.22,1100.0
25,62,14,2,0.15,2.0,0,True,92.08,57,9,92.08,92.08,1100.0
26,57,9,1,0.1,2.0,0,True,59.49,55,13,59.49,59.49,1100.0
27,55,13,1,0.05,2.0,0,True,26.88,48,11,26.88,26.88,1100.0
28,48,11,0,0.1,2.0,0,True,73.94,62,10,73.94,73.94,1100.0
29,62,10,2,0.1,2.0,0,True,61.15,57,15,61.15,61.15,1100.0
30,57,15,1,0.05,2.0,0,True,33.12,61,14,33.12,33.12,1100.0
31,61,14,1,0.0,2.0,0,True,0.0,65,15,0.0,0.0,1100.0
32,65,15,0,0.05,2.0,0,True,33.01,55,14,33.01,33.01,1100.0
33,55,14,2,0.05,2.0,0,True,37.66,66,11,37.66,37.66,1100.0
34,66,11,2,0.05,2.0,0,True,44.48,77,12,44.48,44.48,1100.0
35,77,12,2,0.05,2.0,0,True,33.98,60,17,33.98,33.98,1100.0
36,60,17,1,0.0,2.0,0,True,0.0,67,16,0.0,0.0,1100.0
37,67,16,1,0.0,2.0,0,True,0.0,63,7,0.0,0.0,1100.0
38,63,7,0,0.05,2.0,0,True,28.04,47,11,28.04,28.04,1100.0
39,47,11,0,0.1,2.0,0,True,86.18,72,11,86.18,86.18,1100.0
40,72,11,2,0.1,2.0,0,True,79.52,68,12,79.52,79.52,1100.0
41,68,12,1,0.05,2.0,0,True,32.95,55,12,32.95,32.95,1100.0
42,55,12,2,0.05,2.0,0,True,42.43,70,16,42.43,42.43,1100.0
43,70,16,2,0.05,2.0,0,True,35.03,59,14,35.03,35.03,1100.0
44,59,14,1,0.0,2.0,0,True,0.0,74,16,0.0,0.0,1100.0
45,74,16,1,0.0,2.0,0,True,0.0,62,14,0.0,0.0,1100.0
46,62,14,0,0.05,2.0,0,True,25.43,50,13,25.43,25.43,1100.0
47,50,13,2,0.05,2.0,0,True,34.35,59,8,34.35,34.35,1100.0
48,59,8,2,0.05,2.0,0,True,42.82,76,9,42.82,42.82,1100.0
49,76,9,2,0.05,2.0,0,True,30.68,53,16,30.68,30.68,1100.0
50,53,16,1,0.0,2.0,0,True,0.0,61,15,0.0,0.0,1100.0
51,61,15,0,0.05,2.0,0,True,42.33,70,15,42.33,42.33,1100.0
52,70,15,0,0.1,2.0,0,True,61.2,55,12,61.2,61.2,1100.0
53,55,12,2,0.1,2.0,0,True,58.22,54,13,58.22,58.22,1100.0
54,54,13,2,0.1,2.0,0,True,54.89,48,13,54.89,54.89,1100.0
55,48,13,0,0.15,2.0,0,True,153.02,85,13,153.02,153.02,1100.0
56,85,13,0,0.2,2.0,0,True,155.84,68,15,155.84,155.84,1100.0
57,68,15,1,0.15,2.0,0,True,98.17,59,13,98.17,98.17,1100.0
58,59,13,1,0.1,2.0,0,True,64.99,59,14,64.99,64.99,1100.0
59,59,14,0,0.15,2.0,0,True,119.73,75,13,119.73,119.73,1100.0
60,75,13,0,0.2,2.0,0,True,141.34,62,9,141.34,141.34,1100.0
61,62,9,0,0.25,2.0,0,True,157.15,55,6,157.15,157.15,1100.0
62,55,6,2,0.25,2.0,0,True,205.48,65,15,205.48,205.48,1100.0
63,65,15,1,0.2,2.0,0,True,156.42,62,11,156.42,156.42,1100.0
64,62,11,1,0.15,2.0,0,True,135.46,76,11,135.46,135.46,1100.0
65,76,11,2,0.15,2.0,0,True,74.91,51,13,74.91,74.91,1100.0
66,51,13,1,0.1,2.0,0,True,65.98,57,14,65.98,65.98,1100.0
67,57,14,1,0.05,2.0,0,True,32.96,58,8,32.96,32.96,1100.0
68,58,8,2,0.05,2.0,0,True,37.62,64,10,37.62,37.62,1100.0
69,64,10,2,0.05,2.0,0,True,34.26,63,11,34.26,34.26,1100.0
70,63,11,2,0.05,2.0,0,True,45.54,80,10,45.54,45.54,1100.0
71,80,10,1,0.0,2.0,0,True,0.0,82,11,0.0,0.0,1100.0
