====================================================================
====================================================================
New simulation started at:    2023-02-28 01:08:00.096014
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost
0,0,0,1,0.45,2.0,0,True,0.0,0,0,0.0,0.0,1100.0
1,0,0,2,0.45,2.0,0,True,46.56,10,0,46.56,46.56,1100.0
2,10,0,1,0.4,2.0,0,True,47.75,11,4,47.75,47.75,1100.0
3,11,4,2,0.4,2.0,0,True,93.0,21,1,93.0,93.0,1100.0
4,21,1,0,0.45,2.0,0,True,174.14,32,1,174.14,174.14,1100.0
5,32,1,2,0.45,2.0,0,True,151.71,31,4,151.71,151.71,1100.0
6,31,4,2,0.45,2.0,0,True,199.8,38,1,199.8,199.8,1100.0
7,38,1,2,0.45,2.0,0,True,217.18,41,7,217.18,217.18,1100.0
8,41,7,0,0.5,2.0,0,True,321.86,55,5,321.86,321.86,1100.0
9,55,5,1,0.45,2.0,0,True,242.01,48,4,242.01,242.01,1100.0
10,48,4,2,0.45,2.0,0,True,313.86,55,8,313.86,313.86,1100.0
11,55,8,0,0.5,2.0,0,True,403.76,67,5,403.76,403.76,1100.0
12,67,5,1,0.45,2.0,0,True,244.27,46,7,244.27,244.27,1100.0
13,46,7,0,0.5,2.0,0,True,275.42,48,6,275.42,275.42,1100.0
14,48,6,0,0.55,2.0,0,True,395.96,62,7,395.96,395.96,1100.0
15,62,7,1,0.5,2.0,0,True,433.64,69,8,433.64,433.64,1100.0
16,69,8,0,0.55,2.0,0,True,378.89,62,6,378.89,378.89,1100.0
17,62,6,0,0.6,2.0,0,True,415.8,62,8,415.8,415.8,1100.0
18,62,8,1,0.55,2.0,0,True,405.38,70,4,405.38,405.38,1100.0
19,70,4,2,0.55,2.0,0,True,380.43,65,5,380.43,380.43,1100.0
20,65,5,1,0.5,2.0,0,True,311.61,56,6,311.61,311.61,1100.0
21,56,6,0,0.55,2.0,0,True,392.98,65,11,392.98,392.98,1100.0
22,65,11,1,0.5,2.0,0,True,297.86,53,6,297.86,297.86,1100.0
23,53,6,0,0.55,2.0,0,True,372.8,59,7,372.8,372.8,1100.0
24,59,7,2,0.55,2.0,0,True,369.4,52,5,369.4,369.4,1100.0
25,52,5,0,0.6,2.0,0,True,369.02,53,6,369.02,369.02,1100.0
26,53,6,1,0.55,2.0,0,True,378.83,60,5,378.83,378.83,1100.0
27,60,5,2,0.55,2.0,0,True,506.69,79,10,506.69,506.69,1100.0
28,79,10,2,0.55,2.0,0,True,479.2,73,8,479.2,479.2,1100.0
29,73,8,0,0.6,2.0,0,True,388.47,63,7,388.47,388.47,1100.0
30,63,7,1,0.55,2.0,0,True,406.87,67,4,406.87,406.87,1100.0
31,67,4,0,0.6,2.0,0,True,347.65,53,10,347.65,347.65,1100.0
32,53,10,0,0.65,2.0,0,True,521.74,65,6,521.74,521.74,1100.0
33,65,6,0,0.7,2.0,0,True,480.75,54,5,480.75,480.75,1100.0
34,54,5,2,0.7,2.0,0,True,555.44,66,6,555.44,555.44,1100.0
35,66,6,2,0.7,2.0,0,True,503.36,62,6,503.36,503.36,1100.0
36,62,6,0,0.75,2.0,0,True,566.27,71,5,566.27,566.27,1100.0
37,71,5,2,0.75,2.0,0,True,551.25,55,7,551.25,551.25,1100.0
38,55,7,2,0.75,2.0,0,True,441.92,49,9,441.92,441.92,1100.0
39,49,9,0,0.8,2.0,0,True,430.02,49,4,430.02,430.02,1100.0
40,49,4,1,0.75,2.0,0,True,647.87,74,8,647.87,647.87,1100.0
41,74,8,2,0.75,2.0,0,True,593.0,65,7,593.0,593.0,1100.0
