====================================================================
====================================================================
New simulation started at:    2023-02-28 10:47:20.510108
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost
0,0,0,1,0.45,2.0,0,True,0.0,0,0,0.0,0.0,1100.0
1,0,0,0,0.5,2.0,0,True,39.76,7,0,39.76,39.76,1100.0
2,7,0,0,0.55,2.0,0,True,74.49,9,0,74.49,74.49,1100.0
3,9,0,1,0.5,2.0,0,True,131.92,24,0,131.92,131.92,1100.0
4,24,0,2,0.5,2.0,0,True,138.29,24,4,138.29,138.29,1100.0
5,24,4,1,0.45,2.0,0,True,152.63,32,1,152.63,152.63,1100.0
6,32,1,0,0.5,2.0,0,True,233.44,43,5,233.44,233.44,1100.0
7,43,5,2,0.5,2.0,0,True,271.65,47,2,271.65,271.65,1100.0
8,47,2,0,0.55,2.0,0,True,263.08,43,2,263.08,263.08,1100.0
9,43,2,0,0.6,2.0,0,True,259.22,35,5,259.22,259.22,1100.0
10,35,5,0,0.65,2.0,0,True,392.54,49,4,392.54,392.54,1100.0
11,49,4,2,0.65,2.0,0,True,527.61,68,6,527.61,527.61,1100.0
12,68,6,2,0.65,2.0,0,True,418.18,62,6,418.18,418.18,1100.0
13,62,6,0,0.7,2.0,0,True,449.84,56,6,449.84,449.84,1100.0
14,56,6,2,0.7,2.0,0,True,611.51,74,8,611.51,611.51,1100.0
15,74,8,0,0.75,2.0,0,True,589.99,68,0,589.99,589.99,1100.0
16,68,0,0,0.8,2.0,0,True,608.2,67,7,608.2,608.2,1100.0
17,67,7,0,0.85,2.0,0,True,560.23,59,5,560.23,560.23,1100.0
18,59,5,0,0.9,2.0,0,True,683.32,67,10,683.32,683.32,1100.0
19,67,10,1,0.85,2.0,0,True,663.24,68,12,663.24,663.24,1100.0
20,68,12,1,0.8,2.0,0,True,544.34,60,7,544.34,544.34,1100.0
21,60,7,1,0.75,2.0,0,True,521.87,63,5,521.87,521.87,1100.0
22,63,5,1,0.7,2.0,0,True,464.41,58,3,464.41,464.41,1100.0
23,58,3,0,0.75,2.0,0,True,453.11,52,6,453.11,453.11,1100.0
24,52,6,0,0.8,2.0,0,True,491.17,53,10,491.17,491.17,1100.0
25,53,10,1,0.75,2.0,0,True,550.02,61,5,550.02,550.02,1100.0
26,61,5,2,0.75,2.0,0,True,429.94,50,6,429.94,429.94,1100.0
27,50,6,2,0.75,2.0,0,True,597.29,70,3,597.29,597.29,1100.0
28,70,3,0,0.8,2.0,0,True,580.56,58,6,580.56,580.56,1100.0
29,58,6,1,0.75,2.0,0,True,565.33,67,7,565.33,565.33,1100.0
30,67,7,1,0.7,2.0,0,True,439.64,60,4,439.64,439.64,1100.0
31,60,4,2,0.7,2.0,0,True,564.55,74,8,564.55,564.55,1100.0
32,74,8,0,0.75,2.0,0,True,394.95,50,5,394.95,394.95,1100.0
33,50,5,0,0.8,2.0,0,True,598.15,67,4,598.15,598.15,1100.0
34,67,4,0,0.85,2.0,0,True,674.43,69,4,674.43,674.43,1100.0
35,69,4,2,0.85,2.0,0,True,558.17,56,5,558.17,558.17,1100.0
36,56,5,0,0.9,2.0,0,True,700.38,59,5,700.38,700.38,1100.0
37,59,5,2,0.9,2.0,0,True,732.68,68,8,732.68,732.68,1100.0
38,68,8,1,0.85,2.0,0,True,789.44,75,10,789.44,789.44,1100.0
39,75,10,1,0.8,2.0,0,True,769.81,81,7,769.81,769.81,1100.0
40,81,7,1,0.75,2.0,0,True,540.24,64,13,540.24,540.24,1100.0
41,64,13,2,0.75,2.0,0,True,553.2,75,9,553.2,553.2,1100.0
42,75,9,2,0.75,2.0,0,True,599.94,67,6,599.94,599.94,1100.0
43,67,6,1,0.7,2.0,0,True,501.58,70,7,501.58,501.58,1100.0
44,70,7,1,0.65,2.0,0,True,567.1,70,9,567.1,567.1,1100.0
45,70,9,1,0.6,2.0,0,True,396.41,58,2,396.41,396.41,1100.0
46,58,2,1,0.55,2.0,0,True,440.0,74,7,440.0,440.0,1100.0
47,74,7,1,0.5,2.0,0,True,370.6,65,11,370.6,370.6,1100.0
48,65,11,1,0.45,2.0,0,True,261.83,52,8,261.83,261.83,1100.0
49,52,8,0,0.5,2.0,0,True,417.33,75,5,417.33,417.33,1100.0
50,75,5,2,0.5,2.0,0,True,321.0,56,10,321.0,321.0,1100.0
51,56,10,0,0.55,2.0,0,True,379.84,64,8,379.84,379.84,1100.0
52,64,8,1,0.5,2.0,0,True,365.84,67,5,365.84,365.84,1100.0
53,67,5,2,0.5,2.0,0,True,320.28,60,8,320.28,320.28,1100.0
54,60,8,1,0.45,2.0,0,True,331.74,68,9,331.74,331.74,1100.0
55,68,9,0,0.5,2.0,0,True,338.34,58,8,338.34,338.34,1100.0
56,58,8,2,0.5,2.0,0,True,307.17,58,4,307.17,307.17,1100.0
57,58,4,0,0.55,2.0,0,True,362.45,58,5,362.45,362.45,1100.0
58,58,5,2,0.55,2.0,0,True,442.74,70,3,442.74,442.74,1100.0
59,70,3,2,0.55,2.0,0,True,377.41,60,3,377.41,377.41,1100.0
60,60,3,1,0.5,2.0,0,True,397.21,69,7,397.21,397.21,1100.0
61,69,7,0,0.55,2.0,0,True,390.2,61,6,390.2,390.2,1100.0
62,61,6,0,0.6,2.0,0,True,470.1,72,3,470.1,470.1,1100.0
63,72,3,1,0.55,2.0,0,True,322.79,55,5,322.79,322.79,1100.0
64,55,5,2,0.55,2.0,0,True,363.12,57,5,363.12,363.12,1100.0
65,57,5,1,0.5,2.0,0,True,348.59,63,3,348.59,348.59,1100.0
66,63,3,2,0.5,2.0,0,True,356.68,65,5,356.68,356.68,1100.0
67,65,5,0,0.55,2.0,0,True,478.25,75,4,478.25,478.25,1100.0
68,75,4,1,0.5,2.0,0,True,407.87,73,7,407.87,407.87,1100.0
69,73,7,0,0.55,2.0,0,True,323.8,51,6,323.8,323.8,1100.0
70,51,6,2,0.55,2.0,0,True,325.81,57,6,325.81,325.81,1100.0
71,57,6,0,0.6,2.0,0,True,373.93,59,2,373.93,373.93,1100.0
72,59,2,1,0.55,2.0,0,True,462.39,76,9,462.39,462.39,1100.0
73,76,9,0,0.6,2.0,0,True,413.17,58,5,413.17,413.17,1100.0
74,58,5,1,0.55,2.0,0,True,361.13,61,7,361.13,361.13,1100.0
75,61,7,2,0.55,2.0,0,True,324.05,49,11,324.05,324.05,1100.0
76,49,11,2,0.55,2.0,0,True,326.0,51,13,326.0,326.0,1100.0
77,51,13,1,0.5,2.0,0,True,433.62,70,10,433.62,433.62,1100.0
78,70,10,0,0.55,2.0,0,True,321.12,55,3,321.12,321.12,1100.0
79,55,3,2,0.55,2.0,0,True,356.46,57,8,356.46,356.46,1100.0
