====================================================================
====================================================================
New simulation started at:    2023-03-10 20:28:00.441198
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost,w_rew,w_mark,rew_normal,mark_normal
0,0,0,0,0.25,2.0,0,True,0.0,0,0,0.0,0.0,1100.0,0.8,0.2,0.0,0.0,
1,0,0,1,0.2,2.0,0,True,0.0,9,1,15.27,15.27,1100.0,0.8,0.2,0.0038174999999999997,0.005,
2,9,1,1,0.15,2.0,0,True,0.0,8,1,14.44,14.44,1100.0,0.8,0.2,0.00361,0.0045,
3,8,1,2,0.15,2.0,0,True,0.01,16,2,30.11,30.11,1100.0,0.8,0.2,0.0075274999999999995,0.009,
4,16,2,2,0.15,2.0,0,True,0.01,23,0,34.92,34.92,1100.0,0.8,0.2,0.00873,0.0115,
5,23,0,1,0.1,2.0,0,True,0.01,32,3,33.86,33.86,1100.0,0.8,0.2,0.008465,0.0175,
6,32,3,0,0.15,2.0,0,True,0.02,52,7,86.6,86.6,1100.0,0.8,0.2,0.02165,0.0295,
7,52,7,2,0.15,2.0,0,True,0.02,51,1,92.65,92.65,1100.0,0.8,0.2,0.023162500000000003,0.026,
8,51,1,0,0.2,2.0,0,True,0.03,59,5,128.01,128.01,1100.0,0.8,0.2,0.032002499999999996,0.032,
9,59,5,0,0.25,2.0,0,True,0.03,48,9,135.06,135.06,1100.0,0.8,0.2,0.033765,0.0285,
10,48,9,2,0.25,2.0,0,True,0.04,61,5,156.45,156.45,1100.0,0.8,0.2,0.039112499999999994,0.033,
11,61,5,1,0.2,2.0,0,True,0.03,57,3,118.53,118.53,1100.0,0.8,0.2,0.0296325,0.03,
12,57,3,2,0.2,2.0,0,True,0.03,62,12,133.87,133.87,1100.0,0.8,0.2,0.033467500000000004,0.037,
13,62,12,2,0.2,2.0,0,True,0.04,72,11,169.85,169.85,1100.0,0.8,0.2,0.0424625,0.0415,
14,72,11,1,0.15,2.0,0,True,0.03,59,8,93.06,93.06,1100.0,0.8,0.2,0.023265,0.0335,
15,59,8,2,0.15,2.0,0,True,0.02,53,6,94.8,94.8,1100.0,0.8,0.2,0.0237,0.0295,
16,53,6,1,0.1,2.0,0,True,0.02,52,9,63.0,63.0,1100.0,0.8,0.2,0.01575,0.0305,
17,52,9,2,0.1,2.0,0,True,0.02,66,10,68.66,68.66,1100.0,0.8,0.2,0.017165,0.038,
18,66,10,1,0.05,2.0,0,True,0.01,56,10,32.86,32.86,1100.0,0.8,0.2,0.008215,0.033,
19,56,10,2,0.05,2.0,0,True,0.01,57,12,31.88,31.88,1100.0,0.8,0.2,0.00797,0.0345,
20,57,12,0,0.1,2.0,0,True,0.02,64,12,68.13,68.13,1100.0,0.8,0.2,0.0170325,0.038,
21,64,12,2,0.1,2.0,0,True,0.02,61,9,63.3,63.3,1100.0,0.8,0.2,0.015825,0.035,
22,61,9,2,0.1,2.0,0,True,0.02,70,10,79.26,79.26,1100.0,0.8,0.2,0.019815000000000003,0.04,
23,70,10,1,0.05,2.0,0,True,0.01,62,11,35.45,35.45,1100.0,0.8,0.2,0.0088625,0.0365,
24,62,11,0,0.1,2.0,0,True,0.03,76,13,87.76,87.76,1100.0,0.8,0.2,0.02194,0.0445,
25,76,13,0,0.15,2.0,0,True,0.03,61,12,108.27,108.27,1100.0,0.8,0.2,0.027067499999999998,0.0365,
26,61,12,2,0.15,2.0,0,True,0.03,69,15,100.45,100.45,1100.0,0.8,0.2,0.0251125,0.042,
27,69,15,1,0.1,2.0,0,True,0.02,64,18,74.0,74.0,1100.0,0.8,0.2,0.0185,0.041,
28,64,18,0,0.15,2.0,0,True,0.03,69,13,112.59,112.59,1100.0,0.8,0.2,0.028147500000000002,0.041,
29,69,13,1,0.1,2.0,0,True,0.02,63,11,79.71,79.71,1100.0,0.8,0.2,0.019927499999999997,0.037,
30,63,11,2,0.1,2.0,0,True,0.02,68,12,75.45,75.45,1100.0,0.8,0.2,0.0188625,0.04,
31,68,12,0,0.15,2.0,0,True,0.03,65,9,113.81,113.81,1100.0,0.8,0.2,0.028452500000000002,0.037,
32,65,9,1,0.1,2.0,0,True,0.02,54,7,52.48,52.48,1100.0,0.8,0.2,0.01312,0.0305,
33,54,7,2,0.1,2.0,0,True,0.02,64,14,73.9,73.9,1100.0,0.8,0.2,0.018475000000000002,0.039,
34,64,14,1,0.05,2.0,0,True,0.01,59,10,35.7,35.7,1100.0,0.8,0.2,0.008925,0.0345,
35,59,10,0,0.1,2.0,0,True,0.02,65,12,72.93,72.93,1100.0,0.8,0.2,0.018232500000000002,0.0385,
36,65,12,0,0.15,2.0,0,True,0.02,46,15,77.46,77.46,1100.0,0.8,0.2,0.019364999999999997,0.0305,
37,46,15,1,0.1,2.0,0,True,0.02,59,12,67.81,67.81,1100.0,0.8,0.2,0.016952500000000002,0.0355,
38,59,12,1,0.05,2.0,0,True,0.02,66,8,39.3,39.3,1100.0,0.8,0.2,0.009824999999999999,0.037,
39,66,8,2,0.05,2.0,0,True,0.01,57,6,32.64,32.64,1100.0,0.8,0.2,0.00816,0.0315,
40,57,6,1,0.0,2.0,0,True,0.01,64,13,0.0,0.0,1100.0,0.8,0.2,0.0,0.0385,
41,64,13,2,0.0,2.0,0,True,0.01,69,16,0.0,0.0,1100.0,0.8,0.2,0.0,0.0425,
42,69,16,1,0.0,2.0,0,True,0.01,68,11,0.0,0.0,1100.0,0.8,0.2,0.0,0.0395,
43,68,11,2,0.0,2.0,0,True,0.01,75,16,0.0,0.0,1100.0,0.8,0.2,0.0,0.0455,
44,75,16,2,0.0,2.0,0,True,0.01,53,14,0.0,0.0,1100.0,0.8,0.2,0.0,0.0335,
45,53,14,1,0.0,2.0,0,True,0.01,57,15,0.0,0.0,1100.0,0.8,0.2,0.0,0.036,
46,57,15,2,0.0,2.0,0,True,0.01,71,20,0.0,0.0,1100.0,0.8,0.2,0.0,0.0455,
