====================================================================
====================================================================
New simulation started at:    2023-02-10 14:39:33.261542
Baseline: 
====================================================================
====================================================================
day,nP,nV,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP
0,0,0,0.1,1.2,0,True,0.0,0,0
1,0,0,0.1,1.2,0,True,1.16,2,0
2,2,0,0.1,1.2,0,True,5.72,8,0
3,8,0,0.1,1.2,0,True,9.27,12,0
4,12,0,0.1,1.2,0,True,9.08,14,2
5,14,2,0.1,1.2,0,True,13.1,19,0
6,19,0,0.1,1.2,0,True,14.72,22,1
7,22,1,0.1,1.2,0,True,23.3,30,1
8,30,1,0.1,1.2,0,True,21.35,29,2
9,29,2,0.1,1.2,0,True,18.45,20,1
10,20,1,0.1,1.2,0,True,20.43,26,4
11,26,4,0.1,1.2,0,True,23.44,33,4
12,33,4,0.1,1.2,0,True,25.96,33,2
13,33,2,0.1,1.2,0,True,24.39,32,1
14,32,1,0.1,1.2,0,True,21.57,29,3
15,29,3,0.1,1.2,0,True,20.41,24,0
16,24,0,0.1,1.2,0,True,20.34,32,3
17,32,3,0.1,1.2,0,True,24.66,31,2
18,31,2,0.1,1.2,0,True,18.5,27,3
19,27,3,0.1,1.2,0,True,27.25,40,4
20,40,4,0.1,1.2,0,True,19.02,24,4
21,24,4,0.1,1.2,0,True,25.5,35,1
22,35,1,0.1,1.2,0,True,23.56,33,2
23,33,2,0.1,1.2,0,True,18.24,28,4
24,28,4,0.1,1.2,0,True,23.48,31,4
25,31,4,0.1,1.2,0,True,24.19,34,5
26,34,5,0.1,1.2,0,True,24.24,33,4
27,33,4,0.1,1.2,0,True,21.21,31,1
28,31,1,0.1,1.2,0,True,14.74,19,4
29,19,4,0.1,1.2,0,True,19.46,29,2
30,29,2,0.1,1.2,0,True,27.81,36,6
31,36,6,0.1,1.2,0,True,22.1,29,4
32,29,4,0.1,1.2,0,True,21.92,27,3
33,27,3,0.1,1.2,0,True,22.24,30,1
34,30,1,0.1,1.2,0,True,20.87,31,7
35,31,7,0.1,1.2,0,True,17.94,26,4
36,26,4,0.1,1.2,0,True,21.79,35,1
37,35,1,0.1,1.2,0,True,13.76,21,1
38,21,1,0.1,1.2,0,True,23.31,34,2
39,34,2,0.1,1.2,0,True,16.9,23,5
40,23,5,0.1,1.2,0,True,17.33,24,2
41,24,2,0.1,1.2,0,True,20.26,30,0
42,30,0,0.1,1.2,0,True,27.29,38,4
43,38,4,0.1,1.2,0,True,28.38,37,2
44,37,2,0.1,1.2,0,True,18.1,25,4
45,25,4,0.1,1.2,0,True,17.98,31,3
46,31,3,0.1,1.2,0,True,18.75,31,5
47,31,5,0.1,1.2,0,True,20.48,28,5
48,28,5,0.1,1.2,0,True,23.2,30,7
49,30,7,0.1,1.2,0,True,23.08,32,4
50,32,4,0.1,1.2,0,True,19.31,28,3
51,28,3,0.1,1.2,0,True,21.7,31,7
52,31,7,0.1,1.2,0,True,19.58,28,2
53,28,2,0.1,1.2,0,True,23.72,31,3
54,31,3,0.1,1.2,0,True,33.01,46,5
55,46,5,0.1,1.2,0,True,22.9,28,2
56,28,2,0.1,1.2,0,True,26.82,37,2
57,37,2,0.1,1.2,0,True,23.67,34,8
58,34,8,0.1,1.2,0,True,22.26,31,4
59,31,4,0.1,1.2,0,True,33.18,44,1
60,44,1,0.1,1.2,0,True,20.91,32,4
61,32,4,0.1,1.2,0,True,24.68,39,4
62,39,4,0.1,1.2,0,True,19.04,29,5
63,29,5,0.1,1.2,0,True,29.54,42,3
64,42,3,0.1,1.2,0,True,23.1,29,6
65,29,6,0.1,1.2,0,True,19.77,30,3
66,30,3,0.1,1.2,0,True,25.61,36,5
67,36,5,0.1,1.2,0,True,22.51,36,3
