====================================================================
====================================================================
New simulation started at:    2023-02-10 12:41:58.320527
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP
0,0,0,1,0.15,2.0,0,True,0.0,0,0
1,0,0,2,0.15,2.0,0,True,2.49,2,0
2,2,0,2,0.15,2.0,0,True,8.01,5,0
3,5,0,1,0.1,2.0,0,True,10.03,9,1
4,9,1,0,0.15,2.0,0,True,10.69,9,0
5,9,0,2,0.15,2.0,0,True,29.5,17,1
6,17,1,2,0.15,2.0,0,True,28.82,18,1
7,18,1,2,0.15,2.0,0,True,47.8,26,7
8,26,7,2,0.15,2.0,0,True,49.98,25,1
9,25,1,1,0.1,2.0,0,True,35.29,28,5
10,28,5,1,0.05,2.0,0,True,12.24,23,3
11,23,3,2,0.05,2.0,0,True,15.16,26,4
12,26,4,2,0.05,2.0,0,True,20.68,32,6
13,32,6,1,0.0,2.0,0,True,0.0,21,7
14,21,7,0,0.05,2.0,0,True,14.05,26,5
15,26,5,2,0.05,2.0,0,True,18.89,28,5
16,28,5,0,0.1,2.0,0,True,29.59,26,2
17,26,2,1,0.05,2.0,0,True,18.21,29,5
18,29,5,2,0.05,2.0,0,True,15.99,25,1
19,25,1,2,0.05,2.0,0,True,16.49,32,6
20,32,6,0,0.1,2.0,0,True,40.1,33,8
21,33,8,0,0.15,2.0,0,True,64.51,38,3
22,38,3,0,0.2,2.0,0,True,69.64,33,6
23,33,6,1,0.15,2.0,0,True,36.33,27,6
24,27,6,1,0.1,2.0,0,True,39.69,35,6
25,35,6,1,0.05,2.0,0,True,16.43,30,6
26,30,6,1,0.0,2.0,0,True,0.0,29,5
27,29,5,2,0.0,2.0,0,True,0.0,32,4
28,32,4,0,0.05,2.0,0,True,20.45,39,7
29,39,7,1,0.0,2.0,0,True,0.0,32,5
30,32,5,2,0.0,2.0,0,True,0.0,37,8
31,37,8,1,0.0,2.0,0,True,0.0,22,6
32,22,6,0,0.05,2.0,0,True,22.5,36,6
33,36,6,1,0.0,2.0,0,True,0.0,29,9
34,29,9,1,0.0,2.0,0,True,0.0,39,7
35,39,7,1,0.0,2.0,0,True,0.0,20,4
36,20,4,0,0.05,2.0,0,True,18.5,33,8
37,33,8,2,0.05,2.0,0,True,19.32,35,4
38,35,4,1,0.0,2.0,0,True,0.0,43,7
39,43,7,0,0.05,2.0,0,True,15.78,27,11
40,27,11,1,0.0,2.0,0,True,0.0,35,4
41,35,4,2,0.0,2.0,0,True,0.0,34,5
42,34,5,2,0.0,2.0,0,True,0.0,30,9
43,30,9,0,0.05,2.0,0,True,21.32,36,8
44,36,8,1,0.0,2.0,0,True,0.0,35,9
45,35,9,2,0.0,2.0,0,True,0.0,29,13
====================================================================
====================================================================
New simulation started at:    2023-02-10 12:47:38.780854
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP
0,0,0,2,0.2,2.0,0,True,0.0,0,0
1,0,0,2,0.2,2.0,0,True,9.37,5,1
2,5,1,1,0.15,2.0,0,True,6.1,4,0
3,4,0,1,0.1,2.0,0,True,14.87,16,1
4,16,1,2,0.1,2.0,0,True,18.03,13,2
5,13,2,2,0.1,2.0,0,True,24.25,21,3
6,21,3,1,0.05,2.0,0,True,10.01,19,2
7,19,2,0,0.1,2.0,0,True,18.42,19,2
8,19,2,2,0.1,2.0,0,True,38.42,38,1
9,38,1,0,0.15,2.0,0,True,58.13,31,4
10,31,4,1,0.1,2.0,0,True,23.8,20,2
11,20,2,0,0.15,2.0,0,True,53.86,27,8
12,27,8,0,0.2,2.0,0,True,44.74,21,4
13,21,4,2,0.2,2.0,0,True,70.58,30,7
14,30,7,2,0.2,2.0,0,True,71.99,30,2
15,30,2,2,0.2,2.0,0,True,63.62,28,5
16,28,5,2,0.2,2.0,0,True,78.49,30,2
17,30,2,2,0.2,2.0,0,True,62.65,28,6
18,28,6,2,0.2,2.0,0,True,85.82,39,8
19,39,8,1,0.15,2.0,0,True,56.32,28,3
20,28,3,0,0.2,2.0,0,True,80.85,37,6
21,37,6,0,0.25,2.0,0,True,72.82,28,6
22,28,6,1,0.2,2.0,0,True,74.82,33,3
23,33,3,0,0.25,2.0,0,True,96.54,38,4
24,38,4,1,0.2,2.0,0,True,74.68,32,7
25,32,7,0,0.25,2.0,0,True,102.78,37,3
26,37,3,0,0.3,2.0,0,True,107.97,26,7
27,26,7,0,0.35,2.0,0,True,107.95,25,7
28,25,7,1,0.3,2.0,0,True,118.18,34,5
29,34,5,2,0.3,2.0,0,True,113.03,32,3
30,32,3,1,0.25,2.0,0,True,106.77,37,3
31,37,3,0,0.3,2.0,0,True,119.81,35,2
32,35,2,1,0.25,2.0,0,True,86.53,32,4
33,32,4,2,0.25,2.0,0,True,118.11,45,3
34,45,3,2,0.25,2.0,0,True,79.47,30,5
35,30,5,0,0.3,2.0,0,True,141.67,39,3
36,39,3,2,0.3,2.0,0,True,100.81,25,2
37,25,2,1,0.25,2.0,0,True,112.28,41,8
38,41,8,0,0.3,2.0,0,True,93.98,27,7
39,27,7,1,0.25,2.0,0,True,76.82,26,2
40,26,2,2,0.25,2.0,0,True,108.44,38,3
41,38,3,0,0.3,2.0,0,True,68.15,22,5
42,22,5,0,0.35,2.0,0,True,138.9,35,4
43,35,4,1,0.3,2.0,0,True,101.68,28,0
44,28,0,2,0.3,2.0,0,True,86.7,29,4
45,29,4,0,0.35,2.0,0,True,103.42,24,4
46,24,4,1,0.3,2.0,0,True,101.67,27,7
47,27,7,1,0.25,2.0,0,True,103.88,35,4
48,35,4,0,0.3,2.0,0,True,104.93,30,3
49,30,3,0,0.35,2.0,0,True,97.19,26,5
50,26,5,0,0.4,2.0,0,True,165.2,35,5
51,35,5,1,0.35,2.0,0,True,114.87,31,3
52,31,3,0,0.4,2.0,0,True,75.58,19,3
53,19,3,2,0.4,2.0,0,True,128.68,31,3
54,31,3,2,0.4,2.0,0,True,124.73,29,3
55,29,3,1,0.35,2.0,0,True,86.16,26,2
56,26,2,2,0.35,2.0,0,True,94.97,27,6
57,27,6,2,0.35,2.0,0,True,113.66,29,6
58,29,6,2,0.35,2.0,0,True,173.02,44,1
59,44,1,2,0.35,2.0,0,True,119.13,29,4
60,29,4,2,0.35,2.0,0,True,128.54,31,2
61,31,2,0,0.4,2.0,0,True,132.88,29,3
62,29,3,2,0.4,2.0,0,True,122.48,28,2
63,28,2,2,0.4,2.0,0,True,185.84,40,5
64,40,5,2,0.4,2.0,0,True,144.4,30,7
65,30,7,1,0.35,2.0,0,True,135.75,35,2
66,35,2,2,0.35,2.0,0,True,164.17,35,4
67,35,4,0,0.4,2.0,0,True,118.37,29,8
68,29,8,1,0.35,2.0,0,True,110.57,30,3
69,30,3,1,0.3,2.0,0,True,94.09,27,1
70,27,1,0,0.35,2.0,0,True,153.2,38,2
71,38,2,1,0.3,2.0,0,True,110.39,31,5
72,31,5,1,0.25,2.0,0,True,80.93,31,4
73,31,4,1,0.2,2.0,0,True,66.64,31,2
74,31,2,0,0.25,2.0,0,True,78.32,27,2
75,27,2,2,0.25,2.0,0,True,98.24,32,5
76,32,5,2,0.25,2.0,0,True,70.9,22,3
77,22,3,2,0.25,2.0,0,True,104.16,35,2
78,35,2,1,0.2,2.0,0,True,95.2,39,6
79,39,6,2,0.2,2.0,0,True,48.93,22,4
80,22,4,1,0.15,2.0,0,True,61.28,38,3
81,38,3,2,0.15,2.0,0,True,49.67,31,5
82,31,5,0,0.2,2.0,0,True,65.01,33,7
83,33,7,1,0.15,2.0,0,True,40.6,30,2
84,30,2,2,0.15,2.0,0,True,60.16,31,2
85,31,2,0,0.2,2.0,0,True,73.66,36,4
86,36,4,0,0.25,2.0,0,True,86.93,30,6
87,30,6,2,0.25,2.0,0,True,42.64,17,4
88,17,4,2,0.25,2.0,0,True,102.92,33,1
89,33,1,1,0.2,2.0,0,True,74.57,31,4
90,31,4,0,0.25,2.0,0,True,97.32,30,4
91,30,4,1,0.2,2.0,0,True,74.57,36,7
92,36,7,2,0.2,2.0,0,True,115.91,44,5
93,44,5,2,0.2,2.0,0,True,88.35,35,5
94,35,5,0,0.25,2.0,0,True,113.25,40,2
95,40,2,1,0.2,2.0,0,True,63.13,26,5
96,26,5,1,0.15,2.0,0,True,44.8,22,7
97,22,7,1,0.1,2.0,0,True,40.71,34,7
98,34,7,0,0.15,2.0,0,True,59.14,32,6
99,32,6,2,0.15,2.0,0,True,53.08,31,6
100,31,6,1,0.1,2.0,0.4,False,-134.75,36,5
101,36,5,2,0.1,2.0,0.4,False,-75.51,24,5
102,24,5,1,0.05,2.0,0.4,False,-83.7,21,8
103,21,8,2,0.05,2.0,0.4,False,-148.03,35,11
104,35,11,0,0.1,2.0,0.4,False,-118.31,37,7
105,37,7,2,0.1,2.0,0.4,False,-93.48,27,3
106,27,3,0,0.15,2.0,0.4,False,-87.57,31,3
107,31,3,2,0.15,2.0,0.4,False,-70.15,25,8
108,25,8,2,0.15,2.0,0.4,False,-86.09,30,8
109,30,8,2,0.15,2.0,0.4,False,-100.3,31,0
110,31,0,1,0.1,2.0,0.4,False,-78.61,22,4
111,22,4,2,0.1,2.0,0.4,False,-118.37,38,6
112,38,6,0,0.15,2.0,0.4,False,-109.26,41,4
113,41,4,1,0.1,2.0,0.4,False,-112.17,37,4
114,37,4,0,0.15,2.0,0.4,False,-101.47,35,7
115,35,7,2,0.15,2.0,0.4,False,-74.0,26,6
116,26,6,2,0.15,2.0,0.4,False,-88.73,33,4
117,33,4,2,0.15,2.0,0.4,False,-106.07,34,2
118,34,2,2,0.15,2.0,0.4,False,-77.49,31,3
119,31,3,0,0.2,2.0,0.4,False,-97.08,43,3
120,43,3,0,0.25,2.0,0.4,False,-67.02,38,5
121,38,5,0,0.3,2.0,0.4,False,-36.81,31,9
122,31,9,2,0.3,2.0,0.4,False,-23.37,29,6
123,29,6,2,0.3,2.0,0.4,False,-33.06,35,2
124,35,2,0,0.35,2.0,0.4,False,-22.42,46,5
125,46,5,0,0.4,2.0,0.4,False,0.0,36,14
126,36,14,0,0.45,2.0,0.4,False,16.6,28,5
127,28,5,0,0.5,2.0,0.4,False,38.04,31,4
128,31,4,1,0.45,2.0,0.4,False,24.35,34,3
129,34,3,1,0.4,2.0,0.4,False,5.13,46,6
130,46,6,2,0.4,2.0,0.4,False,2.48,44,0
131,44,0,2,0.4,2.0,0.4,False,2.67,43,0
132,43,0,0,0.45,2.0,0.4,False,17.71,29,6
133,29,6,0,0.5,2.0,0.4,False,39.9,31,3
134,31,3,0,0.55,2.0,0.4,False,76.48,41,2
135,41,2,0,0.6,2.0,0.4,False,78.04,35,4
136,35,4,2,0.6,2.0,0.4,False,98.13,37,7
137,37,7,0,0.65,2.0,0.4,False,73.12,25,3
138,25,3,0,0.7,2.0,0.4,False,143.44,34,2
139,34,2,0,0.75,2.0,0.4,False,96.9,25,0
140,25,0,1,0.7,2.0,0.4,False,102.05,29,6
141,29,6,0,0.75,2.0,0.4,False,135.77,36,2
142,36,2,1,0.7,2.0,0.4,False,110.87,32,0
143,32,0,1,0.65,2.0,0.4,False,101.93,36,5
144,36,5,2,0.65,2.0,0.4,False,99.62,37,3
145,37,3,0,0.7,2.0,0.4,False,84.94,25,7
146,25,7,2,0.7,2.0,0.4,False,104.5,30,4
147,30,4,0,0.75,2.0,0.4,False,148.51,36,3
148,36,3,0,0.8,2.0,0.4,False,168.45,34,3
149,34,3,1,0.75,2.0,0.4,False,154.1,40,2
150,40,2,2,0.75,2.0,0.4,False,107.04,29,5
151,29,5,2,0.75,2.0,0.4,False,159.47,40,2
152,40,2,0,0.8,2.0,0.4,False,173.36,35,2
153,35,2,2,0.8,2.0,0.4,False,119.84,29,1
